metric_or_family,current_status,proposed_final_name,metric_role,record_types_used,denominator_id,numerator_definition,denominator_definition,required_ledger_fields,available_from_retained_evidence,implementation_blocked,blocker_reason,decision_needed,recommended_decision,notes
Exact@planned,stable,Exact@planned,primary,rewrite_candidate_cell,track_a_same_engine_120,rows with exact=true after correctness gate,planned Track A same-engine candidate rows,case_id;denominator_id;engine;method_role;executed;exact;checker_status,partial,true,requires adapter parsing and exact gate confirmation,confirm exact gate wording,retain name and denominator,Stable direction but not implementable in this task
ExecutionCoverage,stable,ExecutionCoverage,primary,rewrite_candidate_cell,track_a_same_engine_120,rows with executed=true,planned Track A same-engine candidate rows,case_id;denominator_id;engine;method_role;executed;result_status,partial,true,requires execution status normalization,confirm not_run and unsupported handling,retain as coverage family,Keep separate from correctness
result_consistency_rate,needs_clarification,ResultConsistencyRate,primary,rewrite_candidate_cell,track_a_same_engine_120,rows with exact=true or consistency pass depending final gate,executed candidate rows or planned rows TBD,case_id;engine;route;executed;exact;checker_status;result_status,partial,true,denominator and consistency wording pending,decide planned versus executed denominator,clarify or merge with Exact@planned,Avoid duplicate headline if same as Exact@planned
negative_rejection_rate,stable,NegativeRejectionRate,support,control_cell,controls_360 hard_negative,hard-negative controls with checker_status=reject_expected,planned hard-negative control rows,case_id;engine;route;checker_status;result_status;failure_type,partial,true,requires hard-negative adapter parser,confirm expected rejection status names,retain as checker guard metric,Not a method failure metric
ValidRewriteYield if applicable,needs_clarification,ValidRewriteYield,primary,rewrite_candidate_cell,track_a_same_engine_120,candidates generated and exact under final validity rules,planned rows or generated rows TBD,candidate_id;generated;ready;executed;exact;parse_status,partial,true,definition may duplicate Exact@planned or generation coverage,decide retain rename or drop,recommend rename or drop unless distinct,Only keep if it answers a distinct readiness-to-exact yield question
GM_Speedup,stable,GM_Speedup,primary,rewrite_candidate_cell,exact_timed_track_a_slice,geometric mean speedup over exact timed eligible rows,exact and timed eligible candidate rows,case_id;engine;method_role;exact;timed;latency_ms;speedup;timing_eligible,low,true,final timing eligibility and speedup interpretation pending,confirm exact timed slice and baseline,retain as performance family,No timing missing as zero
Regression@20,candidate_change,Regression@20,diagnostic,rewrite_candidate_cell,exact_timed_track_a_slice,rows crossing approved regression threshold,exact timed eligible rows,case_id;engine;method_role;latency_ms;speedup;timed;timing_eligible,low,true,threshold and role in public reporting pending,keep supplement replace or diagnostic,recommend diagnostic if retained,Paper continuity versus robustness tradeoff
performance quartile/distribution summary,candidate_addition,PerformanceDistributionSummary,diagnostic,rewrite_candidate_cell,exact_timed_track_a_slice,median P25 P75 IQR and distribution summaries,exact timed eligible rows,case_id;engine;method_role;exact;timed;latency_ms;speedup;timing_eligible,low,true,distribution definitions pending,decide add as support or primary,recommend add as diagnostic or support,More robust than threshold-only regression
parseability / SQL extractability,candidate_addition,SQLExtractabilityAndParseability,diagnostic,rewrite_candidate_cell;user_run_candidate_cell,diagnostic_non_denominator,rows with extracted and parser accepted SQL,candidate rows with generated or submitted SQL,candidate_id;candidate_sql_path;parse_status;failure_stage;failure_type,low,true,definitions and parser scope pending,define extraction versus parser acceptance,recommend diagnostic fields first,Do not conflate with execution
runnable SQL status,candidate_addition,RunnableSQLStatus,diagnostic,rewrite_candidate_cell;user_run_candidate_cell,diagnostic_non_denominator,rows accepted as runnable for engine pre-execution or execution-ready,candidate rows after parse or preflight,candidate_id;engine;ready;executed;result_status;failure_stage;failure_type,partial,true,runnable versus executed wording pending,define engine runnable boundary,recommend diagnostic field,Separate parser acceptance from execution
PlanAvailability,needs_clarification,PlanAvailability,observability,plan_observability_artifact,observability_scope,rows with plan_available=true,planned plan-observable artifact opportunities TBD,case_id;engine;route;method_role;plan_available;plan_artifact_path,partial,true,artifact denominator and public-safe path policy pending,define binary row or artifact coverage,recommend retain as observability family,Not a performance denominator
PlanFrontier / plan observability,candidate_change,PlanObservabilityFrontier,observability,plan_observability_artifact,observability_scope,rows or case studies with retained plan/failure observability features,observability artifact scope TBD,case_id;engine;route;plan_available;plan_artifact_path;notes,partial,true,wording and feature schema pending,define PlanFrontier versus report section,recommend report section plus optional metric,Do not overclaim optimizer internals
failure bucket distribution,candidate_addition,FailureBucketDistribution,diagnostic,rewrite_candidate_cell;control_cell;portability_candidate_cell;user_run_candidate_cell,diagnostic_non_denominator,rows grouped by failure_type and failure_stage,failed or non-success rows within each route,case_id;route;result_status;failure_stage;failure_type,partial,true,bucket taxonomy pending,approve taxonomy,recommend add diagnostic report,Preserves failure visibility
cross_engine_executable_rate,needs_clarification,CrossEngineExecutableRate,portability,portability_candidate_cell,portability_denominator_TBD,PORT portability rows with executed=true,PORT portability candidate rows under approved scope,case_id;pool;engine;route;executed;result_status,partial,true,PORT denominator semantics pending,define portability denominator,recommend keep separate from Track A,No full PORT overclaim
cross_engine_consistency_rate,needs_clarification,CrossEngineConsistencyRate,portability,portability_candidate_cell,portability_denominator_TBD,PORT portability rows with exact or consistency pass,executed PORT portability rows or planned PORT rows TBD,case_id;pool;engine;route;exact;checker_status;result_status,partial,true,cross-engine correctness semantics pending,define consistency denominator,recommend support or portability metric,Not same-engine metric
verifier support evidence / SupportRate,support_only,VerifierSupportEvidence,verifier_support,verifier_support_pair,support_pair_scope,support pairs with support result pass or equivalent,verifier support pairs only,case_id;method_role;route;result_status;checker_status;notes,partial,true,support role wording pending,decide SupportRate name or evidence-only,recommend evidence-only or support metric,Not rewrite-generation baseline
generated / ready / executed / exact / timed denominator counts,needs_clarification,PipelineStateCounts,diagnostic,rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,route_specific_counts,counts by generated ready executed exact timed states,planned rows then generated ready executed exact timed slices,generated;ready;executed;exact;timed;timing_eligible;result_status,partial,true,ready naming and timed policy pending,define pipeline state names,recommend add diagnostic table,Useful to keep denominator slices visible
