case_id,pool,legacy_path,previous_bucket,new_wave004_bucket,blocker_resolution,policy_used,expected_effort,recommended_priority,notes
PERF_0001,PERF,cases/PERF/PERF_0001,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
PERF_0003,PERF,cases/PERF/PERF_0003,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0004,PERF,cases/PERF/PERF_0004,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
PERF_0005,PERF,cases/PERF/PERF_0005,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
PERF_0046,PERF,cases/PERF/PERF_0046,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
PERF_0048,PERF,cases/PERF/PERF_0048,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
PERF_0078,PERF,cases/PERF/PERF_0078,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0079,PERF,cases/PERF/PERF_0079,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
PERF_0080,PERF,cases/PERF/PERF_0080,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0081,PERF,cases/PERF/PERF_0081,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0083,PERF,cases/PERF/PERF_0083,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0084,PERF,cases/PERF/PERF_0084,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0085,PERF,cases/PERF/PERF_0085,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0086,PERF,cases/PERF/PERF_0086,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0087,PERF,cases/PERF/PERF_0087,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
PERF_0090,PERF,cases/PERF/PERF_0090,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0091,PERF,cases/PERF/PERF_0091,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0092,PERF,cases/PERF/PERF_0092,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
PERF_0093,PERF,cases/PERF/PERF_0093,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0094,PERF,cases/PERF/PERF_0094,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0095,PERF,cases/PERF/PERF_0095,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0096,PERF,cases/PERF/PERF_0096,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0097,PERF,cases/PERF/PERF_0097,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0100,PERF,cases/PERF/PERF_0100,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
