case_id,relative_path,absolute_path,exists,file_type,extension,size_bytes,sha256,git_tracked,text_or_binary,risk_local_path,risk_prompt_api_token,risk_log_debug,risk_spark_warehouse,risk_large_or_binary,risk_unknown,evidence_role,referenced_by,static_reference_summary,classification,recommended_action,do_not_delete,notes
PORT_0004,cases/PORT/PORT_0004/README.md,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/README.md,yes,text/markdown,.md,565,b2473799f62d359265eca46f3de5fae18278f9abb415aea49b7ab74ba45dd2a5,yes,text,no,no,no,no,no,no,notes/provenance/release metadata,prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/data/README.md,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/data/README.md,yes,text/markdown,.md,636,df669f756d2880544c7be3fa6c17ca3350a359668f8aeadd66b34418b4a0f004,yes,text,no,no,no,no,no,no,schema/data context,prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/data/witness_rows.yaml,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/data/witness_rows.yaml,yes,yaml,.yaml,646,06f7645c88fad738c31be67b876b587e1f0acb30483ec33620feafc12f3a31b3,yes,text,no,no,no,no,no,no,schema/data context,prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/manifest.yaml,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/manifest.yaml,yes,yaml,.yaml,2668,71721862de5bda810f667b2b29c48a0ea253b303672936b250ea31f4aa4d8717,yes,text,no,no,no,no,no,no,denominator-aware traceability metadata,prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/provenance/parrot_source_record.json,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/provenance/parrot_source_record.json,yes,json,.json,883,cb02f0c2a1cb6b8d86d8d9379978eec7762cef21c51131241c39086f5f090b4c,yes,text,no,no,no,no,no,no,provenance,manifest.yaml;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/provenance/provenance_notes.txt,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/provenance/provenance_notes.txt,yes,text/plain,.txt,396,28064ae985a37ffac19f5c2b420cc86d3bbca9ad7a76513fecc091de4000b449,yes,text,no,no,no,no,no,no,provenance,manifest.yaml;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/rewrite_neg_01.sql,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/rewrite_neg_01.sql,yes,sql,.sql,345,93ccf98e78feb2f4053298e51343e0fde1548bb189589cfabe6ca4a4ec9f62ef,yes,text,no,no,no,no,no,no,hard-negative rejection evidence,manifest.yaml;validation_scripts;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/rewrite_neg_02_spark.sql,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/rewrite_neg_02_spark.sql,yes,sql,.sql,342,649c9e41978c2f9d197b216d99048416c9d189e3b78b2aec8aa4afdf1a397a7e,yes,text,no,no,no,no,no,no,hard-negative rejection evidence,manifest.yaml;validation_scripts;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/rewrite_pos_01.sql,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/rewrite_pos_01.sql,yes,sql,.sql,345,e7bdc52644b7f8ef9462576e828ca97514ba88763bae5522a1c3af88a7f01442,yes,text,no,no,no,no,no,no,source / positive / negative execution evidence,manifest.yaml;validation_scripts;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
PORT_0004,cases/PORT/PORT_0004/rewrite_pos_02_spark.sql,/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/cases/PORT/PORT_0004/rewrite_pos_02_spark.sql,yes,sql,.sql,339,6212df44fe6d01d7d98afa7071f35767b789687899e30fb301843cf8cd14435b,yes,text,no,no,no,no,no,no,source / positive / negative execution evidence,manifest.yaml;validation_scripts;prior_audit;reports/evaluation/common_core_v0;inventory_case_registry;docs;benchmark_spec,case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_manual_review_required.md;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_contract_fit_matrix.csv;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/common_core40_runs_to_evidence_mapping.csv;exact match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0004.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0008.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0024.md;case-level match in prior_audit:/home/tianci_gao/code/sql-rewrite-bench_common_core40_contract_audit/case_dossiers/PORT/PORT_0025.md;case-level match in reports:reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.md;case-level match in reports:reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.csv;case-level match in reports:reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv;...300_more,retained evidence,keep_as_legacy_retained_evidence_with_mapping,yes,
