case_id,pool,legacy_path,current_release_status,release_path,proposed_staged_or_backlog_label,wave_completed,remaining_action,notes
PERF_0001,PERF,cases/PERF/PERF_0001,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave D: longtail/complex/manual-review cases; missing_schema;checker;validation;runs
PERF_0002,PERF,cases/PERF/PERF_0002,already_standardized_wave002,cases/PERF/PERF_0002,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs
PERF_0003,PERF,cases/PERF/PERF_0003,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; missing_checker;validation;runs
PERF_0004,PERF,cases/PERF/PERF_0004,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave D: longtail/complex/manual-review cases; missing_schema;checker;validation;runs
PERF_0005,PERF,cases/PERF/PERF_0005,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs
PERF_0009,PERF,cases/PERF/PERF_0009,already_standardized_wave002,cases/PERF/PERF_0009,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0010,PERF,cases/PERF/PERF_0010,already_standardized_wave002,cases/PERF/PERF_0010,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0011,PERF,cases/PERF/PERF_0011,already_standardized_wave002,cases/PERF/PERF_0011,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0012,PERF,cases/PERF/PERF_0012,already_standardized_wave002,cases/PERF/PERF_0012,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0014,PERF,cases/PERF/PERF_0014,already_standardized_wave002,cases/PERF/PERF_0014,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
