case_id,pool,engine,method_id,route_id,planned_pocr_eligible,route_role,expected_candidate_root,candidate_found,candidate_rel_path,candidate_sha256,skills_md_found,expected_operation_atoms,candidate_bound_ready,annotation_ready,planned_fail_closed_status,notes
PERF_0006,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__postgres/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__postgres/candidate_sql/PERF_0006__postgres.sql,f3707ac2438756792cca9bd5badd445f24001ec2b173525135fbda00d7cccab8,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
PERF_0006,PERF,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__mysql/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__mysql/candidate_sql/PERF_0006__mysql.sql,4da582fe46ca527d0e901d772dd2c97133950b2750c62ded95dfb33a2c71073b,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
PERF_0006,PERF,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__spark/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__spark/candidate_sql/PERF_0006__spark.sql,b7b3ab07efd60755f8d6dac2d299a2e38f1eee1cfbdfc88d85acd7be07a0dbd2,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
PERF_0006,PERF,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,true,sanity_control,runs/user/common_core_pg_noop_db_checker/candidate_sql,true,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
PERF_0006,PERF,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,true,sanity_control,runs/user/common_core_mysql_noop_db_checker/candidate_sql,true,runs/user/common_core_mysql_noop_db_checker/candidate_sql/PERF_0006__mysql.sql,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
PERF_0006,PERF,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,true,sanity_control,runs/user/common_core_spark_noop_db_checker/candidate_sql,true,runs/user/common_core_spark_noop_db_checker/candidate_sql/PERF_0006__spark.sql,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
CONS_0005,CONS,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__postgres/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__postgres/candidate_sql/CONS_0005__postgres.sql,007bb252e0cbce5c7068f72b43c4929582420d7b3dc8b3748084cb39c9958444,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
CONS_0005,CONS,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__mysql/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__mysql/candidate_sql/CONS_0005__mysql.sql,5b35e99cd894f3ede08dbb29ded448640c057fc1ee3e112dc61f815108e0d6c2,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
CONS_0005,CONS,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,true,rewrite_route,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__spark/candidate_sql,true,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__spark/candidate_sql/CONS_0005__spark.sql,5b35e99cd894f3ede08dbb29ded448640c057fc1ee3e112dc61f815108e0d6c2,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
CONS_0005,CONS,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,true,sanity_control,runs/user/common_core_pg_noop_db_checker/candidate_sql,true,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0005__postgres.sql,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
CONS_0005,CONS,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,true,sanity_control,runs/user/common_core_mysql_noop_db_checker/candidate_sql,true,runs/user/common_core_mysql_noop_db_checker/candidate_sql/CONS_0005__mysql.sql,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,true,3,true,true,none,selected preferred pilot case; route and candidate binding ready
