evidence_group,method_or_route,scope,failure_bucket,taxonomy_axis,representative_tags,affected_cases,diagnostic_interpretation,source_path,notes
Track A 120 tag diagnostics,direct_llm_original,Track A 120,mismatch,rewrite_opportunity,dialect_adaptation=5; subquery_decorrelation=3; expression_simplification=2,mismatch=10; execution_failed=3; unsupported=5,Direct LLM original mismatch frontier concentrates around dialect adaptation and subquery-related retained taxonomy tags.,audits/track_a_120_tag_failure_slices_v0/direct_llm_original_tag_failure_review.md,Diagnostic/support only; tag_slices are not Positive Operation Coverage Rate.
Track A 120 tag diagnostics,direct_llm_repair_1,Track A 120,mismatch/unsupported_engine,not_available,not_available,mismatch=4; unsupported=5; timing_ineligible_exact=13,Repair-1 completed Track A 120 but is not included in the existing Track A tag-slice packet; use frontier counts only until a separate tag-slice task is authorized.,audits/direct_llm_repair_1_track_a_120_canonical_user_rerun_v0/frontier_review.md,Diagnostic/support only; no retained taxonomy tag claim made for Repair-1 here.
Track A 120 tag diagnostics,sqlglot_noop,Track A 120,mismatch/adapter_failed/unsupported_engine,rewrite_opportunity,dialect_adaptation=22; expression_simplification=5; order_limit_simplification=4,mismatch=10; adapter_failed=5; unsupported=5; execution_failed=3,SQLGlot no-op frontier is concentrated in PORT/cross-dialect boundaries and dialect-adaptation tags.,audits/track_a_120_tag_failure_slices_v0/sqlglot_noop_tag_failure_review.md,Diagnostic/support only; tag_slices are not Positive Operation Coverage Rate.
Track A 120 tag diagnostics,sqlglot_optimize_schema_aware,Track A 120,mismatch/adapter_failed/candidate_execution_failed,sql_feature,correlated_subquery=14; outer_join=13; date_time_function=8; expression_complexity=8,mismatch=25; adapter_failed=14; execution_failed=9; unsupported=5,Schema-aware SQLGlot optimize broadens the frontier across correlated subquery, outer join, date/time, and expression-complexity tags.,audits/track_a_120_tag_failure_slices_v0/sqlglot_optimize_schema_aware_tag_failure_review.md,Diagnostic/support only; tag_slices are not Positive Operation Coverage Rate.
Track A 120 tag diagnostics,calcite_hep_fail_closed,Track A 120,no_candidate_sql/mismatch,rewrite_opportunity,dialect_adaptation=26; expression_simplification=7; order_limit_simplification=6; function_normalization=6,no_candidate_sql=21; mismatch=14; execution_failed=3; unsupported=1,Calcite HEP fail-closed frontier is dominated by no-candidate SQL and dialect-adaptation related tags, especially PORT boundaries.,audits/track_a_120_tag_failure_slices_v0/calcite_hep_fail_closed_tag_failure_review.md,Diagnostic/support only; tag_slices are not Positive Operation Coverage Rate.
PG40 prior-method tag diagnostics,learnedrewrite,PostgreSQL PG40,fail_closed_no_candidate/candidate_execution_failed/mismatch,sql_feature,"candidate_execution_failed tags include aggregate, cte, join, sort, window_function; fail_closed includes correlated_subquery, cte, date_time_function, expression_complexity",non-exact=23; source_like=2,LearnedRewrite has the broadest PG40 frontier, with fail-closed rows in PORT/CONS/PERF and execution failures across LONGTAIL.,audits/prior_methods_pg40_tag_failure_slices_v0/cross_method_tag_failure_hotspots.md,PG40 only; not Track A 120; tag_slices are not Positive Operation Coverage Rate.
PG40 prior-method tag diagnostics,rbot_gpt54_adapted,PostgreSQL PG40,candidate_execution_failed/mismatch,sql_feature,"candidate_execution_failed tags include aggregate, cte, date_time_function, join, sort, subquery_in_from, window_function",PERF_0008 and LONGTAIL_0011 execution failed; PORT_0013 mismatch,R-Bot adapted PG40 frontier is small and includes one PORT mismatch plus two execution boundaries; adapted route only.,audits/prior_methods_pg40_tag_failure_slices_v0/cross_method_tag_failure_hotspots.md,Not original R-Bot paper reproduction; tag_slices are not Positive Operation Coverage Rate.
PG40 prior-method tag diagnostics,llm_r2_gpt54_adapted,PostgreSQL PG40,candidate_execution_failed,sql_feature,"LONGTAIL_0011: aggregate, cte, join, sort, window_function; rewrite_opportunity cte_strategy and expression_simplification",LONGTAIL_0011 execution failed; CONS_0037 source-like,LLM-R2 adapted PG40 frontier is one repeated LONGTAIL_0011 execution boundary; adapted route only.,audits/prior_methods_pg40_tag_failure_slices_v0/longtail_0011_cross_method_note.md,Not original LLM-R2 paper reproduction; tag_slices are not Positive Operation Coverage Rate.
PG40 prior-method tag diagnostics,cross_method_LONGTAIL_0011,PostgreSQL PG40,candidate_execution_failed,sql_feature,aggregate; cte; join; sort; window_function,learnedrewrite/rbot_gpt54_adapted/llm_r2_gpt54_adapted all retain LONGTAIL_0011 candidate execution boundary,LONGTAIL_0011 is a repeated prior-method execution boundary, not a method ranking conclusion.,audits/prior_methods_pg40_tag_failure_slices_v0/longtail_0011_cross_method_note.md,Diagnostic/support only; not Semantic Equivalence Rate or Positive Operation Coverage Rate.
PG40 prior-method tag diagnostics,source_like_noop_rows,PostgreSQL PG40,source_like_or_noop,sql_feature,source-like tags are row-local; retained case tags only,LearnedRewrite CONS_0036/CONS_0037; LLM-R2 CONS_0037; R-Bot none,Source-like/no-op classification is diagnostic only and should not remove rows from denominators.,audits/prior_methods_pg40_tag_failure_slices_v0/source_like_by_tag.csv,Not Positive Operation Coverage Rate and not a ranking metric.
