candidate_id,source_artifact_path,evidence_role,related_case_id_or_scope,related_pool,related_engine,related_route_or_method,related_denominator,ledger_case_id,ledger_pool,ledger_case_set,ledger_denominator_id,ledger_engine,ledger_route,ledger_method_role,ledger_candidate_id,generated_available,ready_available,executed_available,exact_available,timed_available,result_status_available,failure_stage_available,failure_type_available,parse_status_available,checker_status_available,plan_available_field_available,latency_ms_available,speedup_available,timing_eligible_available,retained_artifact_path,adapter_action,confidence,manual_review_required,notes
group_method_r_bot_track_a,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,r_bot;portability,track_a_same_engine_120_or_related,ambiguous,requires_case_lookup,common_core_v0,requires_denominator_lookup,requires_adapter,portability,r_bot,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,872 candidate rows by grouped map; reference only until adapter parses row grain
group_method_r_bot_common_core,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,r_bot;portability,common_core_v0_40_or_related,ambiguous,requires_case_lookup,common_core_v0,ambiguous,requires_adapter,portability,r_bot,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,411 candidate rows by grouped map; denominator row linkage not explicit
group_method_direct_llm_track_a,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,direct_llm;portability,track_a_same_engine_120_or_related,ambiguous,requires_case_lookup,common_core_v0,requires_denominator_lookup,requires_adapter,portability,direct_llm,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,407 candidate rows by grouped map; method output reference only
group_method_calcite_common_core,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,calcite_hep;portability,common_core_v0_40_or_related,ambiguous,requires_case_lookup,common_core_v0,ambiguous,requires_adapter,portability,calcite_hep,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,358 candidate rows by grouped map; exact/timing interpretation blocked by metrics contract
group_method_llm_r2_common_core,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,llm_r2;portability,common_core_v0_40_or_related,ambiguous,requires_case_lookup,common_core_v0,ambiguous,requires_adapter,portability,llm_r2,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,321 candidate rows by grouped map; future adapter must normalize method role
group_method_sqlglot_track_a,legacy:reports/evaluation/common_core_v0/**,method_output_retained_reference,mixed_common_core_scope,common_core_or_mixed,ambiguous,sqlglot;portability,track_a_same_engine_120_or_related,ambiguous,requires_case_lookup,common_core_v0,requires_denominator_lookup,requires_adapter,portability,sqlglot,requires_adapter,true,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_report_candidate_group,build_legacy_reports_adapter,medium,true,250 candidate rows by grouped map; no-op/source-like handling requires metrics contract
group_paper_facing_portability,legacy:reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/**,paper_facing_retained_evidence,PORT,PORT,ambiguous,portability,common_core_v0_40_or_related,ambiguous,PORT,common_core_v0,ambiguous,requires_adapter,portability,retained_legacy_reference,requires_adapter,ambiguous,ambiguous,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_paper_evidence_freeze_group,build_paper_freeze_adapter,medium,false,130 candidate rows are paper-facing candidates; copy remains deferred
group_paper_summary_tables,legacy:reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_*.*,paper_summary_table,PORT,PORT,ambiguous,portability,common_core_v0_40_or_related,ambiguous,PORT,common_core_v0,ambiguous,unavailable,summary_table,retained_legacy_reference,requires_adapter,false,unavailable,unavailable,unavailable,pending_metric_definition,ambiguous,unavailable,unavailable,unavailable,unavailable,unavailable,pending_metric_definition,pending_metric_definition,pending_metric_definition,legacy_paper_summary_group,reference_only_until_renderer_contract,low,true,69 candidate rows summarize paper-facing outputs but are not canonical ledger rows by themselves
group_denominator_references,legacy:reports/**/common_core_v0_*denominator*.*,denominator_or_membership_reference,common_core_v0,common_core_or_mixed,all,denominator_reference,common_core_v0_40_or_related,requires_case_lookup,requires_case_lookup,common_core_v0,requires_denominator_lookup,all,denominator_reference,retained_legacy_reference,requires_adapter,false,true,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,legacy_denominator_reference_group,crosscheck_against_case_sets_only,high,true,14 candidate rows are reference material and must not change denominator values
group_plan_observability,legacy:reports/evaluation/common_core_v0/**plan**.*,paper_facing_retained_evidence,PORT,PORT,postgres;ambiguous,pg_plan_attribution;plan_observability;portability,common_core_v0_40_or_related,ambiguous,PORT,common_core_v0,ambiguous,requires_adapter,plan_observability,retained_legacy_reference,requires_adapter,false,requires_adapter,requires_adapter,requires_adapter,pending_metric_definition,requires_adapter,requires_adapter,requires_adapter,unavailable,requires_adapter,true,unavailable,unavailable,unavailable,legacy_plan_observability_group,build_plan_observability_adapter,medium,false,Plan availability can be populated after parsing retained plan attribution files
