case_id,pool,legacy_path,prior_preview_label,wave003_bucket,reason_for_bucket,expected_effort,risk_flags,recommended_priority,notes
PERF_0001,PERF,cases/PERF/PERF_0001,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_schema;checker;validation;runs,P3,core_assets_complete=False; governance_batch_group=wave D: longtail/complex/manual-review cases; no case_sets/denominator/report/result change authorized.
PERF_0003,PERF,cases/PERF/PERF_0003,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_checker;validation;runs,P3,core_assets_complete=False; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
PERF_0004,PERF,cases/PERF/PERF_0004,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_schema;checker;validation;runs,P3,core_assets_complete=False; governance_batch_group=wave D: longtail/complex/manual-review cases; no case_sets/denominator/report/result change authorized.
PERF_0005,PERF,cases/PERF/PERF_0005,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs,P3,core_assets_complete=True; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
PERF_0027,PERF,cases/PERF/PERF_0027,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0028,PERF,cases/PERF/PERF_0028,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0030,PERF,cases/PERF/PERF_0030,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0031,PERF,cases/PERF/PERF_0031,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0032,PERF,cases/PERF/PERF_0032,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0037,PERF,cases/PERF/PERF_0037,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0039,PERF,cases/PERF/PERF_0039,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0040,PERF,cases/PERF/PERF_0040,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0041,PERF,cases/PERF/PERF_0041,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0042,PERF,cases/PERF/PERF_0042,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0045,PERF,cases/PERF/PERF_0045,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0046,PERF,cases/PERF/PERF_0046,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,local_path_or_host_trace_risk,P3,core_assets_complete=True; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
PERF_0048,PERF,cases/PERF/PERF_0048,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,local_path_or_host_trace_risk,P3,core_assets_complete=True; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
PERF_0049,PERF,cases/PERF/PERF_0049,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
