route_label,method_id,route_id,engine,planned_rows,candidate_rows_present,candidate_rows_missing,missing_cases,ambiguous_rows,candidate_root,sha256_ready,readiness_status,notes
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,postgres,40,40,0,,0,runs/user/direct_llm_original_track_a_120_canonical_v0__postgres/candidate_sql,true,ready_full40,complete selected candidate root
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,mysql,40,40,0,,0,runs/user/direct_llm_original_track_a_120_canonical_v0__mysql/candidate_sql,true,ready_full40,complete selected candidate root
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,spark,40,40,0,,0,runs/user/direct_llm_original_track_a_120_canonical_v0__spark/candidate_sql,true,ready_full40,complete selected candidate root
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,postgres,40,40,0,,0,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__postgres/candidate_sql,true,ready_full40,complete selected candidate root
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,mysql,40,40,0,,0,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__mysql/candidate_sql,true,ready_full40,complete selected candidate root
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,spark,40,40,0,,0,runs/user/direct_llm_repair_1_track_a_120_canonical_v0__spark/candidate_sql,true,ready_full40,complete selected candidate root
SQLGlot no-op,sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control,postgres,40,40,0,,0,runs/user/common_core_pg_noop_db_checker/candidate_sql,true,ready_full40,complete selected candidate root
SQLGlot no-op,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,mysql,40,40,0,,0,runs/user/common_core_mysql_noop_db_checker/candidate_sql,true,ready_full40,complete selected candidate root
SQLGlot no-op,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,spark,40,40,0,,0,runs/user/common_core_spark_noop_db_checker/candidate_sql,true,ready_full40,complete selected candidate root
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,postgres,40,34,6,CONS_0009;PORT_0004;PORT_0013;PORT_0022;PORT_0024;PORT_0025,0,runs/user/sqlglot_optimize_schema_aware_track_a_120_canonical_v0__postgres/candidate_sql,true,partial_candidate_present_fail_closed_missing,missing candidates remain fail-closed for POCR@planned; no substitute candidates used
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,mysql,40,32,8,PERF_0008;PERF_0013;PERF_0017;PERF_0019;CONS_0005;CONS_0009;CONS_0010;CONS_0011,0,runs/user/sqlglot_optimize_schema_aware_track_a_120_canonical_v0__mysql/candidate_sql,true,partial_candidate_present_fail_closed_missing,missing candidates remain fail-closed for POCR@planned; no substitute candidates used
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,spark,40,39,1,CONS_0009,0,runs/user/sqlglot_optimize_schema_aware_track_a_120_canonical_v0__spark/candidate_sql,true,partial_candidate_present_fail_closed_missing,missing candidates remain fail-closed for POCR@planned; no substitute candidates used
