rewrite_method,pool,engine,planned_denominator_rows,observed_generated_rows,inferred_generated_rows,official_generated_rows,blocker_reason,required_policy_or_evidence,notes
calcite_hep_fail_closed,CONS,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,CONS,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,CONS,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,LONGTAIL,mysql,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,LONGTAIL,postgres,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,LONGTAIL,spark,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,PERF,mysql,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,PERF,postgres,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,PERF,spark,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,PORT,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
