case_id,pool,source_path,positive_path,source_select_count,positive_select_count,source_features,positive_features,risk_score,tier,risk_notes
PERF_0062,PERF,cases/PERF/PERF_0062/sql/source.sql,cases/PERF/PERF_0062/sql/pos_01.sql,1,1,aggregate,inner_join|aggregate,20,strong_candidate,none
PORT_0024,PORT,cases/PORT/PORT_0024/sql/source.sql,cases/PORT/PORT_0024/sql/pos_01.sql,1,1,aggregate|case_expr,aggregate|case_expr,22,strong_candidate,none
PORT_0003,PORT,cases/PORT/PORT_0003/sql/source.sql,cases/PORT/PORT_0003/sql/pos_01.sql,1,1,order_by|limit_offset,order_by|limit_offset,25,strong_candidate,limit_offset_risk
PORT_0005,PORT,cases/PORT/PORT_0005/sql/source.sql,cases/PORT/PORT_0005/sql/pos_01.sql,1,1,order_by|limit_offset,order_by|limit_offset,25,strong_candidate,limit_offset_risk
PORT_0013,PORT,cases/PORT/PORT_0013/sql/source.sql,cases/PORT/PORT_0013/sql/pos_01.sql,1,1,inner_join|aggregate,inner_join|aggregate|case_expr,32,fallback_candidate,none
PERF_0077,PERF,cases/PERF/PERF_0077/sql/source.sql,cases/PERF/PERF_0077/sql/pos_01.sql,1,1,aggregate|like,inner_join|aggregate|like,40,fallback_candidate,none
PORT_0008,PORT,cases/PORT/PORT_0008/sql/source.sql,cases/PORT/PORT_0008/sql/pos_01.sql,1,1,inner_join,date_time|inner_join,50,fallback_candidate,date_interval_risk
PERF_0082,PERF,cases/PERF/PERF_0082/sql/source.sql,cases/PERF/PERF_0082/sql/pos_01.sql,1,1,aggregate|case_expr|like,inner_join|aggregate|case_expr|like,52,fallback_candidate,none
PERF_0054,PERF,cases/PERF/PERF_0054/sql/source.sql,cases/PERF/PERF_0054/sql/pos_01.sql,1,1,group_by|order_by|limit_offset|aggregate,group_by|order_by|limit_offset|inner_join|aggregate,60,high_risk,limit_offset_risk
PORT_0022,PORT,cases/PORT/PORT_0022/sql/source.sql,cases/PORT/PORT_0022/sql/pos_01.sql,1,1,inner_join|aggregate,date_time|inner_join|aggregate,60,high_risk,date_interval_risk
