case_id,engine,pool,feedback_type,repair_prompt_template_id,original_candidate_id,repaired_candidate_id,repaired_candidate_generated,extraction_status,preflight_status,fail_closed_reason,metadata_path,candidate_sql_path,notes
CONS_0005,postgres,CONS,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0005:postgres:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0005:postgres:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__postgres/workspaces/CONS_0005/postgres/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__postgres/candidate_sql/CONS_0005__postgres.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PERF_0062,mysql,PERF,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PERF_0062:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PERF_0062:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PERF_0062/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PERF_0062__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
CONS_0005,mysql,CONS,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0005:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0005:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/CONS_0005/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/CONS_0005__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
CONS_0037,mysql,CONS,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0037:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0037:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/CONS_0037/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/CONS_0037__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PORT_0004,mysql,PORT,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PORT_0004:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PORT_0004:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PORT_0004/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PORT_0004__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PORT_0012,mysql,PORT,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PORT_0012:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PORT_0012:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PORT_0012/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PORT_0012__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PORT_0013,mysql,PORT,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PORT_0013:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PORT_0013:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PORT_0013/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PORT_0013__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PORT_0022,mysql,PORT,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PORT_0022:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PORT_0022:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PORT_0022/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PORT_0022__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
PORT_0024,mysql,PORT,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:PORT_0024:mysql:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:PORT_0024:mysql:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/workspaces/PORT_0024/mysql/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__mysql/candidate_sql/PORT_0024__mysql.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
CONS_0005,spark,CONS,checker_mismatch_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0005:spark:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0005:spark:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/workspaces/CONS_0005/spark/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/candidate_sql/CONS_0005__spark.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
CONS_0009,spark,CONS,candidate_execution_error_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0009:spark:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0009:spark:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/workspaces/CONS_0009/spark/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/candidate_sql/CONS_0009__spark.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
CONS_0011,spark,CONS,candidate_execution_error_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:CONS_0011:spark:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:CONS_0011:spark:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/workspaces/CONS_0011/spark/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/candidate_sql/CONS_0011__spark.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
LONGTAIL_0012,spark,LONGTAIL,candidate_execution_error_feedback,direct_llm_repair_1_feedback_sql_only_v0,direct_llm_original_track_a_120_canonical_v0:LONGTAIL_0012:spark:direct_llm_original,direct_llm_original_track_a_120_canonical_v0:LONGTAIL_0012:spark:direct_llm_original:repair_1,true,extracted,passed,,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/workspaces/LONGTAIL_0012/spark/direct_llm_repair_1_status.json,runs/user/direct_llm_repair_1_no_live_13_frontier_dry_run_v0__spark/candidate_sql/LONGTAIL_0012__spark.sql,Fake-provider no-live facade row; DB/checker/timing not enabled.
