artifact_role,path,exists,committed,local_uncommitted,row_level,route_id,method_id,engine,row_count,usable_for_macro_pocr,notes
common_core_case_set,case_sets/common_core_v0/cases.csv,true,true,false,true,,,,40,supporting_planned_denominator,PG40 planned rows; read-only
skills_md_collection,cases/<POOL>/<CASE_ID>/skills.md,true,true,false,true,,,,40,supporting_expected_atom_counts,"Read-only source for operation_atom counts; 40 files, 107 operation atoms total"
repair1_closeout_summary,audits/pocr_repair1_exemplar_closeout_and_sqlglot_optimize_pg40_start_v0/repair1_before_after_retry_summary.csv,true,true,false,false,direct_llm_repair_1_pg40_pocr_diagnostic,direct_llm_repair_1,postgres,7,false,Aggregate counts only; insufficient for macro by itself
repair1_targeted_retry_summary,audits/pocr_step5_repair1_pg40_targeted_retry_v0/replay_diagnostic_rows_summary.csv,true,true,false,false,direct_llm_repair_1_pg40_pocr_diagnostic,direct_llm_repair_1,postgres,1,false,Aggregate counts only; insufficient for macro by itself
repair1_replay_mapping,audits/pocr_step5_repair1_pg40_targeted_retry_v0/replay_mapping_validation.csv,true,true,false,true,direct_llm_repair_1_pg40_pocr_diagnostic,direct_llm_repair_1,postgres,40,false,Row-level binding only; no per-row expected/supported atom counts
repair1_local_diagnostic_rows,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,true,false,true,true,direct_llm_repair_1_pg40_pocr_diagnostic,direct_llm_repair_1,postgres,40,true,Per-row replay artifact with expected and Stage B counts; used for macro dry-run
repair1_local_merged_annotation_jsonl,output/results/pocr_annotation_direct_llm_repair1_pg40_targeted_retry_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_pg40_pocr_diagnostic/postgres/merged_safe_annotation_outputs.jsonl,true,false,true,true,direct_llm_repair_1_pg40_pocr_diagnostic,direct_llm_repair_1,postgres,40,false,Stage A annotation JSONL; Stage B counts are in replay artifact
noop_sanity_control_review,audits/pocr_sqlglot_noop_pg40_sanity_control_v0/no_op_sanity_control_review.csv,true,true,false,true,sqlglot_noop_pg40_pocr_sanity_control,sqlglot_noop,postgres,40,partial,Committed row-level control review; lacks full replay flags but useful cross-check
noop_replay_mapping,audits/pocr_sqlglot_noop_pg40_sanity_control_v0/replay_mapping_validation.csv,true,true,false,true,sqlglot_noop_pg40_pocr_sanity_control,sqlglot_noop,postgres,40,false,Row-level binding only; no per-row expected/supported atom counts
noop_replay_summary,audits/pocr_sqlglot_noop_pg40_sanity_control_v0/replay_diagnostic_rows_summary.csv,true,true,false,false,sqlglot_noop_pg40_pocr_sanity_control,sqlglot_noop,postgres,1,false,Aggregate counts only; insufficient for macro by itself
noop_local_diagnostic_rows,/tmp/sqlrb_pocr_user_replay_sqlglot_noop_pg40_sanity_control_v0/output/results/pocr_user_replay_sqlglot_noop_pg40_sanity_control_v0/pocr/diagnostic_rows.csv,true,false,true,true,sqlglot_noop_pg40_pocr_sanity_control,sqlglot_noop,postgres,40,true,Per-row replay artifact with expected and Stage B counts; used for macro dry-run
noop_local_annotation_jsonl,output/results/pocr_annotation_sqlglot_noop_pg40_sanity_control_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_pg40_pocr_sanity_control/postgres/safe_annotation_outputs.jsonl,true,false,true,true,sqlglot_noop_pg40_pocr_sanity_control,sqlglot_noop,postgres,40,false,Stage A annotation JSONL; Stage B counts are in replay artifact
