case_id,target_engine,diagnostic_mode,source_reference_engine,source_reference_query,target_candidate_engine,target_reference_engine,target_reference_query,target_reference_use_for_checker_oracle,runner_behavior,evidence_basis,manual_review_required,notes
PORT_0003,postgres,same_engine,postgres,sql/source.sql,postgres,,,,same-engine PostgreSQL source/candidate execution,current manifest source_dialect=postgres_like_candidate and existing PostgreSQL source SQL,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0003,mysql,cross_dialect_reference,postgres,sql/source.sql,mysql,mysql,sql/pos_01.sql,false,explicit reverse cross-dialect route; current runner fails closed as unsupported route without executing source SQL in MySQL,legacy read-only evidence has PostgreSQL source artifact and MySQL rewrite_pos_01 target artifact; no MySQL source artifact found,yes_for_future_reverse_execution,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0003,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0004,postgres,cross_dialect_reference,mysql,sql/source.sql,postgres,postgres,sql/pos_01.sql,false,MySQL source-reference then PostgreSQL target-candidate execution,prior live MySQL source-reference and controlled PostgreSQL-target diagnostics,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0004,mysql,same_engine,mysql,sql/source.sql,mysql,,,,same-engine MySQL source/candidate execution using explicit role,current manifest source_dialect=mysql_like_candidate and source SQL is MySQL-side query,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0004,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0005,postgres,same_engine,postgres,sql/source.sql,postgres,,,,same-engine PostgreSQL source/candidate execution,current manifest source_dialect=postgres_like_candidate and existing PostgreSQL source SQL,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0005,mysql,cross_dialect_reference,postgres,sql/source.sql,mysql,mysql,sql/pos_01.sql,false,explicit reverse cross-dialect route; current runner fails closed as unsupported route without executing source SQL in MySQL,legacy read-only evidence has PostgreSQL source artifact and MySQL rewrite_pos_01 target artifact; no MySQL source artifact found,yes_for_future_reverse_execution,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0005,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0008,postgres,same_engine,postgres,sql/source.sql,postgres,,,,same-engine PostgreSQL source/candidate execution,current manifest source_dialect=postgres_like_candidate and existing PostgreSQL source SQL,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0008,mysql,cross_dialect_reference,postgres,sql/source.sql,mysql,mysql,sql/pos_01.sql,false,explicit reverse cross-dialect route; current runner fails closed as unsupported route without executing source SQL in MySQL,legacy read-only evidence has PostgreSQL source artifact and MySQL rewrite_pos_01 target artifact; no MySQL source artifact found,yes_for_future_reverse_execution,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0008,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0012,postgres,same_engine,postgres,sql/source.sql,postgres,,,,same-engine PostgreSQL source/candidate execution,current manifest source_dialect=postgres_like_candidate and existing PostgreSQL source SQL,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0012,mysql,cross_dialect_reference,postgres,sql/source.sql,mysql,mysql,sql/pos_01.sql,false,explicit reverse cross-dialect route; current runner fails closed as unsupported route without executing source SQL in MySQL,legacy read-only evidence has PostgreSQL source artifact and MySQL rewrite_pos_01 target artifact; no MySQL source artifact found,yes_for_future_reverse_execution,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0012,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0013,postgres,cross_dialect_reference,mysql,sql/source.sql,postgres,postgres,sql/pos_01.sql,false,MySQL source-reference then PostgreSQL target-candidate execution,prior live MySQL source-reference and controlled PostgreSQL-target diagnostics,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0013,mysql,same_engine,mysql,sql/source.sql,mysql,,,,same-engine MySQL source/candidate execution using explicit role,current manifest source_dialect=mysql_like_candidate and source SQL is MySQL-side query,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0013,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0022,postgres,cross_dialect_reference,mysql,sql/source.sql,postgres,postgres,sql/pos_01.sql,false,MySQL source-reference then PostgreSQL target-candidate execution,prior live MySQL source-reference and controlled PostgreSQL-target diagnostics,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0022,mysql,same_engine,mysql,sql/source.sql,mysql,,,,same-engine MySQL source/candidate execution using explicit role,current manifest source_dialect=mysql_like_candidate and source SQL is MySQL-side query,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0022,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0024,postgres,cross_dialect_reference,mysql,sql/source.sql,postgres,postgres,sql/pos_01.sql,false,MySQL source-reference then PostgreSQL target-candidate execution,prior live MySQL source-reference and controlled PostgreSQL-target diagnostics,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0024,mysql,same_engine,mysql,sql/source.sql,mysql,,,,same-engine MySQL source/candidate execution using explicit role,current manifest source_dialect=mysql_like_candidate and source SQL is MySQL-side query,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0024,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0025,postgres,cross_dialect_reference,mysql,sql/source.sql,postgres,postgres,sql/pos_01.sql,false,MySQL source-reference then PostgreSQL target-candidate execution,prior live MySQL source-reference and controlled PostgreSQL-target diagnostics,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0025,mysql,same_engine,mysql,sql/source.sql,mysql,,,,same-engine MySQL source/candidate execution using explicit role,current manifest source_dialect=mysql_like_candidate and source SQL is MySQL-side query,no,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
PORT_0025,spark,unsupported,,,spark,,,,fail closed; Spark local execution deferred,Spark backend remains deferred/fail-closed,yes,"local diagnostic only; not official metrics, timing, reports/results, paper evidence, retained evidence, or leaderboard input"
