record_id,case_id,pool,engine,rewrite_method,denominator_id,source_field,source_value,proposed_inferred_field,proposed_inferred_value,inference_rule_id,inference_allowed_now,requires_future_authorization,metric_input_authorized_current,notes
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0005:mysql:direct_llm_original,CONS_0005,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0005:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0007:mysql:direct_llm_original,CONS_0007,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0007:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0009:mysql:direct_llm_original,CONS_0009,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0009:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0010:mysql:direct_llm_original,CONS_0010,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0010:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0011:mysql:direct_llm_original,CONS_0011,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0011:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0012:mysql:direct_llm_original,CONS_0012,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0012:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0036:mysql:direct_llm_original,CONS_0036,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0036:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0037:mysql:direct_llm_original,CONS_0037,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0037:mysql,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0005:postgres:direct_llm_original,CONS_0005,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0005:postgres,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0007:postgres:direct_llm_original,CONS_0007,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0007:postgres,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0009:postgres:direct_llm_original,CONS_0009,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0009:postgres,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0010:postgres:direct_llm_original,CONS_0010,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0010:postgres,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0011:postgres:direct_llm_original,CONS_0011,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0011:postgres,normalized_ready,true,inferred_generated,true,R1,false,true,false,Preview only: ready/generated source semantics must be approved before any inferred field can be used.
