relative_path,public_release_path,source_kind,source_legacy_path_or_generated_from,size_bytes,sha256_public_copy,sha256_source_if_applicable,sha256_matches_source_if_applicable,category,canonical_section,public_hygiene_scan_ok,evidence_role,notes
README.md,cases/CONS/CONS_0005/README.md,generated,generated canonical README,2002,f1bbbe130e9878997b5e96b54272d6f3eeed1146bdb50c608809e0d6d66ed1aa,,,root,root,true,human_overview,generated canonical README
checker/checker.yaml,cases/CONS/CONS_0005/checker/checker.yaml,generated,generated checker config,631,65208f52435d4d5ae901117c607301619e475dcc1a7416c1a86cc8a19b7bd6d7,,,generated,checker,true,checker_config,generated checker config
checker/compare_config.yaml,cases/CONS/CONS_0005/checker/compare_config.yaml,generated,generated compare config,724,c33c8db14ad2047981eadc706cdf1ddbda567ee14fc594cdf59f2563d4bb2e9e,,,generated,checker,true,compare_config,generated compare config
checker/expected_rejections.yaml,cases/CONS/CONS_0005/checker/expected_rejections.yaml,generated,generated approved expected rejection config,1609,4606a3d9e349ec4dfd2e5c08f9c04d45ddd4b8d364016e037f794f28af33648f,,,generated,checker,true,expected_rejections,generated approved expected rejection config
checker/normalization.yaml,cases/CONS/CONS_0005/checker/normalization.yaml,generated,generated normalization config,305,452ba4252db406feb1e047d61ee29f977ba478e931f5a186a4e72ad77a81389d,,,generated,checker,true,normalization,generated normalization config
data/data_profile.yaml,cases/CONS/CONS_0005/data/data_profile.yaml,generated,generated data profile,374,085e89eb075d783c41411748ad1c5280cb3bbae813f1028ef703a8c5e734ee12,,,generated,data,true,data_profile,generated data profile
data/witness_profile.yaml,cases/CONS/CONS_0005/data/witness_profile.yaml,generated,generated witness profile,422,fc97b7a9427a91461adfaee9d221b6276d2fcb7744446472b595bf302e0dc50c,,,generated,data,true,witness_profile,generated witness profile
evidence/hard_negative/hard_negative_summary.json,cases/CONS/CONS_0005/evidence/hard_negative/hard_negative_summary.json,generated,generated hard-negative summary,648,e67ae382a8fbc6a9b91d89abeba518dbcb39d4854ae955c9daa7c2985b1e5bda,,,generated,evidence,true,hard_negative_summary,generated hard-negative summary
evidence/hard_negative/mysql/rewrite_neg_01.tsv,cases/CONS/CONS_0005/evidence/hard_negative/mysql/rewrite_neg_01.tsv,legacy_file,cases/CONS/CONS_0005/runs/mysql/rewrite_neg_01.tsv,4,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,true,evidence,evidence,true,MySQL hard-negative output,copied byte-for-byte from legacy source
evidence/hard_negative/postgres/rewrite_neg_01.tsv,cases/CONS/CONS_0005/evidence/hard_negative/postgres/rewrite_neg_01.tsv,legacy_file,cases/CONS/CONS_0005/runs/pg/rewrite_neg_01.tsv,4,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,true,evidence,evidence,true,PostgreSQL hard-negative output,copied byte-for-byte from legacy source
evidence/hard_negative/spark/rewrite_neg_01.tsv,cases/CONS/CONS_0005/evidence/hard_negative/spark/rewrite_neg_01.tsv,legacy_file,cases/CONS/CONS_0005/runs/spark/rewrite_neg_01.tsv,4,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,9ac44d29fde607ff6c4050d9765e1792afa9fac174601aba62cd441152f7b831,true,evidence,evidence,true,Spark hard-negative output,copied byte-for-byte from legacy source
