method_id,route_id,engine,planned_rows,candidate_rows_present,reusable_annotation_rows,reusable_row_metrics_rows,rows_needing_new_annotation,rows_fail_closed_without_annotation,selected_reuse_source,notes
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,postgres,40,40,40,40,0,0,existing PG40 annotation/row metrics,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,mysql,40,40,0,0,40,0,none,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,spark,40,40,0,0,40,0,none,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,postgres,40,40,40,40,0,0,existing PG40 annotation/row metrics,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,mysql,40,40,5,5,35,0,five-row tri-engine pilot annotations reused,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,spark,40,40,5,5,35,0,five-row tri-engine pilot annotations reused,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control,postgres,40,40,40,40,0,0,existing PG40 annotation/row metrics,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,mysql,40,40,5,5,35,0,five-row tri-engine pilot annotations reused,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,spark,40,40,5,5,35,0,five-row tri-engine pilot annotations reused,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,postgres,40,34,34,40,0,6,existing PG40 annotation/row metrics,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,mysql,40,32,0,0,32,8,none,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,spark,40,39,0,0,39,1,none,route id preserved from reusable evidence when applicable; no annotation row identity was rewritten
