capability,status,covered_cases,evidence_source,local_diagnostic_only,official_metric,notes
target_engine_aware_manifest_metadata,complete,PORT_0003;PORT_0004;PORT_0005;PORT_0008;PORT_0012;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_target_engine_role_mapping_v0/README.md,yes,no,All PORT manifests declare port_target_engine_diagnostic_v0 engine roles.
validator_support,complete,PORT_0003;PORT_0004;PORT_0005;PORT_0008;PORT_0012;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_target_engine_role_mapping_v0/README.md,yes,no,Static validators accept the target-engine-aware local diagnostic metadata.
resolver_runner_consumption,complete,PORT_0003;PORT_0004;PORT_0005;PORT_0008;PORT_0012;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_target_engine_role_mapping_v0/README.md,yes,no,Selected engine resolves the corresponding manifest-declared role.
forward_mysql_source_to_postgres_target,validated_exact_5_of_5,PORT_0004;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_cross_dialect_checker_normalization_v0/README.md,yes,no,Controlled PostgreSQL target-reference diagnostic reached exact 5/5 after opt-in normalization.
reverse_postgres_source_to_mysql_target,validated_exact_4_of_4,PORT_0003;PORT_0005;PORT_0008;PORT_0012,audits/port_reverse_cross_dialect_mysql_target_diagnostic_v0/README.md,yes,no,Controlled MySQL target-reference diagnostic reached exact 4/4.
wrong_engine_source_execution_guard,complete,PORT_0003;PORT_0004;PORT_0005;PORT_0008;PORT_0012;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_target_engine_role_mapping_v0/README.md,yes,no,Runner uses declared source-reference engine rather than executing source.sql on the selected target engine.
checker_normalization_boundary,complete,PORT_0003;PORT_0004;PORT_0005;PORT_0008;PORT_0012;PORT_0013;PORT_0022;PORT_0024;PORT_0025,audits/port_cross_dialect_checker_normalization_v0/README.md,yes,no,Column-label positional comparison and decimal string equivalence are opt-in for cross-dialect local diagnostics.
same_engine_default_protection,complete,PERF;CONS;LONGTAIL;PORT_same_engine,audits/port_target_engine_role_mapping_v0/README.md,yes,no,Non-PORT same-engine behavior and same-engine PORT roles remain outside cross-dialect normalization by default.
spark_live_execution,deferred,PORT,audits/port_cross_dialect_diagnostic_execution_plan_v0/README.md,yes,no,Spark remains fail-closed and deferred.
official_metrics_timing_reports_leaderboard,deferred,all,project_control/USER_ENTRY_LOCAL_EVALUATION_ARCHITECTURE_PLAN.md,yes,no,No official metrics timing reports results or leaderboard are authorized by this closeout.
