case_id,reference_file,referenced_path,reference_kind,live_reference,required_update,recommended_replacement,notes
PERF_0006,cases/PERF/PERF_0006/manifest.yaml,evidence_ref and evidence/cases/PERF/PERF_0006/,manifest_evidence_ref,true,true,evidence_policy with static_case_evidence not_required,Remove mandatory static evidence refs before deleting top-level static evidence.
PERF_0006,cases/PERF/PERF_0006/README.md,evidence_ref and evidence/cases/PERF/PERF_0006/,readme_evidence_wording,true,true,Regeneration-first evidence policy wording,README currently describes external static evidence as current public-safe retained evidence.
PERF_0006,cases/PERF/PERF_0006/checker/checker.yaml,evidence/cases/PERF/PERF_0006/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Checker config still points to retained static result artifacts.
PERF_0006,cases/PERF/PERF_0006/checker/compare_config.yaml,evidence/cases/PERF/PERF_0006/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Compare config still points to retained static result artifacts.
PERF_0006,cases/PERF/PERF_0006/checker/expected_rejections.yaml,evidence/cases/PERF/PERF_0006/,checker_static_reference,true,true,Hard-negative expectation policy without static retained paths,Expected rejection config still points to retained hard-negative artifacts.
PERF_0006,cases/PERF/PERF_0006/witness/data_profile.yaml,evidence/cases/PERF/PERF_0006/,witness_static_reference,true,true,Source-as-oracle runtime witness policy,Witness data profile still points to retained source output.
PERF_0006,cases/PERF/PERF_0006/evidence/,case-local evidence directory,case_local_evidence,already_removed,false,none,Case-local evidence directory is absent after prior cleanup.
PERF_0007,cases/PERF/PERF_0007/manifest.yaml,evidence_ref and evidence/cases/PERF/PERF_0007/,manifest_evidence_ref,true,true,evidence_policy with static_case_evidence not_required,Remove mandatory static evidence refs before deleting top-level static evidence.
PERF_0007,cases/PERF/PERF_0007/README.md,evidence_ref and evidence/cases/PERF/PERF_0007/,readme_evidence_wording,true,true,Regeneration-first evidence policy wording,README currently describes external static evidence as current public-safe retained evidence.
PERF_0007,cases/PERF/PERF_0007/checker/checker.yaml,evidence/cases/PERF/PERF_0007/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Checker config still points to retained static result artifacts.
PERF_0007,cases/PERF/PERF_0007/checker/compare_config.yaml,evidence/cases/PERF/PERF_0007/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Compare config still points to retained static result artifacts.
PERF_0007,cases/PERF/PERF_0007/checker/expected_rejections.yaml,evidence/cases/PERF/PERF_0007/,checker_static_reference,true,true,Hard-negative expectation policy without static retained paths,Expected rejection config still points to retained hard-negative artifacts.
