case_id,field,present,value_status,recovery_source,notes
PERF_0006,case_id,true,present,branch_history_or_current_manifest,
PERF_0006,pool,true,present,branch_history_or_current_manifest,
PERF_0006,primary_pool,true,present,branch_history_or_current_manifest,
PERF_0006,package_path,true,present,branch_history_or_current_manifest,
PERF_0006,source_family,true,present,branch_history_or_current_manifest,
PERF_0006,source_workload,true,present,branch_history_or_current_manifest,
PERF_0006,based_benchmark,true,present,branch_history_or_current_manifest,
PERF_0006,source_query_identity,true,present,branch_history_or_current_manifest,
PERF_0006,source_path,true,present,branch_history_or_current_manifest,
PERF_0006,draft_origin,true,manual_review_required,branch_history_or_current_manifest,not fabricated; manual review caveat retained
PERF_0006,taxonomy,true,present,branch_history_or_current_manifest,
PERF_0006,sql,true,present,branch_history_or_current_manifest,
PERF_0006,schema,true,present,branch_history_or_current_manifest,
PERF_0006,witness,true,present,branch_history_or_current_manifest,
PERF_0006,checker,true,present,branch_history_or_current_manifest,
PERF_0006,validation,true,present,branch_history_or_current_manifest,
PERF_0006,evidence_policy,true,present,branch_history_or_current_manifest,
PERF_0006,status,true,present,branch_history_or_current_manifest,
PERF_0006,known_caveats,true,present,branch_history_or_current_manifest,
PERF_0006,artifact_warning,true,present,branch_history_or_current_manifest,
PERF_0007,case_id,true,present,branch_history_or_current_manifest,
PERF_0007,pool,true,present,branch_history_or_current_manifest,
PERF_0007,primary_pool,true,present,branch_history_or_current_manifest,
PERF_0007,package_path,true,present,branch_history_or_current_manifest,
PERF_0007,source_family,true,present,branch_history_or_current_manifest,
PERF_0007,source_workload,true,present,branch_history_or_current_manifest,
PERF_0007,based_benchmark,true,present,branch_history_or_current_manifest,
PERF_0007,source_query_identity,true,present,branch_history_or_current_manifest,
PERF_0007,source_path,true,present,branch_history_or_current_manifest,
PERF_0007,draft_origin,true,manual_review_required,branch_history_or_current_manifest,not fabricated; manual review caveat retained
PERF_0007,taxonomy,true,present,branch_history_or_current_manifest,
PERF_0007,sql,true,present,branch_history_or_current_manifest,
PERF_0007,schema,true,present,branch_history_or_current_manifest,
PERF_0007,witness,true,present,branch_history_or_current_manifest,
PERF_0007,checker,true,present,branch_history_or_current_manifest,
PERF_0007,validation,true,present,branch_history_or_current_manifest,
PERF_0007,evidence_policy,true,present,branch_history_or_current_manifest,
PERF_0007,status,true,present,branch_history_or_current_manifest,
PERF_0007,known_caveats,true,present,branch_history_or_current_manifest,
PERF_0007,artifact_warning,true,present,branch_history_or_current_manifest,
CONS_0005,case_id,true,present,branch_history_or_current_manifest,
CONS_0005,pool,true,present,branch_history_or_current_manifest,
CONS_0005,primary_pool,true,present,branch_history_or_current_manifest,
CONS_0005,package_path,true,present,branch_history_or_current_manifest,
CONS_0005,source_family,true,present,branch_history_or_current_manifest,
CONS_0005,source_workload,true,present,branch_history_or_current_manifest,
CONS_0005,based_benchmark,true,present,branch_history_or_current_manifest,
CONS_0005,source_query_identity,true,present,branch_history_or_current_manifest,
CONS_0005,source_path,true,present,branch_history_or_current_manifest,
CONS_0005,draft_origin,true,present,branch_history_or_current_manifest,
CONS_0005,taxonomy,true,present,branch_history_or_current_manifest,
CONS_0005,sql,true,present,branch_history_or_current_manifest,
CONS_0005,schema,true,present,branch_history_or_current_manifest,
CONS_0005,witness,true,present,branch_history_or_current_manifest,
CONS_0005,checker,true,present,branch_history_or_current_manifest,
CONS_0005,validation,true,present,branch_history_or_current_manifest,
CONS_0005,evidence_policy,true,present,branch_history_or_current_manifest,
CONS_0005,status,true,present,branch_history_or_current_manifest,
CONS_0005,known_caveats,true,present,branch_history_or_current_manifest,
CONS_0005,artifact_warning,true,present,branch_history_or_current_manifest,
PORT_0003,case_id,true,present,branch_history_or_current_manifest,
PORT_0003,pool,true,present,branch_history_or_current_manifest,
PORT_0003,primary_pool,true,present,branch_history_or_current_manifest,
PORT_0003,package_path,true,present,branch_history_or_current_manifest,
PORT_0003,source_family,true,present,branch_history_or_current_manifest,
PORT_0003,source_workload,true,present,branch_history_or_current_manifest,
PORT_0003,based_benchmark,true,present,branch_history_or_current_manifest,
PORT_0003,source_query_identity,true,present,branch_history_or_current_manifest,
PORT_0003,source_path,true,present,branch_history_or_current_manifest,
PORT_0003,draft_origin,true,manual_review_required,branch_history_or_current_manifest,not fabricated; manual review caveat retained
PORT_0003,taxonomy,true,present,branch_history_or_current_manifest,
PORT_0003,sql,true,present,branch_history_or_current_manifest,
PORT_0003,schema,true,present,branch_history_or_current_manifest,
PORT_0003,witness,true,present,branch_history_or_current_manifest,
PORT_0003,checker,true,present,branch_history_or_current_manifest,
PORT_0003,validation,true,present,branch_history_or_current_manifest,
PORT_0003,evidence_policy,true,present,branch_history_or_current_manifest,
PORT_0003,status,true,present,branch_history_or_current_manifest,
PORT_0003,known_caveats,true,present,branch_history_or_current_manifest,
PORT_0003,artifact_warning,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,case_id,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,pool,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,primary_pool,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,package_path,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,source_family,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,source_workload,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,based_benchmark,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,source_query_identity,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,source_path,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,draft_origin,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,taxonomy,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,sql,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,schema,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,witness,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,checker,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,validation,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,evidence_policy,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,status,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,known_caveats,true,present,branch_history_or_current_manifest,
LONGTAIL_0011,artifact_warning,true,present,branch_history_or_current_manifest,
PERF_0008,case_id,true,present,branch_history_or_current_manifest,
PERF_0008,pool,true,present,branch_history_or_current_manifest,
PERF_0008,primary_pool,true,present,branch_history_or_current_manifest,
PERF_0008,package_path,true,present,branch_history_or_current_manifest,
PERF_0008,source_family,true,present,branch_history_or_current_manifest,
PERF_0008,source_workload,true,present,branch_history_or_current_manifest,
PERF_0008,based_benchmark,true,present,branch_history_or_current_manifest,
