case_id,candidate_path,exists_before,empty_or_placeholder_only,live_references_found,direct_replacement_exists,deletion_allowed,notes
PERF_0006,cases/PERF/PERF_0006/notes/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PERF_0006,cases/PERF/PERF_0006/sql/positives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PERF_0006,cases/PERF/PERF_0006/sql/negatives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PERF_0007,cases/PERF/PERF_0007/notes/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PERF_0007,cases/PERF/PERF_0007/sql/positives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PERF_0007,cases/PERF/PERF_0007/sql/negatives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
CONS_0005,cases/CONS/CONS_0005/notes/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
CONS_0005,cases/CONS/CONS_0005/sql/positives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
CONS_0005,cases/CONS/CONS_0005/sql/negatives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PORT_0003,cases/PORT/PORT_0003/notes/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PORT_0003,cases/PORT/PORT_0003/sql/positives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
PORT_0003,cases/PORT/PORT_0003/sql/negatives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/notes/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/sql/positives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/sql/negatives/,true,true,false,true,true,"directory was empty, had no live path references, and is absent after cleanup"
