route_id,method_id,engine,planned_rows,adapter_ready,runtime_ready,user_cli_ready,candidate_generation_ready,execution_ready,checker_ready,timing_ready,local_metrics_projection_ready,verifier_rerun_ready,readiness_status,blockers,next_safe_action
sqlglot_noop,sqlglot_noop,postgres,40,yes,yes_sqlglot_available,yes_d035_facade,ready_with_5_port_fail_closed,ready_for_generated_rows,ready,ready_exact_gated,ready_local_only,blocked_run_candidates_verifier_facade_gap,ready_local_diagnostic_rerun,"5 no-candidate PORT rows; local diagnostic only; not paper-facing","include in first Track A 120 local diagnostic rerun readiness sequence"
sqlglot_noop,sqlglot_noop,mysql,40,yes,yes_sqlglot_available,yes_d035_facade,ready_with_known_frontier,ready_with_known_frontier,ready_with_label_policy_caveat,ready_exact_gated,ready_local_only,blocked_run_candidates_verifier_facade_gap,ready_local_diagnostic_rerun,"known MySQL label-only and PORT real-adapter frontier from prior closeout; D035 current route card not refreshed","include in first Track A 120 local diagnostic rerun and keep failure buckets visible"
sqlglot_noop,sqlglot_noop,spark,40,yes,yes_sqlglot_available,yes_d035_facade,ready_with_known_port_frontier,ready_with_known_port_frontier,ready_after_spark_order_policy_fix,ready_exact_gated,ready_local_only,blocked_run_candidates_verifier_facade_gap,ready_local_diagnostic_rerun,"Spark PORT unsupported/fail-closed and PORT real-adapter frontier; D035 current route card not refreshed","include in first Track A 120 local diagnostic rerun and keep Spark PORT roles visible"
sqlglot_optimize,sqlglot_optimize,postgres,40,yes,yes_sqlglot_available,yes_d035_facade,partially_ready,partially_ready,partially_ready_after_execution_success_only,blocked_until_exact_rows,blocked_until_current_route_card,blocked_run_candidates_verifier_facade_gap,partially_ready_bounded_smoke_only,"context-free optimize emits invalid CONS_0005 qualification; no current D035 route card","run separate bounded D035 optimize refresh or design separately named schema-aware route"
sqlglot_optimize,sqlglot_optimize,mysql,40,yes,yes_sqlglot_available,yes_d035_facade,partially_ready,partially_ready,partially_ready_after_execution_success_only,blocked_until_exact_rows,blocked_until_current_route_card,blocked_run_candidates_verifier_facade_gap,partially_ready_bounded_smoke_only,"context-free optimize emits invalid CONS_0005 qualification; no current D035 route card","run separate bounded D035 optimize refresh or design separately named schema-aware route"
sqlglot_optimize,sqlglot_optimize,spark,40,yes,yes_sqlglot_available,yes_d035_facade,partially_ready,partially_ready,partially_ready_after_execution_success_only,blocked_until_exact_rows,blocked_until_current_route_card,blocked_run_candidates_verifier_facade_gap,partially_ready_bounded_smoke_only,"context-free optimize emits invalid CONS_0005 qualification; no current D035 route card","run separate bounded D035 optimize refresh or design separately named schema-aware route"
calcite_hep_fail_closed,calcite_hep_fail_closed,postgres,40,yes,yes_external_runtime_staged,yes_d035_facade,ready_with_frontier,ready_with_frontier,ready_with_mismatches_visible,ready_exact_gated,ready_local_only,blocked_run_candidates_verifier_facade_gap,ready_pg_only_local_diagnostic,"7 no-candidate rows; 4 schema-fallback exclusions; 1 source execution failure; 6 mismatches; exact coverage 22/40","do not expand to 120 yet; plan blocker triage before MySQL/Spark"
calcite_hep_fail_closed,calcite_hep_fail_closed,mysql,40,yes,partial_external_runtime_not_validated_for_mysql,yes_d035_facade,blocked,blocked,blocked,blocked,blocked,blocked_run_candidates_verifier_facade_gap,blocked,"Calcite MySQL/Spark route not refreshed; identifier/datetime/PORT/schema-fallback/mismatch blockers not resolved across engines","triage external runtime and MySQL candidate-generation/execution blockers before any MySQL run"
calcite_hep_fail_closed,calcite_hep_fail_closed,spark,40,yes,partial_external_runtime_not_validated_for_spark,yes_d035_facade,blocked,blocked,blocked,blocked,blocked,blocked_run_candidates_verifier_facade_gap,blocked,"Calcite Spark route not refreshed; Spark SQL dialect/runtime and schema-fallback blockers unresolved","triage external runtime and Spark candidate-generation/execution blockers before any Spark run"
direct_llm_original,direct_llm_original,postgres,40,no_baseline_adapter,no_provider_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"no D035 adapter; prompt/model/provider/extraction metadata contract absent; no current route card","create direct LLM original user-facing adapter and metadata contract after deterministic routes"
direct_llm_original,direct_llm_original,mysql,40,no_baseline_adapter,no_provider_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"no D035 adapter; prompt/model/provider/extraction metadata contract absent; no current route card","create direct LLM original user-facing adapter and metadata contract after deterministic routes"
direct_llm_original,direct_llm_original,spark,40,no_baseline_adapter,no_provider_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"no D035 adapter; prompt/model/provider/extraction metadata contract absent; no current route card","create direct LLM original user-facing adapter and metadata contract after deterministic routes"
direct_llm_repair_1,direct_llm_repair_1,postgres,40,no_baseline_adapter,no_provider_or_repair_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"depends on direct LLM original; repair prompt/execution-feedback/extraction metadata contract absent","defer until direct LLM original route is ready and execution-feedback schema is defined"
direct_llm_repair_1,direct_llm_repair_1,mysql,40,no_baseline_adapter,no_provider_or_repair_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"depends on direct LLM original; repair prompt/execution-feedback/extraction metadata contract absent","defer until direct LLM original route is ready and execution-feedback schema is defined"
direct_llm_repair_1,direct_llm_repair_1,spark,40,no_baseline_adapter,no_provider_or_repair_contract,no_user_cli_route,blocked,blocked,blocked,blocked,blocked,blocked,blocked,"depends on direct LLM original; repair prompt/execution-feedback/extraction metadata contract absent","defer until direct LLM original route is ready and execution-feedback schema is defined"
sqlsolver,sqlsolver,postgres,40,n/a_support_wrapper,yes_external_sqlsolver_ready,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,partially_ready_support_layer,"SQLSolver wrapper and PG noop evidence exist but sqlrb user verify --pair-scope run-candidates is not implemented","implement exact-candidate user-facing verifier rerun facade with identity guard"
sqlsolver,sqlsolver,mysql,40,n/a_support_wrapper,partial_no_mysql_candidate_evidence,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,blocked_support_pending_candidate_run,"no D035 MySQL candidate run to verify; run-candidates verifier facade missing","wait for candidate rerun then exact-gated SQLSolver identity pass"
sqlsolver,sqlsolver,spark,40,n/a_support_wrapper,partial_no_spark_candidate_evidence,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,blocked_support_pending_candidate_run,"no D035 Spark candidate run to verify; run-candidates verifier facade missing","wait for candidate rerun then exact-gated SQLSolver identity pass"
verieql,verieql,postgres,40,n/a_support_wrapper,yes_external_verieql_integrated,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,partially_ready_coverage_limited_support,"VeriEQL PG noop identity guard leaves only 4/35 corrected decidable rows; run-candidates verifier facade missing","keep as bounded support evidence; do not plan paper-facing SER without coverage/identity fix"
verieql,verieql,mysql,40,n/a_support_wrapper,partial_no_mysql_candidate_evidence,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,blocked_support_coverage_limited,"no MySQL candidate verifier evidence; VeriEQL modeling/identity limitations unresolved","defer unless specific MySQL support canary is authorized"
verieql,verieql,spark,40,n/a_support_wrapper,partial_no_spark_candidate_evidence,partial_synthetic_smoke_only,n/a,n/a,n/a,n/a,n/a,blocked_run_candidates_verifier_facade_gap,blocked_support_coverage_limited,"no Spark candidate verifier evidence; VeriEQL modeling/identity limitations unresolved","defer unless specific Spark support canary is authorized"
