case_id,candidate_path,candidate_type,readiness_source,readiness_status,deletion_allowed,deletion_performed,skip_reason,notes
PERF_0006,validation/run_postgres_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,validation/run_mysql_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,validation/run_spark_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,validation/run_postgres_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,validation/run_mysql_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,validation/run_spark_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0006,schema/postgres/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_common_core_v0/postgres/ verified before deletion
PERF_0006,schema/mysql/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_common_core_v0/mysql/ verified before deletion
PERF_0006,schema/spark/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_common_core_v0/spark/ verified before deletion
PERF_0006,evidence/,case_local_evidence,evidence_reference_unblock_results.csv + gap_closure_skipped_manifest.csv,external_evidence_updated_and_verified,true,true,,case-local evidence file tree mapped byte-for-byte to evidence/cases package
PERF_0007,validation/run_postgres_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,validation/run_mysql_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,validation/run_spark_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,validation/run_postgres_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,validation/run_mysql_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,validation/run_spark_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PERF_0007,schema/postgres/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_perf0007_v0/postgres/ verified before deletion
PERF_0007,schema/mysql/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_perf0007_v0/mysql/ verified before deletion
PERF_0007,schema/spark/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/tpch_perf0007_v0/spark/ verified before deletion
PERF_0007,evidence/,case_local_evidence,evidence_reference_unblock_results.csv + gap_closure_skipped_manifest.csv,external_evidence_updated_and_verified,true,true,,case-local evidence file tree mapped byte-for-byte to evidence/cases package
CONS_0005,validation/run_postgres_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,validation/run_mysql_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,validation/run_spark_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,validation/run_postgres_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,validation/run_mysql_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,validation/run_spark_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
CONS_0005,schema/postgres/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/calcite_core_sql_tests_cons0005_v0/postgres/ verified before deletion
CONS_0005,schema/mysql/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/calcite_core_sql_tests_cons0005_v0/mysql/ verified before deletion
CONS_0005,schema/spark/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/calcite_core_sql_tests_cons0005_v0/spark/ verified before deletion
CONS_0005,evidence/,case_local_evidence,evidence_reference_unblock_results.csv + gap_closure_skipped_manifest.csv,external_evidence_updated_and_verified,true,true,,case-local evidence file tree mapped byte-for-byte to evidence/cases package
