case_id,pool,atom_id,atom_type,observed_status,evidence_refs,stage_b_status,reason_not_transformation_supported,likely_expected_behavior,improvement_suggestion
CONS_0005,CONS,A1,operation_atom,not_implemented,"candidate_sql_span:WHERE table1.j NOT IN (
  SELECT table2.i
  FROM table2
  WHERE table2.j = table1.i
) | source_candidate_diff:changed | positive_sql_span:WHERE NOT EXISTS (
  SELECT 1
  FROM table2 AS t2
  WHERE t2.j = t1.i
    AND (t2.i = t1.j OR t2.i IS NULL)
)",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0005,CONS,A2,operation_atom,not_implemented,"candidate_sql_span:WHERE table1.j NOT IN (
  SELECT table2.i
  FROM table2
  WHERE table2.j = table1.i
) | source_candidate_diff:changed | positive_sql_span:WHERE NOT EXISTS (
  SELECT 1
  FROM table2 AS t2
  WHERE t2.j = t1.i
    AND (t2.i = t1.j OR t2.i IS NULL)
)",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0005,CONS,A3,operation_atom,not_implemented,"candidate_sql_span:WHERE table1.j NOT IN (
  SELECT table2.i
  FROM table2
  WHERE table2.j = table1.i
) | positive_sql_span:AND (t2.i = t1.j OR t2.i IS NULL) | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0007,CONS,A1,operation_atom,not_implemented,"candidate_sql_span:WHERE EXISTS (
  SELECT 1
  FROM tmp_emps e2
  WHERE e2.commission = e1.commission
    AND e2.deptno <> e1.deptno
) | source_sql_span:WHERE EXISTS (
  SELECT *
  FROM (
    SELECT e2.deptno
    FROM tmp_emps e2
    WHERE e2.commission = e1.commission
  ) AS table3
  WHERE table3.deptno <> e1.deptno
) | positive_sql_span:JOIN (
  SELECT DISTINCT e2.commission
  FROM tmp_emps e2
  JOIN tmp_emps e3
    ON e2.commission = e3.commission
   AND e2.deptno <> e3.deptno
) AS good_commissions
  ON e1.commission = good_commissions.commission | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0007,CONS,A2,operation_atom,not_implemented,"candidate_sql_span:SELECT 1
  FROM tmp_emps e2
  WHERE e2.commission = e1.commission
    AND e2.deptno <> e1.deptno | positive_sql_span:SELECT DISTINCT e2.commission
  FROM tmp_emps e2
  JOIN tmp_emps e3
    ON e2.commission = e3.commission
   AND e2.deptno <> e3.deptno | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0007,CONS,A3,operation_atom,not_implemented,"candidate_sql_span:FROM tmp_emps e1
WHERE EXISTS (
  SELECT 1
  FROM tmp_emps e2
  WHERE e2.commission = e1.commission
    AND e2.deptno <> e1.deptno
) | positive_sql_span:ON e1.commission = good_commissions.commission | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0009,CONS,A1,operation_atom,not_implemented,"candidate_sql_span:SELECT COALESCE(SUM(t1c), 0) + COALESCE((
    SELECT SUM(t2c)
    FROM t2
    WHERE t2b = t0.t0b
  ), 0)
  FROM t1
  WHERE t1a = t0.t0a | positive_sql_span:LEFT JOIN (SELECT t1a, SUM(t1c) AS sum_t1c FROM t1 GROUP BY t1a) AS s1 | positive_sql_span:LEFT JOIN (SELECT t2b, SUM(t2c) AS sum_t2c FROM t2 GROUP BY t2b) AS s2 | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0010,CONS,A1,operation_atom,not_implemented,"candidate_sql_span:WHERE NOT EXISTS (
  SELECT 1
  FROM emp E2
  CROSS JOIN bonus B
  WHERE E2.SAL = E1.SAL
    AND B.JOB = E1.JOB
    AND E2.EMPNO <> E1.EMPNO
) | positive_sql_span:WHERE NOT (
  EXISTS (
    SELECT 1
    FROM emp e2
    WHERE e2.sal = e1.sal
      AND e2.empno <> e1.empno
  )
  AND EXISTS (
    SELECT 1
    FROM bonus b
    WHERE b.job = e1.job
  )
) | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0010,CONS,A2,operation_atom,not_implemented,"candidate_sql_span:WHERE NOT EXISTS (
  SELECT 1
  FROM emp E2
  CROSS JOIN bonus B
  WHERE E2.SAL = E1.SAL
    AND B.JOB = E1.JOB
    AND E2.EMPNO <> E1.EMPNO
) | positive_sql_span:WHERE NOT (
  EXISTS (
    SELECT 1
    FROM emp e2
    WHERE e2.sal = e1.sal
      AND e2.empno <> e1.empno
  )
  AND EXISTS (
    SELECT 1
    FROM bonus b
    WHERE b.job = e1.job
  )
) | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0011,CONS,A2,operation_atom,not_implemented,"source_candidate_diff:changed | source_sql_span:LEFT JOIN bonus B
    ON D.DNAME = B.ENAME
   AND B.JOB = E1.JOB
  WHERE B.ENAME IS NULL | candidate_sql_span:WHERE NOT EXISTS (
    SELECT 1
    FROM bonus B
    WHERE D.DNAME = B.ENAME
      AND B.JOB = E1.JOB
  )",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0012,CONS,A1,operation_atom,not_implemented,"candidate_sql_span:WHERE EXISTS (
  SELECT 1
  FROM emp e
  WHERE e.deptno = d.deptno
  OFFSET 2
  LIMIT 1
) | positive_sql_span:JOIN (
  SELECT deptno
  FROM emp
  GROUP BY deptno
  HAVING COUNT(*) >= 3
) AS enough_rows | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0012,CONS,A2,operation_atom,not_implemented,"candidate_sql_span:WHERE EXISTS (
  SELECT 1
  FROM emp e
  WHERE e.deptno = d.deptno
  OFFSET 2
  LIMIT 1
) | positive_sql_span:JOIN (
  SELECT deptno
  FROM emp
  GROUP BY deptno
  HAVING COUNT(*) >= 3
) AS enough_rows
  ON enough_rows.deptno = d.deptno; | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0024,CONS,A1,operation_atom,not_implemented,candidate_sql_span:LEFT JOIN ( | positive_sql_span:FROM emp AS e; | source_candidate_diff:changed,insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0024,CONS,A2,operation_atom,not_implemented,"candidate_sql_span:SELECT e2.deptno
  FROM emp AS e2
  GROUP BY e2.deptno
  HAVING SUM(e2.sal) > 1000000 | source_sql_span:AND EXISTS (
   SELECT e2.deptno
   FROM emp AS e2
   WHERE e2.deptno = d.deptno
   GROUP BY e2.deptno
   HAVING SUM(e2.sal) > 1000000
 ); | positive_sql_span:FROM emp AS e; | source_candidate_diff:changed",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0037,CONS,A1,operation_atom,not_implemented,source_candidate_diff:changed | positive_sql_span:EMP AS EMP0 LEFT JOIN DEPT AS DEPT0 | candidate_sql_span:FROM EMP LEFT JOIN DEPT,insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
CONS_0037,CONS,A2,operation_atom,not_implemented,candidate_sql_span:COUNT(DISTINCT DEPT.NAME) | positive_sql_span:COUNT(DISTINCT DEPT0.NAME) | source_sql_span:COUNT(DISTINCT DEPT.NAME),insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
LONGTAIL_0011,LONGTAIL,A1,operation_atom,implemented,"candidate_sql_span:DENSE_RANK() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS PostRank | positive_sql_span:DENSE_RANK() OVER (
            PARTITION BY p.OwnerUserId
            ORDER BY p.Score DESC
        ) AS PostRank",presence_only,cited span exists but does not establish a transformation relative to source,expected_presence_only_boundary,ask provider to pair specific candidate/positive evidence with source_candidate_diff:changed
LONGTAIL_0011,LONGTAIL,A2,operation_atom,not_implemented,"source_candidate_diff:changed | source_sql_span:MaxRank AS (
    SELECT
        OwnerDisplayName,
        MAX(PostRank) AS MaxPostRank
    FROM
        RankedPosts
    GROUP BY
        OwnerDisplayName
) | source_sql_span:JOIN
    MaxRank mr ON rp.OwnerDisplayName = mr.OwnerDisplayName | positive_sql_span:MaxRank AS (
    SELECT
        OwnerDisplayName,
        MAX(PostRank) AS MaxPostRank
    FROM RankedPosts
    GROUP BY OwnerDisplayName
) | candidate_sql_span:WHERE rp.PostRank = (
    SELECT MAX(rp2.PostRank)
    FROM RankedPosts rp2
    WHERE rp2.OwnerDisplayName = rp.OwnerDisplayName
)",insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
LONGTAIL_0013,LONGTAIL,A1,operation_atom,not_implemented,candidate_sql_span:WITH RankedPosts AS ( | candidate_sql_span:UserStats AS ( | source_candidate_diff:changed,insufficient_transformation_evidence,Stage A did not mark the operation atom implemented,expected_fail_closed_for_non_implemented_stage_a_judgment,no retry needed unless manual review finds candidate implements the atom
LONGTAIL_0013,LONGTAIL,A2,operation_atom,implemented,candidate_sql_span:ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS rank_value | candidate_sql_span:LEFT JOIN RankedPosts rp | candidate_sql_span:AND rp.rank_value = 1 | candidate_sql_span:LEFT JOIN Posts bp | positive_sql_span:ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS rank_value | source_candidate_diff:changed,insufficient_transformation_evidence,source_candidate_diff:changed is not atom-specific without a candidate/positive span,possible_under_accept_or_bad_span; Stage B rejected because cited spans did not satisfy conservative text checks,tighten evidence_ref span quoting or add targeted fail-closed retry/manual review
LONGTAIL_0022,LONGTAIL,A2,operation_atom,implemented,"candidate_sql_span:SELECT
        c.PostId,
        COUNT(*) AS comment_count,
        COUNT(DISTINCT c.UserId) AS distinct_commenters
    FROM Comments c
    GROUP BY c.PostId | positive_sql_span:SELECT
        c.PostId,
        COUNT(*) AS comment_count,
        COUNT(DISTINCT c.UserId) AS distinct_commenters
    FROM
        Comments c
    GROUP BY
        c.PostId | source_candidate_diff:changed",insufficient_transformation_evidence,source_candidate_diff:changed is not atom-specific without a candidate/positive span,possible_under_accept_or_bad_span; Stage B rejected because cited spans did not satisfy conservative text checks,tighten evidence_ref span quoting or add targeted fail-closed retry/manual review
