annotation_run_id,method_id,route_id,engine,planned_rows,candidate_rows,live_calls_attempted,annotation_rows_written,schema_valid_rows,malformed_json_rows,provider_call_failed_rows,timeout_rows,skipped_rows,annotation_jsonl_path,checkpoint_state_path,reused_existing,status,notes
reused_pg40_direct_llm_original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,postgres,40,40,0,40,33,7,0,0,0,audits/pocr_real_route_direct_llm_pg40_diagnostic_v0/safe_annotation_outputs.jsonl,,true,completed,reused existing evidence; legacy schema_validation_status pass/fail mapped to schema_valid/malformed_json for audit counts
pocr_annotation_track_a120_direct_llm_original_mysql_v0,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,mysql,40,40,40,40,31,6,3,0,0,output/results/pocr_annotation_track_a120_direct_llm_original_mysql_v0/pocr/annotations/direct_llm_original/direct_llm_original_pg40_pocr_diagnostic/mysql/safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_direct_llm_original_mysql_v0/pocr/annotations/direct_llm_original/direct_llm_original_pg40_pocr_diagnostic/mysql/checkpoint_state.json,false,completed,new live annotation output
pocr_annotation_track_a120_direct_llm_original_spark_v0,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,spark,40,40,40,40,33,3,4,0,0,output/results/pocr_annotation_track_a120_direct_llm_original_spark_v0/pocr/annotations/direct_llm_original/direct_llm_original_pg40_pocr_diagnostic/spark/safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_direct_llm_original_spark_v0/pocr/annotations/direct_llm_original/direct_llm_original_pg40_pocr_diagnostic/spark/checkpoint_state.json,false,completed,new live annotation output
reused_pg40_direct_llm_repair1,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,postgres,40,40,0,40,40,0,0,0,0,output/results/pocr_annotation_direct_llm_repair1_pg40_targeted_retry_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_pg40_pocr_diagnostic/postgres/merged_safe_annotation_outputs.jsonl,,true,completed,reused existing evidence
pocr_annotation_track_a120_direct_llm_repair1_mysql_v0,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,mysql,40,40,35,40,18,5,17,0,0,output/results/pocr_annotation_track_a120_direct_llm_repair1_mysql_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_tri_engine_pocr_pilot_v0/mysql/merged_safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_direct_llm_repair1_mysql_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_tri_engine_pocr_pilot_v0/mysql/checkpoint_state.json,false,completed,merged reused five pilot rows plus new live rows
pocr_annotation_track_a120_direct_llm_repair1_spark_v0,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,spark,40,40,35,40,3,2,35,0,0,output/results/pocr_annotation_track_a120_direct_llm_repair1_spark_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_tri_engine_pocr_pilot_v0/spark/merged_safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_direct_llm_repair1_spark_v0/pocr/annotations/direct_llm_repair_1/direct_llm_repair_1_tri_engine_pocr_pilot_v0/spark/checkpoint_state.json,false,completed,merged reused five pilot rows plus new live rows
reused_pg40_sqlglot_noop,sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control,postgres,40,40,0,40,34,5,1,0,0,output/results/pocr_annotation_sqlglot_noop_pg40_sanity_control_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_pg40_pocr_sanity_control/postgres/safe_annotation_outputs.jsonl,,true,completed,reused existing evidence
pocr_annotation_track_a120_sqlglot_noop_mysql_v0,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,mysql,40,40,35,40,4,1,35,0,0,output/results/pocr_annotation_track_a120_sqlglot_noop_mysql_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_tri_engine_pocr_sanity_control_v0/mysql/merged_safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_sqlglot_noop_mysql_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_tri_engine_pocr_sanity_control_v0/mysql/checkpoint_state.json,false,completed,merged reused five pilot rows plus new live rows
pocr_annotation_track_a120_sqlglot_noop_spark_v0,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,spark,40,40,35,40,5,0,35,0,0,output/results/pocr_annotation_track_a120_sqlglot_noop_spark_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_tri_engine_pocr_sanity_control_v0/spark/merged_safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_sqlglot_noop_spark_v0/pocr/annotations/sqlglot_noop/sqlglot_noop_tri_engine_pocr_sanity_control_v0/spark/checkpoint_state.json,false,completed,merged reused five pilot rows plus new live rows
reused_pg40_sqlglot_optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,postgres,40,34,0,34,29,1,4,0,6,output/results/pocr_annotation_pg40_sqlglot_optimize_pilot_v0/pocr/annotations/sqlglot_optimize_schema_aware/sqlglot_optimize_schema_aware_pg40_pocr_diagnostic/postgres/safe_annotation_outputs.jsonl,,true,completed,reused existing evidence
pocr_annotation_track_a120_sqlglot_optimize_mysql_v0,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,mysql,40,32,32,32,0,0,32,0,8,output/results/pocr_annotation_track_a120_sqlglot_optimize_mysql_v0/pocr/annotations/sqlglot_optimize_schema_aware/sqlglot_optimize_schema_aware_pg40_pocr_diagnostic/mysql/safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_sqlglot_optimize_mysql_v0/pocr/annotations/sqlglot_optimize_schema_aware/sqlglot_optimize_schema_aware_pg40_pocr_diagnostic/mysql/checkpoint_state.json,false,completed,new live annotation output
pocr_annotation_track_a120_sqlglot_optimize_spark_v0,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,spark,40,39,39,39,0,0,39,0,1,output/results/pocr_annotation_track_a120_sqlglot_optimize_spark_v0/pocr/annotations/sqlglot_optimize_schema_aware/sqlglot_optimize_schema_aware_pg40_pocr_diagnostic/spark/safe_annotation_outputs.jsonl,output/results/pocr_annotation_track_a120_sqlglot_optimize_spark_v0/pocr/annotations/sqlglot_optimize_schema_aware/sqlglot_optimize_schema_aware_pg40_pocr_diagnostic/spark/checkpoint_state.json,false,completed,new live annotation output
