case_id,pool,candidate_class,method_id,route_id,provider_label,model_label,base_url_host,live_enabled_flag,live_enabled_env,api_key_env_present,api_key_env_used,call_timestamp_utc,prompt_template_id,annotation_schema_version,prompt_sha256,source_sql_sha256,candidate_sql_sha256,success,status,prompt_tokens,completion_tokens,total_tokens,error,notes
PERF_0006,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:48:09.595214+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,3221965208f2865865734a801aa0ee7208dfc8424025e724a21b6defb6936f3b,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,75d45a91e1d27de849c91943a2fa5722e10e0f5d97b387a1c0d77ca189d4937e,true,annotation_received,2194,1190,3384,,safe metadata only; raw prompt/response not stored
PERF_0006,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:48:34.719712+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,37b5eafcafb9e2c30f65fe1bec47560feb361a9682a85652156c2d8de886c26a,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,true,annotation_received,2295,977,3272,,safe metadata only; raw prompt/response not stored
PERF_0007,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:48:54.782298+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,5f5358e6f7f5b8790b4a104c8c045e84ecdd599a13611f9e78f8683778b94b6e,9dc696fb97b2ee3ebc57a8cc63e0eae624c07a2fd005ce0e396a5b70c8a61939,edfcc1fe36529f563864d60bb49aec0ed423d8d5bf2104ace51272865b1b6199,true,annotation_received,1845,864,2709,,safe metadata only; raw prompt/response not stored
PERF_0007,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:49:12.125995+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,81a3b7cc54e0291a9ae8404765349f2f9a485c110b219b546a5c6f764bbbf7cd,9dc696fb97b2ee3ebc57a8cc63e0eae624c07a2fd005ce0e396a5b70c8a61939,9dc696fb97b2ee3ebc57a8cc63e0eae624c07a2fd005ce0e396a5b70c8a61939,true,annotation_received,1963,591,2554,,safe metadata only; raw prompt/response not stored
PERF_0008,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:49:25.924085+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,378724b1c1059fddafff860f1624d286241ce8df930a8b43455aadc238775311,c99c82eda540a5873e8a3eb1ef8827ef013ff1433510bf7b78c2c773f81d3ba8,59ad84cdb859e9c401713f21365ecb920333a969c5408569dcc30ded96e56047,true,annotation_received,2274,866,3140,,safe metadata only; raw prompt/response not stored
PERF_0008,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:49:44.087349+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,74a5a988d3894e7712e92687f701b66191d33979f4861b4919375c26b530fbf5,c99c82eda540a5873e8a3eb1ef8827ef013ff1433510bf7b78c2c773f81d3ba8,c99c82eda540a5873e8a3eb1ef8827ef013ff1433510bf7b78c2c773f81d3ba8,false,annotation_failed,,,,"Expecting ',' delimiter: line 1 column 654 (char 653)",failure captured without raw prompt/response
PERF_0013,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:49:57.996487+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,6799e15bfaa0e79580cb3c29cf8c2000134f639042cd0ea12e43ed0925176c30,89d0f9a09a41e96b6b3c0c9fa92d7926b177bc1917cd233758ee2773be807064,8a545cd3cd03ff4ccb263a14e1124206e803023a1245725e7beb61795cd90b14,true,annotation_received,2228,935,3163,,safe metadata only; raw prompt/response not stored
PERF_0013,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:50:17.798091+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,cb959ed2a7558075f618eb56fa0627f3bbeca935345555ba6cc09937f39362ad,89d0f9a09a41e96b6b3c0c9fa92d7926b177bc1917cd233758ee2773be807064,89d0f9a09a41e96b6b3c0c9fa92d7926b177bc1917cd233758ee2773be807064,false,annotation_failed,,,,"Expecting ',' delimiter: line 1 column 616 (char 615)",failure captured without raw prompt/response
PERF_0017,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:50:37.833463+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,9f5b6a397b9b3df295a952218a332e1d68b91d4f4a142807f645af1fe590421f,710366ebada2ecaa7d56a6a84b1bb8a7571ebbf296d1664f4530b3a0c8f850ca,07d91b5747608987094b6df4fa2e3c353d3400b133161911d027274a3b64c0f7,true,annotation_received,2338,914,3252,,safe metadata only; raw prompt/response not stored
PERF_0017,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:50:56.718334+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,69b1128864a763edd55d48b256843104ed48501c10bdc78acd5ed9ad19e593d7,710366ebada2ecaa7d56a6a84b1bb8a7571ebbf296d1664f4530b3a0c8f850ca,710366ebada2ecaa7d56a6a84b1bb8a7571ebbf296d1664f4530b3a0c8f850ca,false,annotation_failed,,,,"Expecting ',' delimiter: line 1 column 651 (char 650)",failure captured without raw prompt/response
