method_id,route_id,engine,rows_needing_live_annotation,live_allowed,live_cap,planned_live_calls,status,notes
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,postgres,0,false,300,0,not_needed_reused_existing,no live annotation needed
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,mysql,40,true,300,40,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,spark,40,true,300,40,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,postgres,0,false,300,0,not_needed_reused_existing,no live annotation needed
direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,mysql,35,true,300,35,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,spark,35,true,300,35,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control,postgres,0,false,300,0,not_needed_reused_existing,no live annotation needed
sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,mysql,35,true,300,35,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,spark,35,true,300,35,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,postgres,0,false,300,0,not_needed_reused_existing,no live annotation needed
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,mysql,32,true,300,32,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,spark,39,true,300,39,completed,live calls used only for candidate-present rows lacking reusable annotation evidence
