case_id,field_path,old_value,new_value,repair_source,repair_status,notes
PERF_0006,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0006,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0007,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0007,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PORT_0003,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PORT_0003,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0008,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0008,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0013,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0013,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0017,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
