case_id,pool,engine,denominator_id,source_sql_path,candidate_sql_path,schema_context_path,checker_context_path,exact_status,feature_eligibility_label,primary_blocker,feature_flags,ddl_parameterized_type,ddl_current_parser_malformed_type,manual_review_required,notes
PERF_0006,PERF,postgres,track_a_same_engine:PERF_0006:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0006/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_common_core_v0/postgres/ddl.sql,cases/PERF/PERF_0006/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,aggregate;group_by;order_by;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0007,PERF,postgres,track_a_same_engine:PERF_0007:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0007/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0007__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0007_v0/postgres/ddl.sql,cases/PERF/PERF_0007/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,aggregate;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0008,PERF,postgres,track_a_same_engine:PERF_0008:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0008/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0008__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0008_v0/postgres/ddl.sql,cases/PERF/PERF_0008/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,comma_join;aggregate;group_by;order_by;limit;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0013,PERF,postgres,track_a_same_engine:PERF_0013:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0013/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0013__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0013_v0/postgres/ddl.sql,cases/PERF/PERF_0013/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,comma_join;aggregate;group_by;order_by;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0017,PERF,postgres,track_a_same_engine:PERF_0017:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0017/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0017__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0017_v0/postgres/ddl.sql,cases/PERF/PERF_0017/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,comma_join;aggregate;group_by;order_by;limit;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0019,PERF,postgres,track_a_same_engine:PERF_0019:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0019/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0019__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0019_v0/postgres/ddl.sql,cases/PERF/PERF_0019/checker/checker.yaml,exact,blocked_like_not_implemented,LIKE predicate,like;nested_select;explicit_join;aggregate;group_by;order_by,true,true,false,VeriEQL returned NIE on LIKE for PERF_0077/PERF_0082
PERF_0024,PERF,postgres,track_a_same_engine:PERF_0024:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0024/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0024__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0024_v0/postgres/ddl.sql,cases/PERF/PERF_0024/checker/checker.yaml,exact,blocked_like_not_implemented,LIKE predicate,like;nested_select;in_subquery;comma_join;aggregate;order_by;date_or_datetime,true,true,false,VeriEQL returned NIE on LIKE for PERF_0077/PERF_0082
PERF_0033,PERF,postgres,track_a_same_engine:PERF_0033:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0033/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0033__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0033_v0/postgres/ddl.sql,cases/PERF/PERF_0033/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,comma_join;aggregate;group_by;order_by;limit;date_or_datetime,true,true,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0034,PERF,postgres,track_a_same_engine:PERF_0034:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0034/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0034__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0034_v0/postgres/ddl.sql,cases/PERF/PERF_0034/checker/checker.yaml,exact,blocked_exists_or_subquery,EXISTS/subquery/set operation,nested_select;in_subquery;literal_in_list;comma_join;aggregate;group_by;order_by;limit;date_or_datetime;union,true,true,false,current VeriEQL canaries showed EXISTS unsupported and nested shapes are high risk
PERF_0035,PERF,postgres,track_a_same_engine:PERF_0035:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0035/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0035__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0035_v0/postgres/ddl.sql,cases/PERF/PERF_0035/checker/checker.yaml,exact,blocked_exists_or_subquery,EXISTS/subquery/set operation,nested_select;comma_join;aggregate;group_by;order_by;limit;date_or_datetime;window;case_expr,true,true,false,current VeriEQL canaries showed EXISTS unsupported and nested shapes are high risk
PERF_0052,PERF,postgres,track_a_same_engine:PERF_0052:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0052/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0052__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0052_v0/postgres/ddl.sql,cases/PERF/PERF_0052/checker/checker.yaml,exact,blocked_exists_or_subquery,EXISTS/subquery/set operation,nested_select;comma_join;aggregate;group_by;order_by;limit;date_or_datetime,false,false,false,current VeriEQL canaries showed EXISTS unsupported and nested shapes are high risk
PERF_0054,PERF,postgres,track_a_same_engine:PERF_0054:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0054/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0054__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0054_v0/postgres/ddl.sql,cases/PERF/PERF_0054/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,comma_join;aggregate;group_by;order_by;limit;date_or_datetime,false,false,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0056,PERF,postgres,track_a_same_engine:PERF_0056:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0056/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0056__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0056_v0/postgres/ddl.sql,cases/PERF/PERF_0056/checker/checker.yaml,exact,blocked_exists_or_subquery,EXISTS/subquery/set operation,nested_select;comma_join;aggregate;group_by;order_by;limit;date_or_datetime,false,false,false,current VeriEQL canaries showed EXISTS unsupported and nested shapes are high risk
PERF_0062,PERF,postgres,track_a_same_engine:PERF_0062:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0062/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0062__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0062_v0/postgres/ddl.sql,cases/PERF/PERF_0062/checker/checker.yaml,exact,blocked_function_or_datetime,function/date/window risk,literal_in_list;comma_join;aggregate;date_or_datetime,false,false,false,date/time/window/function-heavy shape should wait for feature-specific probes
PERF_0077,PERF,postgres,track_a_same_engine:PERF_0077:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0077/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0077__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/job_imdb_perf0077_v0/postgres/ddl.sql,cases/PERF/PERF_0077/checker/checker.yaml,exact,blocked_like_not_implemented,LIKE predicate,like;literal_in_list;comma_join;aggregate,false,false,true,VeriEQL returned NIE on LIKE for PERF_0077/PERF_0082
PERF_0082,PERF,postgres,track_a_same_engine:PERF_0082:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/PERF/PERF_0082/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0082__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/job_imdb_perf0082_v0/postgres/ddl.sql,cases/PERF/PERF_0082/checker/checker.yaml,exact,blocked_like_not_implemented,LIKE predicate,like;literal_in_list;comma_join;aggregate,false,false,true,VeriEQL returned NIE on LIKE for PERF_0077/PERF_0082
CONS_0005,CONS,postgres,track_a_same_engine:CONS_0005:postgres,/home/tianci_gao/code/Rewritebench_v0/cases/CONS/CONS_0005/sql/source.sql,/home/tianci_gao/code/Rewritebench_v0/runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0005__postgres.sql,/home/tianci_gao/code/Rewritebench_v0/schemas/calcite_core_sql_tests_cons0005_v0/postgres/ddl.sql,cases/CONS/CONS_0005/checker/checker.yaml,exact,blocked_exists_or_subquery,EXISTS/subquery/set operation,nested_select;in_subquery;not_in_subquery,false,false,false,current VeriEQL canaries showed EXISTS unsupported and nested shapes are high risk
