path,artifact_type,likely_purpose,contains_runtime_command,contains_runtime_url,contains_schema_json,contains_request_response_example,contains_candidate_sql,contains_metrics,safe_to_reference,safe_to_copy,copy_policy,notes
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_EMBEDDED_PATH_PREFLIGHT_v1.md,legacy_preflight_note,Documents embedded LLM4Rewrite LearnedRewrite substrate and future runner shape,yes,no,yes,no,no,no,yes,no,reference_only,"Mentions embedded jar runner JPype bridge Java source output_sql contract and future command shapes; no execution in that note"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_JVM_JAR_PREFLIGHT_v1.md,legacy_preflight_note,Documents Java/JAR visibility and signed-jar class loading blocker,no,no,no,no,no,no,yes,no,reference_only,"Records Java 17 visibility and SecurityException for original signed LearnedRewrite.jar class loading; no method invocation"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_JAR_CLASSPATH_RECOVERY_AUDIT_v1.md,legacy_preflight_note,Documents temp-only exploded/repacked classpath recovery,no,no,no,no,no,no,yes,no,reference_only,"Useful setup clue for JPype embedded path only; recovered temp JAR must not be copied into release repo"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_SINGLE_CASE_RUNNER_DRY_RUN_v1.md,legacy_dry_run_note,Documents future single-case command and artifact plan,yes,no,yes,no,planned_only,no,yes,no,reference_only,"Future command was marked NOT RUN; uses PERF_0006 as old planning context only"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md,legacy_preflight_scaffold,Stage-1 120-row readiness scaffold,no,no,no,no,no,no,yes,no,reference_only,"States adapter checkpoint inference entrypoint and generated-SQL path were not recovered for 120"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/learnedrewrite_120_run_plan_v1.json,legacy_preflight_scaffold,Machine-readable no-execution run-plan scaffold,no,no,no,no,no,no,yes,no,reference_only,"Explicitly forbids LearnedRewrite inference generation DB execution timing and result cards"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/learnedrewrite_120_dependency_matrix_v1.csv,legacy_dependency_matrix,Records 120 readiness blockers,no,no,no,no,no,no,yes,no,reference_only,"Marks adapter checkpoint inference entrypoint and generated SQL retention path missing"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/learnedrewrite_120_candidate_matrix_v1.csv,legacy_candidate_matrix,Records planned 120 rows as not execution-ready,no,no,no,no,no,no,yes,no,reference_only,"PG rows marked history-only not 120 execution-ready; MySQL/Spark marked unsupported or unknown"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table11_bounded_pilot_evidence_reuse_v3.csv,legacy_summary_evidence,Appendix-only bounded prior-method evidence summary,no,no,no,no,summary_only,yes,yes,no,reference_only,"Records LearnedRewrite PG10 bounded appendix evidence; not new canonical metrics"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv,legacy_summary_evidence,Failure accounting summary for old evidence,no,no,no,no,summary_only,yes,yes,no,reference_only,"Marks LearnedRewrite route as UNKNOWN_NOT_RECOVERED and summary-only/bounded"
/home/tianci_gao/code/sql-rewrite-bench-artifact-clean/<jar-search>,legacy_search_result,Confirmed no JAR files found under legacy local repo search,no,no,no,no,no,no,yes,no,not_applicable,"find -iname '*.jar' under the legacy repo returned no rows"
/tmp/sqlrb_prior_methods_sources/LearnedRewrite/README.md,official_source_clone_doc,Official LearnedRewrite README with Java and HTTP API contract,yes,yes,no,no,no,no,yes,no,reference_only,"Documents JDK 11+ and POST /rewriter with SQL plus schema; source clone is outside release repo"
/tmp/sqlrb_prior_methods_sources/LearnedRewrite/rewriter_java.jar,external_runtime_binary_candidate,Official upstream runtime JAR candidate outside release repo,yes,no,no,no,no,no,yes,no,do_not_copy,"May be referenced as an external local runtime candidate only if separately configured; not vendored"
/tmp/sqlrb_prior_methods_sources/LearnedRewrite/calcite_core_main_jar/,external_dependency_jar_directory,Official upstream Calcite/dependency JAR directory outside release repo,no,no,no,no,no,no,yes,no,do_not_copy,"Dependency JARs exist outside release repo; do not copy or vendor"
/tmp/sqlrb_prior_methods_sources/LearnedRewrite/src/main/schema.json,official_source_schema_example,Official schema JSON example,no,no,yes,no,no,no,yes,no,reference_only,"Useful only for schema JSON shape; do not copy as benchmark schema"
/tmp/sqlrb_prior_methods_sources/LearnedRewrite/request.txt,official_source_request_log,Old upstream request/response example log,no,no,yes,yes,yes,no,yes,no,do_not_copy,"Inspected only to infer response field data.rewritten_sql; must not be copied as new evidence"
