ledger_field,proposed_semantics,required_or_optional,allowed_values_or_type,applies_to_record_types,denominator_effect,depends_on_metric_finalization,adapter_source_likelihood,notes
case_id,Canonical case identifier,required for case-scoped rows,Common-core case ID or null,control_cell;rewrite_candidate_cell;plan_observability_artifact;portability_candidate_cell;verifier_support_pair;user_run_candidate_cell,identifies membership but does not create denominator,no,medium,Ambiguous for mixed retained summaries
pool,Case pool,required when case_id is set,PERF;CONS;PORT;LONGTAIL;null,all case-scoped record types,no direct denominator effect,no,medium,Lookup from case registry when needed
case_set,Release case-set namespace,required,common_core_v0,all,selects membership namespace,no,high,Constant for this audit scope
denominator_id,Stable planned denominator or control reference,required for denominator-scoped rows,track_a_same_engine:* or control:* or null,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,defines planned denominator join,no,medium,Support-only rows should leave null
engine,Observed SQL engine,required for engine-specific rows,postgres;mysql;spark;null,all engine-scoped record types,part of Track A and controls,no,low,Often requires parsing artifact content
route,Evidence route,required,source;positive;hard_negative;same_engine_rewrite;portability;plan_observability;verifier_support;summary,all,separates denominator and support roles,no,medium,Normalize from legacy method strings
method_role,Method or support role,required,control;direct_llm;repair_1;sqlglot;calcite_hep;r_bot;verifier_support;retained_legacy_reference;user_candidate,all,defines metric slice not denominator,no,high,Requires stable normalization
candidate_id,Stable candidate control artifact or support identity,required for candidate/control/artifact rows,stable adapter-generated ID,all except pure mixed summaries,prevents duplicate collapse,no,low,Future schema may split artifact_id
source_sql_path,Canonical source SQL path,required for candidate/control rows,repository-relative path or null,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,no direct denominator effect,no,medium,Lookup from case package
candidate_sql_path,Candidate/control SQL path,optional until SQL exists,repository-relative path;output-root path;null,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,no direct denominator effect,no,low,Missing SQL must be explicit
generated,Whether SQL was generated rather than fixed control,required for candidate rows,boolean;unknown,rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,feeds generation coverage,no,medium,Controls should be false or not_applicable
ready,Whether row reached downstream gate,required after adapter parse,boolean;unknown,candidate rows,separate readiness denominator,yes,medium,Naming needs final agreement
parse_status,SQL parse/extractability status,optional until parser exists,parsed;not_parsed;not_applicable;unknown,candidate rows,future parse metric only,yes,low,Definitions pending
executed,Whether execution happened,required for execution-relevant rows,boolean;unknown,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,execution coverage separate from planned denominator,no,medium,Do not infer from absence
exact,Whether correctness gate passed,required after adapter parse,boolean;not_applicable;unknown,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,exact slice only,yes,medium,Gate wording pending
timed,Whether usable timing evidence exists,required for performance rows after adapter parse,boolean;not_applicable;unknown,rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,timed slice only,yes,low,Blank timing is not zero
result_status,Normalized row outcome,required after adapter parse,pass;fail;unsupported;missing_artifact;not_run;checker_rejected;timing_missing;unknown,all non-summary row types,reporting status not membership,no,medium,Requires status normalization
failure_stage,Stage where failure occurred,optional,generation;parse;execution;checker;plan_collection;timing;artifact_collection;not_applicable;unknown,candidate/control/artifact rows,no denominator effect,no,low,Raw logs may be archive-only
failure_type,Stable failure bucket,optional,controlled vocabulary TBD or unknown,candidate/control/artifact rows,no denominator effect,no,low,Bucket policy remains future work
checker_status,Checker or expected-rejection outcome,required where checker applies,pass;reject_expected;reject_unexpected;not_applicable;not_run;unknown,control_cell;rewrite_candidate_cell;portability_candidate_cell;user_run_candidate_cell,supports correctness gate,no,medium,Hard negatives use expected rejection semantics
plan_available,Whether plan evidence exists,required for plan rows,boolean;not_applicable;unknown,plan_observability_artifact and plan-linked rows,observability only,no,medium,Not speedup denominator
plan_artifact_path,Public-safe plan path or archive reference,required when plan_available true,path;archive reference;null,plan_observability_artifact and plan-linked rows,no speedup denominator,no,medium,Must preserve public hygiene
latency_ms,Latency value in milliseconds,optional,numeric or null,performance-eligible candidate rows,performance slice only,yes,low,Do not recompute now
speedup,Derived speedup value,optional,numeric or null,performance-eligible candidate rows,performance slice only,yes,low,Reference-only until contract final
timing_eligible,Whether timing interpretation is allowed,required before performance reporting,boolean;not_applicable;unknown,candidate rows,performance eligibility gate,yes,pending_definition,Requires final timing policy
evidence_source,Source class for evidence,required,canonical_case_package;retained_legacy_report;retained_legacy_run;adapter_import;user_run;manual_summary,all,traceability only,no,high,Available from candidate map or output policy
retained_artifact_path,Supporting artifact path or reference,required for retained rows,path;legacy reference;archive reference;null,all retained row types,traceability only,no,high,No copy implied
notes,Caveat and boundary text,required when unresolved,string,all,no denominator effect,no,high,Must record ambiguity or pending definitions
