tool,route_id,engine,eligible_pair_count,likely_applicable_pair_count,likely_blocked_pair_count,blocker_categories,identity_guard_required,bounded_first_pass_recommended,notes
SQLSolver,direct_llm_original,postgres,39,39,0,none_known_at_path_reference_stage;identity_guard_failures_possible;decidability_unknown,true,false,SQLSolver JAR/CLI wrapper supports source_vs_candidate path pairs with schema context; prior SQLGlot noop PostgreSQL evidence was stronger than VeriEQL but still identity-guard limited.
SQLSolver,direct_llm_original,mysql,32,0,32,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,direct_llm_original,spark,31,0,31,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,sqlglot_noop,postgres,35,35,0,none_known_at_path_reference_stage;identity_guard_failures_possible;decidability_unknown,true,true,SQLSolver JAR/CLI wrapper supports source_vs_candidate path pairs with schema context; prior SQLGlot noop PostgreSQL evidence was stronger than VeriEQL but still identity-guard limited.
SQLSolver,sqlglot_noop,mysql,31,0,31,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,sqlglot_noop,spark,31,0,31,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,sqlglot_optimize_schema_aware,postgres,29,29,0,none_known_at_path_reference_stage;identity_guard_failures_possible;decidability_unknown,true,false,SQLSolver JAR/CLI wrapper supports source_vs_candidate path pairs with schema context; prior SQLGlot noop PostgreSQL evidence was stronger than VeriEQL but still identity-guard limited.
SQLSolver,sqlglot_optimize_schema_aware,mysql,20,0,20,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,sqlglot_optimize_schema_aware,spark,17,0,17,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,calcite_hep_fail_closed,postgres,25,25,0,none_known_at_path_reference_stage;identity_guard_failures_possible;decidability_unknown,true,false,SQLSolver JAR/CLI wrapper supports source_vs_candidate path pairs with schema context; prior SQLGlot noop PostgreSQL evidence was stronger than VeriEQL but still identity-guard limited.
SQLSolver,calcite_hep_fail_closed,mysql,26,0,26,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
SQLSolver,calcite_hep_fail_closed,spark,30,0,30,non_postgres_target_dialect_modeling_unvalidated;schema_type_modeling_unknown;defer_until_postgres_bounded_pass,true,false,Non-PostgreSQL verifier applicability is intentionally blocked in the first pass until dialect/schema modeling is reviewed.
VeriEQL,direct_llm_original,postgres,39,39,0,coverage_limited_risk;identity_guard_failures_possible;dependency_and_modeling_unknown,true,false,"VeriEQL wrapper can materialize JSONL pairs, but prior SQLGlot noop PostgreSQL evidence was coverage-limited at 4/35 corrected decidable rows; use after SQLSolver-first pass."
VeriEQL,direct_llm_original,mysql,32,0,32,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,direct_llm_original,spark,31,0,31,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,sqlglot_noop,postgres,35,35,0,coverage_limited_risk;identity_guard_failures_possible;dependency_and_modeling_unknown,true,false,"VeriEQL wrapper can materialize JSONL pairs, but prior SQLGlot noop PostgreSQL evidence was coverage-limited at 4/35 corrected decidable rows; use after SQLSolver-first pass."
VeriEQL,sqlglot_noop,mysql,31,0,31,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,sqlglot_noop,spark,31,0,31,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,sqlglot_optimize_schema_aware,postgres,29,29,0,coverage_limited_risk;identity_guard_failures_possible;dependency_and_modeling_unknown,true,false,"VeriEQL wrapper can materialize JSONL pairs, but prior SQLGlot noop PostgreSQL evidence was coverage-limited at 4/35 corrected decidable rows; use after SQLSolver-first pass."
VeriEQL,sqlglot_optimize_schema_aware,mysql,20,0,20,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,sqlglot_optimize_schema_aware,spark,17,0,17,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,calcite_hep_fail_closed,postgres,25,25,0,coverage_limited_risk;identity_guard_failures_possible;dependency_and_modeling_unknown,true,false,"VeriEQL wrapper can materialize JSONL pairs, but prior SQLGlot noop PostgreSQL evidence was coverage-limited at 4/35 corrected decidable rows; use after SQLSolver-first pass."
VeriEQL,calcite_hep_fail_closed,mysql,26,0,26,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
VeriEQL,calcite_hep_fail_closed,spark,30,0,30,non_postgres_target_dialect_modeling_unvalidated;verieql_schema_canonicalization_risk;defer_until_postgres_bounded_pass,true,false,MySQL/Spark VeriEQL applicability is deferred; staged JSONL support does not imply semantic coverage.
