case_id,validator_status,semantic_manifest_status,taxonomy_status,provenance_status,caveat_status,notes
PERF_0006,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0007,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
CONS_0005,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
PORT_0003,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0011,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
PERF_0008,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0013,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0017,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0019,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0024,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0033,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0034,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0035,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0052,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0054,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0056,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0062,pass,pass,pass,fallback_provenance_nonblocking,accepted_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0077,pass,pass,pass,source_path_manual_review_required,manual_review_source_path_remaining; draft_origin_nonblocking,Static v2 validator passed; no DB/checker execution run.
PERF_0082,pass,pass,pass,source_path_manual_review_required,manual_review_source_path_remaining; draft_origin_nonblocking,Static v2 validator passed; no DB/checker execution run.
CONS_0007,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0009,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0010,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0011,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0012,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0024,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0036,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
CONS_0037,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0012,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0013,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0022,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0023,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
LONGTAIL_0024,pass,pass,pass,complete_or_previously_repaired,none,Static v2 validator passed; no DB/checker execution run.
