input_path,input_role,used_for,row_level_evidence_found,route_level_summary_only,legacy_paths_opened,notes
audits/retained_summary_adapter_v0/retained_summary_ledger_v0.csv,retained summary ledger,metadata inspection only; no candidate status fill,false,false,false,csv rows inspected=31; fields=record_id;record_type;adapter_name;adapter_scope;source_artifact_path;source_artifact_kind;source_artifact_exists;related_scope; no Track-A method route metadata found
audits/reports_results_retained_evidence_map/reports_results_retained_evidence_summary.md,reports/results retained evidence summary,metadata inspection only; no candidate status fill,false,false,false,text summary inspected for route/method metadata only; no Track-A method route metadata found
audits/reports_results_retained_evidence_map/reports_results_artifact_inventory.csv,artifact inventory metadata,metadata inspection only; no candidate status fill,false,true,false,csv rows inspected=13190; fields=artifact_id;source_repo_path;relative_path;file_type;size_bytes;modified_time_if_available;category;common_core_related; route-level or group-level metadata found; counts/statuses were not distributed to rows
audits/reports_results_retained_evidence_map/retained_evidence_candidate_map.csv,retained evidence candidate metadata,metadata inspection only; no candidate status fill,false,true,false,csv rows inspected=3439; fields=candidate_id;source_repo_path;evidence_role;related_case_id_or_scope;related_pool;related_method_or_route;related_denominator;supports_paper_table_or_claim; route-level or group-level metadata found; counts/statuses were not distributed to rows
audits/retained_evidence_ledger_mapping/retained_evidence_to_ledger_field_map.csv,retained evidence to ledger field metadata,metadata inspection only; no candidate status fill,false,true,false,csv rows inspected=14; fields=candidate_id;source_artifact_path;evidence_role;related_case_id_or_scope;related_pool;related_engine;related_route_or_method;related_denominator; route-level or group-level metadata found; counts/statuses were not distributed to rows
audits/retained_evidence_ledger_mapping/common_core_ledger_source_inventory.csv,common-core ledger source inventory metadata,metadata inspection only; no candidate status fill,false,true,false,csv rows inspected=8; fields=source_group_id;source_path_or_pattern;artifact_category;candidate_count;cases_covered;engines_covered;methods_or_routes_covered;ledger_fields_supported; route-level or group-level metadata found; counts/statuses were not distributed to rows
audits/retained_evidence_ledger_mapping/metrics_dependency_matrix.csv,metrics dependency metadata,metadata inspection only; no candidate status fill,false,false,false,csv rows inspected=14; fields=metric_or_family;current_or_candidate;required_ledger_fields;available_now;missing_fields;depends_on_final_metric_decision;can_implement_before_team_confirmation;notes; no Track-A method route metadata found
audits/metrics_contract_formalization/finalized_metric_table.csv,metrics contract metadata,metadata inspection only; no candidate status fill,false,false,false,csv rows inspected=15; fields=layer;metric_name;primary_or_diagnostic;formula_or_definition;denominator;record_types_used;implementation_authorized;not_computable_condition; no Track-A method route metadata found
audits/common_core40_final_closeout/common_core40_final_case_status_matrix.csv,case package closeout status metadata,metadata inspection only; no candidate status fill,false,false,false,csv rows inspected=40; fields=case_id;pool;release_case_dir_exists;canonical_layout_complete;full_case_validator_status;canonical_case_validator_status;migration_status;blocking_reason; no Track-A method route metadata found
audits/common_core40_registry_alignment/common_core40_registry_alignment_summary.md,registry alignment summary metadata,metadata inspection only; no candidate status fill,false,false,false,text summary inspected for route/method metadata only; no Track-A method route metadata found
