case_id,pool,release_path,readme_status,manifest_status,package_validation_summary_status,runs_retention_status,provenance_status,denominator_eligibility_status,source_sql_status,positive_sql_status,public_hygiene_status,common_core_member_claim,track_a_denominator_claim,paper_result_claim,metrics_claim,leaderboard_claim,review_status,notes
PERF_0002,PERF,cases/PERF/PERF_0002,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
CONS_0031,CONS,cases/CONS/CONS_0031,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
CONS_0034,CONS,cases/CONS/CONS_0034,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0009,PERF,cases/PERF/PERF_0009,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0010,PERF,cases/PERF/PERF_0010,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0011,PERF,cases/PERF/PERF_0011,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0012,PERF,cases/PERF/PERF_0012,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0014,PERF,cases/PERF/PERF_0014,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0015,PERF,cases/PERF/PERF_0015,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0016,PERF,cases/PERF/PERF_0016,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0018,PERF,cases/PERF/PERF_0018,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0020,PERF,cases/PERF/PERF_0020,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0021,PERF,cases/PERF/PERF_0021,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0022,PERF,cases/PERF/PERF_0022,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0023,PERF,cases/PERF/PERF_0023,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0025,PERF,cases/PERF/PERF_0025,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0026,PERF,cases/PERF/PERF_0026,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0036,PERF,cases/PERF/PERF_0036,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0038,PERF,cases/PERF/PERF_0038,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0043,PERF,cases/PERF/PERF_0043,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0044,PERF,cases/PERF/PERF_0044,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0047,PERF,cases/PERF/PERF_0047,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0050,PERF,cases/PERF/PERF_0050,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0053,PERF,cases/PERF/PERF_0053,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0063,PERF,cases/PERF/PERF_0063,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0065,PERF,cases/PERF/PERF_0065,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0066,PERF,cases/PERF/PERF_0066,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
PERF_0076,PERF,cases/PERF/PERF_0076,pass,pass,pass,pass,pass,pass,pass,pass,pass,no,no,no,no,no,pass,Static metadata review only; no DB validation or package mutation performed.
