relative_path,public_release_path,source_kind,source_legacy_path_or_generated_from,size_bytes,sha256_public_copy,sha256_source_if_applicable,sha256_matches_source_if_applicable,category,canonical_section,public_hygiene_scan_ok,evidence_role,notes
README.md,cases/LONGTAIL/LONGTAIL_0011/README.md,generated_from_audit,generated_from_audit,2082,178c4734f3e8c131b189a9b52139c08ea9ec779f4ebf262b97877af4813ed188,,n/a_generated,readme,root,yes,human package summary,Generated canonical README with long-tail boundary and maintainer-approved hard-negative reason.
checker/checker.yaml,cases/LONGTAIL/LONGTAIL_0011/checker/checker.yaml,generated_from_audit,generated_from_audit,656,ef2fae0581df10a0f1e0001b13b6e56a1cc4148f30bdd0682cda6282864f59b1,,n/a_generated,metadata,checker,yes,checker config,Generated checker summary from retained evidence.
checker/compare_config.yaml,cases/LONGTAIL/LONGTAIL_0011/checker/compare_config.yaml,generated_from_audit,generated_from_audit,830,3ffad5782f1f501c69a1c8023d3a92c7e0df5882d902b0613eff23bbf1d6aa67,,n/a_generated,metadata,checker,yes,compare config,Generated compare config from retained evidence paths.
checker/expected_rejections.yaml,cases/LONGTAIL/LONGTAIL_0011/checker/expected_rejections.yaml,generated_from_audit,generated_from_audit,1144,a3eb4b63b33c2bb758f0065451381af8b9e929edbd3be3d26406cfa22e1f7061,,n/a_generated,metadata,checker,yes,expected hard-negative rejection,Generated maintainer-approved expected rejection reason.
checker/normalization.yaml,cases/LONGTAIL/LONGTAIL_0011/checker/normalization.yaml,generated_from_audit,generated_from_audit,436,fdc4860ba16845399e59332751795e1e5dd983c5f41ed9b9beb2cde79fcc70ea,,n/a_generated,metadata,checker,yes,checker normalization,Generated normalization summary.
data/data_profile.yaml,cases/LONGTAIL/LONGTAIL_0011/data/data_profile.yaml,generated_from_audit,generated_from_audit,426,3e11fe6a44e22ab3484cefa655f938ed77798bae9c72400b776838858c3ec429,,n/a_generated,metadata,data,yes,data profile,Generated data profile without workload-frequency claims.
data/witness_profile.yaml,cases/LONGTAIL/LONGTAIL_0011/data/witness_profile.yaml,generated_from_audit,generated_from_audit,1192,7686b08025ece5cbad52958ea7d71d0649e7168087d07875465b3f3281cf1e29,,n/a_generated,metadata,data,yes,witness profile,Generated witness profile documenting tie-sensitive ranking witness.
evidence/hard_negative/hard_negative_summary.json,cases/LONGTAIL/LONGTAIL_0011/evidence/hard_negative/hard_negative_summary.json,generated_summary,generated_summary,935,27174ce7e9ff53222aef32ff9a47feaf6974409b7f87be3b6c159356e407bf24,,n/a_generated,summary,evidence,yes,hard-negative summary,Generated hard-negative summary from retained evidence.
evidence/hard_negative/mysql/rewrite_neg_01.tsv,cases/LONGTAIL/LONGTAIL_0011/evidence/hard_negative/mysql/rewrite_neg_01.tsv,legacy_file,cases/LONGTAIL/LONGTAIL_0011/runs/mysql/rewrite_neg_01.tsv,67,35c3bb7504d6d974ba84334328b08647e78abb0b17a7354bf6a149bf36deaa98,35c3bb7504d6d974ba84334328b08647e78abb0b17a7354bf6a149bf36deaa98,true,hard_negative_evidence,evidence,yes,mysql hard-negative output,Copied mysql negative output.
evidence/hard_negative/postgres/rewrite_neg_01.tsv,cases/LONGTAIL/LONGTAIL_0011/evidence/hard_negative/postgres/rewrite_neg_01.tsv,legacy_file,cases/LONGTAIL/LONGTAIL_0011/runs/pg/rewrite_neg_01.tsv,67,35c3bb7504d6d974ba84334328b08647e78abb0b17a7354bf6a149bf36deaa98,35c3bb7504d6d974ba84334328b08647e78abb0b17a7354bf6a149bf36deaa98,true,hard_negative_evidence,evidence,yes,postgres hard-negative output,Copied postgres negative output.
