case_id,pool,engine,diagnostic_mode,candidate_generated,preflight_status,source_execution_status,candidate_execution_status,checker_status,exact_status,failure_bucket,source_like_status,notes
PERF_0006,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0007,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0008,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0013,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0017,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0019,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0024,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0033,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0034,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0035,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0052,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0054,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0056,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0062,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0077,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
PERF_0082,PERF,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
CONS_0005,CONS,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
CONS_0007,CONS,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
CONS_0009,CONS,spark,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,Spark source and candidate executed through PySpark and checker exact; no timing or metrics.
