case_id,pool,engine,planned,selected,candidate_generated,calcite_preflight_status,target_dialect_guard_bucket,candidate_preflight_status,source_executable,candidate_executable,checker_attempted,exact,result_consistent,mismatch,fail_closed,fail_closed_bucket,failure_bucket,diagnostic_mode,source_execution_status,candidate_execution_status,checker_status,exact_status,notes
PERF_0006,PERF,postgres,true,true,true,calcite_invocation_succeeded,,passed,true,true,true,true,true,false,false,,none,same_engine,source_execution_success,candidate_execution_success,checker_success,exact,PostgreSQL candidate generated after identifier postprocess and checked exact.
CONS_0005,CONS,postgres,true,true,true,calcite_invocation_succeeded,,passed,true,true,true,true,true,false,false,,none,same_engine,source_execution_success,candidate_execution_success,checker_success,exact,PostgreSQL candidate generated after identifier postprocess and checked exact.
CONS_0036,CONS,postgres,true,true,true,calcite_invocation_succeeded,,passed,true,true,true,false,false,true,false,,mismatch,same_engine,source_execution_success,candidate_execution_success,checker_mismatch,mismatch,PostgreSQL source and candidate executed; checker reported label-only mismatch.
CONS_0037,CONS,postgres,true,true,true,calcite_invocation_succeeded,,passed,true,true,true,true,true,false,false,,none,same_engine,source_execution_success,candidate_execution_success,checker_success,exact,PostgreSQL candidate generated after identifier postprocess and checked exact.
PORT_0004,PORT,postgres,true,true,false,calcite_no_candidate_sql,,skipped,false,false,false,false,false,false,true,calcite_no_candidate_sql,no_candidate_sql,cross_dialect_reference,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,DATETIME/TIMESTAMP style blocker remained no-candidate.
PORT_0024,PORT,postgres,true,true,true,calcite_invocation_succeeded,,passed,true,true,true,true,true,false,false,,none,cross_dialect_reference,source_execution_success,candidate_execution_success,checker_success,exact,MySQL source reference and PostgreSQL target candidate executed; checker exact.
PERF_0006,PERF,mysql,true,true,false,calcite_target_dialect_unsupported,mysql_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,mysql_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before MySQL DB execution.
CONS_0005,CONS,mysql,true,true,false,calcite_target_dialect_unsupported,mysql_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,mysql_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before MySQL DB execution.
CONS_0036,CONS,mysql,true,true,false,calcite_target_dialect_unsupported,mysql_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,mysql_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before MySQL DB execution.
CONS_0037,CONS,mysql,true,true,false,calcite_target_dialect_unsupported,mysql_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,mysql_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before MySQL DB execution.
PORT_0004,PORT,mysql,true,true,false,calcite_no_candidate_sql,,skipped,false,false,false,false,false,false,true,calcite_no_candidate_sql,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,DATETIME/TIMESTAMP style blocker remained no-candidate.
PORT_0024,PORT,mysql,true,true,false,calcite_target_dialect_unsupported,mysql_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,mysql_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before MySQL DB execution.
PERF_0006,PERF,spark,true,true,false,calcite_target_dialect_unsupported,spark_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,spark_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before Spark DB execution.
CONS_0005,CONS,spark,true,true,false,calcite_target_dialect_unsupported,spark_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,spark_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before Spark DB execution.
CONS_0036,CONS,spark,true,true,false,calcite_target_dialect_unsupported,spark_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,spark_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before Spark DB execution.
CONS_0037,CONS,spark,true,true,false,calcite_target_dialect_unsupported,spark_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,spark_postgres_dialect_quoted_identifier,no_candidate_sql,same_engine,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect quoted identifiers blocked before Spark DB execution.
PORT_0004,PORT,spark,true,true,false,calcite_no_candidate_sql,,skipped,false,false,false,false,false,false,true,calcite_no_candidate_sql,no_candidate_sql,cross_dialect_reference,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,DATETIME/TIMESTAMP style blocker remained no-candidate.
PORT_0024,PORT,spark,true,true,false,calcite_target_dialect_unsupported,spark_postgres_dialect_quoted_identifier,skipped,false,false,false,false,false,false,true,spark_postgres_dialect_quoted_identifier,no_candidate_sql,unsupported,execution_not_enabled,execution_not_enabled,not_run_non_db_mvp,not_evaluated_non_db_mvp,PostgreSQL-dialect output blocked; Spark source-role/target-reference policy remains separate.
