record_id,case_id,pool,engine,rewrite_method,denominator_id,generated,ready,executed,exact,result_status,parser_status,authorization_source,used_for_generation_rate,used_for_execution_coverage,used_for_result_consistency,status_normalization_note,notes
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0005:mysql:direct_llm_original,CONS_0005,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0005:mysql,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0005:postgres:direct_llm_original,CONS_0005,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0005:postgres,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0005:spark:direct_llm_original,CONS_0005,CONS,spark,direct_llm_original,track_a_same_engine:CONS_0005:spark,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0007:mysql:direct_llm_original,CONS_0007,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0007:mysql,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0007:postgres:direct_llm_original,CONS_0007,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0007:postgres,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0007:spark:direct_llm_original,CONS_0007,CONS,spark,direct_llm_original,track_a_same_engine:CONS_0007:spark,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0009:mysql:direct_llm_original,CONS_0009,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0009:mysql,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0009:postgres:direct_llm_original,CONS_0009,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0009:postgres,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0009:spark:direct_llm_original,CONS_0009,CONS,spark,direct_llm_original,track_a_same_engine:CONS_0009:spark,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0010:mysql:direct_llm_original,CONS_0010,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0010:mysql,N.A.,true,N.A.,N.A.,ready,row_level_status_filled,metric_input_authorization_overlay_v0,needs_status_normalization,needs_status_normalization,needs_status_normalization,generation_rate_requires_generated_normalization|execution_coverage_requires_executed_normalization|result_consistency_requires_exact_normalization,authorized audit-only input row; timing and speedup fields excluded
