rewrite_method,route_family,method_role,field_group,candidate_fields,safe_release_repo_sources,requires_legacy_raw_evidence,requires_reports_results_candidate_map,requires_timing_artifacts,can_fill_in_next_bounded_adapter,must_remain_na_for_now,adapter_needed,risk_level,notes
direct_llm_original,llm_direct,same_engine_rewrite_method,generation_ready,generated;ready;candidate_sql_path;parse_status,scaffold ledger;method scope;case_set denominator;release metadata maps as manifest only,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Generation and readiness require retained candidate evidence at case-engine-method grain; release maps are not metric facts.
direct_llm_original,llm_direct,same_engine_rewrite_method,execution_exactness,executed;exact;result_status;checker_status,scaffold ledger for denominator only;release metadata maps as manifest only,true,true,false,false,true,production_retained_evidence_adapter,high,Execution and exactness cannot be inferred from summaries without approved row-grain parsing.
direct_llm_original,llm_direct,same_engine_rewrite_method,failure_status,failure_stage;failure_type;result_status;parse_status,release metadata maps may identify artifact groups,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Failure buckets need retained parser or manual-review mapping; do not silently drop failed rows.
direct_llm_original,llm_direct,same_engine_rewrite_method,timing_performance,timed;latency_ms;speedup_ratio;timing_eligible,metrics contract timing boundary only,true,true,true,false,true,timing_record_adapter,critical,Timing needs separate timing adapter and cannot be filled from current scaffold or summary metadata.
direct_llm_original,llm_direct,same_engine_rewrite_method,plan_observability,plan_available;plan_artifact_path,plan observability planning summaries only,true,true,false,false,true,plan_observability_adapter,medium,Plan support requires public-safe plan artifact mapping and should remain support evidence.
direct_llm_original,llm_direct,same_engine_rewrite_method,retained_artifact_trace,evidence_source;retained_artifact_path;metric_input_authorized,scaffold can keep evidence_source=release_denominator_scaffold and metric_input_authorized=false,true,true,false,conditional_trace_only,true,retained_evidence_adapter,medium,Actual retained artifact paths require approved public-safe artifact selection; metric input remains false.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,generation_ready,generated;ready;candidate_sql_path;parse_status,scaffold ledger;method scope;case_set denominator;release metadata maps as manifest only,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Repair output needs separation from original LLM output and failed repair attempts.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,execution_exactness,executed;exact;result_status;checker_status,scaffold ledger for denominator only;release metadata maps as manifest only,true,true,false,false,true,production_retained_evidence_adapter,high,Repair execution and exactness require approved retained-evidence parsing.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,failure_status,failure_stage;failure_type;result_status;parse_status,release metadata maps may identify repair artifact groups,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Repair failure buckets risk mixing generation failure repair failure and execution failure.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,timing_performance,timed;latency_ms;speedup_ratio;timing_eligible,metrics contract timing boundary only,true,true,true,false,true,timing_record_adapter,critical,Repair timing has mixed-source risk and must be handled only by a timing adapter.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,plan_observability,plan_available;plan_artifact_path,plan observability planning summaries only,true,true,false,false,true,plan_observability_adapter,medium,Plan artifacts must not be used as explainability metrics until attribution policy is implemented.
direct_llm_repair_1,llm_feedback_repair,same_engine_feedback_rewrite_method,retained_artifact_trace,evidence_source;retained_artifact_path;metric_input_authorized,scaffold can keep evidence_source=release_denominator_scaffold and metric_input_authorized=false,true,true,false,conditional_trace_only,true,retained_evidence_adapter,medium,Actual repair artifact references require approved selection and public hygiene checks.
