path,file_type,likely_purpose,db_dependency,llm_or_api_dependency,local_path_risk,output_path_risk,writes_to_case_local_runs_risk,recommended_classification,future_layer,notes
scripts/__init__.py,python,legacy_helper_or_one_off_reference,false,false,false,false,false,reference_only,scripts/dev,read-only reference classification only
scripts/build_first_results_md.py,python,legacy_helper_or_one_off_reference,true,false,false,true,false,reference_only,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms
scripts/build_first_slice_appendix_md.py,python,legacy_helper_or_one_off_reference,true,false,false,true,false,reference_only,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms
scripts/build_first_slice_metrics.py,python,report_or_metric_rendering_reference,true,false,false,true,false,refactor_candidate,scripts/metrics,contains DB/engine terms; contains output/write/report/run path terms
scripts/build_pilot_tables.py,python,report_or_metric_rendering_reference,true,false,false,false,false,refactor_candidate,scripts/metrics,contains DB/engine terms
scripts/check_cons_0001_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_0002_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_0003_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_0003_mysql.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_0004_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_0004_mysql.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_cons_spark_case.py,python,validation_or_preflight_reference,true,false,false,false,false,refactor_candidate,scripts/dev,contains DB/engine terms
scripts/check_longtail_0001_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
scripts/check_longtail_0002_consistency.py,python,validation_or_preflight_reference,true,false,false,true,true,refactor_candidate,scripts/dev,contains DB/engine terms; contains output/write/report/run path terms; may write/read case-local runs; future public runners must not write there
