case_id,pool,candidate_class,method_id,route_id,engine,source_sql_path,candidate_sql_path,positive_sql_path,negative_sql_path,candidate_source_status,notes
PERF_0006,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0006/sql/source.sql,cases/PERF/PERF_0006/sql/pos_01.sql,cases/PERF/PERF_0006/sql/pos_01.sql,cases/PERF/PERF_0006/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0006,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0006/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,cases/PERF/PERF_0006/sql/pos_01.sql,cases/PERF/PERF_0006/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0007,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0007/sql/source.sql,cases/PERF/PERF_0007/sql/pos_01.sql,cases/PERF/PERF_0007/sql/pos_01.sql,cases/PERF/PERF_0007/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0007,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0007/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0007__postgres.sql,cases/PERF/PERF_0007/sql/pos_01.sql,cases/PERF/PERF_0007/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0008,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0008/sql/source.sql,cases/PERF/PERF_0008/sql/pos_01.sql,cases/PERF/PERF_0008/sql/pos_01.sql,cases/PERF/PERF_0008/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0008,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0008/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0008__postgres.sql,cases/PERF/PERF_0008/sql/pos_01.sql,cases/PERF/PERF_0008/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0013,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0013/sql/source.sql,cases/PERF/PERF_0013/sql/pos_01.sql,cases/PERF/PERF_0013/sql/pos_01.sql,cases/PERF/PERF_0013/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0013,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0013/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0013__postgres.sql,cases/PERF/PERF_0013/sql/pos_01.sql,cases/PERF/PERF_0013/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0017,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0017/sql/source.sql,cases/PERF/PERF_0017/sql/pos_01.sql,cases/PERF/PERF_0017/sql/pos_01.sql,cases/PERF/PERF_0017/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0017,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0017/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0017__postgres.sql,cases/PERF/PERF_0017/sql/pos_01.sql,cases/PERF/PERF_0017/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0019,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0019/sql/source.sql,cases/PERF/PERF_0019/sql/pos_01.sql,cases/PERF/PERF_0019/sql/pos_01.sql,cases/PERF/PERF_0019/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0019,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0019/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0019__postgres.sql,cases/PERF/PERF_0019/sql/pos_01.sql,cases/PERF/PERF_0019/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0024,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0024/sql/source.sql,cases/PERF/PERF_0024/sql/pos_01.sql,cases/PERF/PERF_0024/sql/pos_01.sql,cases/PERF/PERF_0024/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0024,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0024/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0024__postgres.sql,cases/PERF/PERF_0024/sql/pos_01.sql,cases/PERF/PERF_0024/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0033,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0033/sql/source.sql,cases/PERF/PERF_0033/sql/pos_01.sql,cases/PERF/PERF_0033/sql/pos_01.sql,cases/PERF/PERF_0033/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0033,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0033/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0033__postgres.sql,cases/PERF/PERF_0033/sql/pos_01.sql,cases/PERF/PERF_0033/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0034,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0034/sql/source.sql,cases/PERF/PERF_0034/sql/pos_01.sql,cases/PERF/PERF_0034/sql/pos_01.sql,cases/PERF/PERF_0034/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0034,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0034/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0034__postgres.sql,cases/PERF/PERF_0034/sql/pos_01.sql,cases/PERF/PERF_0034/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0035,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0035/sql/source.sql,cases/PERF/PERF_0035/sql/pos_01.sql,cases/PERF/PERF_0035/sql/pos_01.sql,cases/PERF/PERF_0035/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0035,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0035/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0035__postgres.sql,cases/PERF/PERF_0035/sql/pos_01.sql,cases/PERF/PERF_0035/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0052,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0052/sql/source.sql,cases/PERF/PERF_0052/sql/pos_01.sql,cases/PERF/PERF_0052/sql/pos_01.sql,cases/PERF/PERF_0052/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0052,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0052/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0052__postgres.sql,cases/PERF/PERF_0052/sql/pos_01.sql,cases/PERF/PERF_0052/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0054,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0054/sql/source.sql,cases/PERF/PERF_0054/sql/pos_01.sql,cases/PERF/PERF_0054/sql/pos_01.sql,cases/PERF/PERF_0054/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0054,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0054/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0054__postgres.sql,cases/PERF/PERF_0054/sql/pos_01.sql,cases/PERF/PERF_0054/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0056,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0056/sql/source.sql,cases/PERF/PERF_0056/sql/pos_01.sql,cases/PERF/PERF_0056/sql/pos_01.sql,cases/PERF/PERF_0056/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0056,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0056/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0056__postgres.sql,cases/PERF/PERF_0056/sql/pos_01.sql,cases/PERF/PERF_0056/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0062,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0062/sql/source.sql,cases/PERF/PERF_0062/sql/pos_01.sql,cases/PERF/PERF_0062/sql/pos_01.sql,cases/PERF/PERF_0062/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0062,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0062/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0062__postgres.sql,cases/PERF/PERF_0062/sql/pos_01.sql,cases/PERF/PERF_0062/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0077,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0077/sql/source.sql,cases/PERF/PERF_0077/sql/pos_01.sql,cases/PERF/PERF_0077/sql/pos_01.sql,cases/PERF/PERF_0077/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0077,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0077/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0077__postgres.sql,cases/PERF/PERF_0077/sql/pos_01.sql,cases/PERF/PERF_0077/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
PERF_0082,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/PERF/PERF_0082/sql/source.sql,cases/PERF/PERF_0082/sql/pos_01.sql,cases/PERF/PERF_0082/sql/pos_01.sql,cases/PERF/PERF_0082/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
PERF_0082,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/PERF/PERF_0082/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0082__postgres.sql,cases/PERF/PERF_0082/sql/pos_01.sql,cases/PERF/PERF_0082/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0005,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0005/sql/source.sql,cases/CONS/CONS_0005/sql/pos_01.sql,cases/CONS/CONS_0005/sql/pos_01.sql,cases/CONS/CONS_0005/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0005,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0005/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0005__postgres.sql,cases/CONS/CONS_0005/sql/pos_01.sql,cases/CONS/CONS_0005/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0007,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0007/sql/source.sql,cases/CONS/CONS_0007/sql/pos_01.sql,cases/CONS/CONS_0007/sql/pos_01.sql,cases/CONS/CONS_0007/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0007,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0007/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0007__postgres.sql,cases/CONS/CONS_0007/sql/pos_01.sql,cases/CONS/CONS_0007/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0009,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0009/sql/source.sql,cases/CONS/CONS_0009/sql/pos_01.sql,cases/CONS/CONS_0009/sql/pos_01.sql,cases/CONS/CONS_0009/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0009,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0009/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0009__postgres.sql,cases/CONS/CONS_0009/sql/pos_01.sql,cases/CONS/CONS_0009/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0010,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0010/sql/source.sql,cases/CONS/CONS_0010/sql/pos_01.sql,cases/CONS/CONS_0010/sql/pos_01.sql,cases/CONS/CONS_0010/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0010,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0010/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0010__postgres.sql,cases/CONS/CONS_0010/sql/pos_01.sql,cases/CONS/CONS_0010/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0011,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0011/sql/source.sql,cases/CONS/CONS_0011/sql/pos_01.sql,cases/CONS/CONS_0011/sql/pos_01.sql,cases/CONS/CONS_0011/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0011,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0011/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0011__postgres.sql,cases/CONS/CONS_0011/sql/pos_01.sql,cases/CONS/CONS_0011/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0012,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0012/sql/source.sql,cases/CONS/CONS_0012/sql/pos_01.sql,cases/CONS/CONS_0012/sql/pos_01.sql,cases/CONS/CONS_0012/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0012,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0012/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0012__postgres.sql,cases/CONS/CONS_0012/sql/pos_01.sql,cases/CONS/CONS_0012/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0024,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0024/sql/source.sql,cases/CONS/CONS_0024/sql/pos_01.sql,cases/CONS/CONS_0024/sql/pos_01.sql,cases/CONS/CONS_0024/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
CONS_0024,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,postgres,cases/CONS/CONS_0024/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/CONS_0024__postgres.sql,cases/CONS/CONS_0024/sql/pos_01.sql,cases/CONS/CONS_0024/sql/neg_01.sql,ready,Existing no-op candidate SQL artifact; read-only calibration input; no baseline rerun.
CONS_0036,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,postgres,cases/CONS/CONS_0036/sql/source.sql,cases/CONS/CONS_0036/sql/pos_01.sql,cases/CONS/CONS_0036/sql/pos_01.sql,cases/CONS/CONS_0036/sql/neg_01.sql,ready,Human positive SQL from case-local pos_01.sql; read-only calibration input.
