area,surface,status,required_for_public_v0,blocker,nonblocking_caveat,evidence_checked,recommended_next_action,notes
case_packages,Common-core 40 v2 case packages,ready,yes,no,none,"case_package_v2_common_core40_final_closeout_rerun_v0; v2 reference validator",carry forward to export planning,"40/40 clean-template-minimal and v2 reference validation passed"
case_readmes,Common-core 40 public READMEs,ready,yes,no,none,"case-set inventory and README existence check",carry forward to export planning,"40/40 README files present"
case_sets,case_sets/common_core_v0,ready,yes,no,none,"cases.csv and denominator_same_engine_120.csv",keep governed membership,"40 cases and 120 planned Track A rows confirmed"
source_path_caveats,PERF_0077 and PERF_0082,ready_with_caveat,yes,no,source-path provenance uncertainty retained,"perf_0077_0082_source_path_followup_v0",retain caveat in public release text,"Do not claim exact JOB source paths"
user_entry,user-entry local diagnostic harness,ready,yes,no,local diagnostics only not paper reproduction,"user_entry_local_evaluation_phase_closeout_v0 and tests/user_entry",carry forward with boundaries,"Smoke readability quality report tag slices and PostgreSQL diagnostic path available"
engine_execution,PostgreSQL/MySQL/Spark user-entry engine status,ready_with_caveat,yes,no,MySQL/Spark fail-closed stubs only,"user_entry_u7_minimal_router_v0 and current modules",keep fail-closed boundary,"PostgreSQL local diagnostic backend implemented"
metadata,LICENSE CITATION CONTRIBUTING gitignore,ready,yes,no,citation placeholders remain,"release_surface_metadata_polish_v0 and direct file inspection",decide citation finalization before tag,"Apache-2.0 license present and CFF YAML valid"
benchmark_spec,benchmark_spec public-v0 docs,ready,yes,no,none,"benchmark_spec markdown files",carry forward to export planning,"Scope contract denominator and reporting policy present"
docs,README docs examples,ready_with_caveat,yes,no,top-level README currently Chinese,"README docs index and user guide inspection",decide English or bilingual entrypoint before final artifact,"Smoke commands and local-output boundaries documented"
reports_results,reports and results boundary READMEs,ready_with_caveat,yes,no,boundary-only no curated outputs,"reports/README.md and results/README.md",decide if boundary-only is acceptable for public v0,"No reports/results migration or paper rendering performed"
retained_evidence,runs and retained-evidence policy,ready_with_caveat,yes,no,retained-evidence integration deferred,"D027 D028 gitignore and closeout packets",keep protected; do not promote user outputs,"runs/user ignored but whole runs not ignored"
tests_ci,tests and CI smoke surfaces,ready,yes,no,remote CI not rerun by this task,"GitHub workflow files and local validation",observe CI after push,"Local user-entry tests passed"
official_metrics,metrics and paper rendering,deferred,yes,no,explicitly unauthorized,"project_control decisions and reports/results boundaries",do not implement in export planning,"No official metrics or paper tables"
release_mechanics,release tag and export branch,ready_for_planning,yes,no,no tag or export branch yet,"git branch and tag checks",run separate export/tag planning task,"Do not create tag or branch until explicitly authorized"
