metric_name,rewrite_method,pool,engine,planned_denominator_rows,authorized_input_rows,numerator_observed_rows,numerator_inferred_rows,numerator_total_dry_run_rows,not_authorized_or_unresolved_rows,normalized_unknown_rows,inference_used_rows,dry_run_value,dry_run_value_is_official,paper_result,audit_only,notes
Generation Rate,direct_llm_original,PERF,postgres,16,15,0,15,15,1,0,15,0.937500,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,PERF,mysql,16,16,0,16,16,0,0,16,1.000000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,PERF,spark,16,14,0,14,14,2,0,14,0.875000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,CONS,postgres,9,8,0,8,8,1,0,8,0.888889,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,CONS,mysql,9,8,0,8,8,1,0,8,0.888889,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,CONS,spark,9,8,0,8,8,1,0,8,0.888889,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,PORT,postgres,9,4,0,4,4,5,0,4,0.444444,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,PORT,mysql,9,4,0,4,4,5,0,4,0.444444,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,PORT,spark,9,1,0,1,1,8,0,1,0.111111,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,LONGTAIL,postgres,6,5,0,5,5,1,0,5,0.833333,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,LONGTAIL,mysql,6,6,0,6,6,0,0,6,1.000000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_original,LONGTAIL,spark,6,5,0,5,5,1,0,5,0.833333,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PERF,postgres,16,1,1,0,1,15,0,0,0.062500,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PERF,mysql,16,0,0,0,0,16,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PERF,spark,16,0,0,0,0,16,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,CONS,postgres,9,0,0,0,0,9,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,CONS,mysql,9,0,0,0,0,9,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,CONS,spark,9,0,0,0,0,9,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PORT,postgres,9,1,0,0,0,8,0,0,0.000000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PORT,mysql,9,2,0,0,0,7,0,0,0.000000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,PORT,spark,9,2,0,0,0,7,0,0,0.000000,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,LONGTAIL,postgres,6,1,1,0,1,5,0,0,0.166667,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
Generation Rate,direct_llm_repair_1,LONGTAIL,mysql,6,0,0,0,0,6,0,0,no_authorized_input,false,false,true,"audit-only v2 dry run; generation may include R1 inferred_generated, execution/exact remain source-observed only"
