case_id,original_status,retry_status,merged_source,replaced_original,reason,notes
CONS_0005,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0007,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0009,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0010,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0011,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0012,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0024,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0036,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
CONS_0037,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
LONGTAIL_0011,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
LONGTAIL_0012,malformed_json,schema_valid,retry_success,true,retry row schema-valid and matched case/engine/method/route/candidate_sha256/skills_contract_hash,candidate_sha_match=true; skills_hash_match=true
LONGTAIL_0013,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
LONGTAIL_0022,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
LONGTAIL_0023,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
LONGTAIL_0024,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0006,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0007,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0008,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0013,malformed_json,schema_valid,retry_success,true,retry row schema-valid and matched case/engine/method/route/candidate_sha256/skills_contract_hash,candidate_sha_match=true; skills_hash_match=true
PERF_0017,timeout,schema_valid,retry_success,true,retry row schema-valid and matched case/engine/method/route/candidate_sha256/skills_contract_hash,candidate_sha_match=true; skills_hash_match=true
PERF_0019,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0024,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0033,malformed_json,schema_valid,retry_success,true,retry row schema-valid and matched case/engine/method/route/candidate_sha256/skills_contract_hash,candidate_sha_match=true; skills_hash_match=true
PERF_0034,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0035,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0052,timeout,schema_valid,retry_success,true,retry row schema-valid and matched case/engine/method/route/candidate_sha256/skills_contract_hash,candidate_sha_match=true; skills_hash_match=true
PERF_0054,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0056,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0062,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0077,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PERF_0082,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0003,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0004,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0005,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0008,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0012,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0013,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0022,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0024,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
PORT_0025,schema_valid,not_selected_for_retry,original_full_run,false,original full-run schema-valid row preserved,
