dimension,status,readiness_verdict,evidence,remaining_gap,next_action,protected_boundary
Common-core 40 case-package readiness,ready,ready,"Final closeout rerun reported 40/40 validators, 40/40 clean-template-minimal, 40/40 manifest semantic contract, and 40/40 validation three-file contract.",none,Carry forward as release input only; do not modify case packages.,No case files changed.
Public README readiness,ready,ready,"Common-core README batch normalized all 40 public case READMEs and passed public hygiene checks.",none,Human spot-check may proceed; no batch rewrite needed for this audit.,No README files changed.
Manifest semantic contract readiness,ready,ready,"Final closeout rerun reported 40/40 manifest semantic contract passed.",none,Keep manifests unchanged unless future evidence-backed repairs are explicitly authorized.,No manifest files changed.
Validation three-file contract readiness,ready,ready,"Final closeout rerun reported 40/40 validation three-file contract passed.",none,Keep validation entrypoints unchanged during release planning.,No validation files changed.
Dialect variant retention status,ready,ready,"PORT_0003, PORT_0004, PORT_0005, and PORT_0013 retain dialect variants as semantic PORT assets.",none,Document as retained semantic assets; do not delete dialect variants.,No dialect variants changed.
PERF_0077/PERF_0082 source-path caveat closure status,ready_with_caveat,ready_with_gaps,"Source-path follow-up closed both cases as retained nonblocking provenance uncertainty with no exact JOB source path claimed.","Exact source paths remain unrecovered by design; this is nonblocking.",Carry caveat into release wording and avoid exact source-path claims.,No manifests or source files changed.
case_sets/common_core_v0 denominator readiness,ready,ready,"Common-core cases.csv has 40 rows; denominator_same_engine_120.csv has 120 rows; controls_360.csv has 360 rows.",none,Preserve denominator and case membership.,No case_sets files changed.
Inventory alignment readiness,ready,ready,"inventory/case_registry.csv has 40 rows aligned to the Common-core universe.",none,Preserve inventory unless separate governance task authorizes changes.,No inventory files changed.
runs retention policy risk,ready_with_caveat,ready_with_gaps,"Run artifact policy and user guide direct new outputs to top-level runs/user; case-local runs are not part of clean Common-core case packages.","Top-level local run-output policy remains a release-hygiene area.",Confirm export/tag excludes unintended local run artifacts.,No runs outputs created.
reports/results retained-evidence mapping readiness,blocked,blocked,"Project-control history records reports/results migration as not completed for the public release surface.","Curated public reports/results surfaces are missing or not authorized.",Authorize a reports/results retained-evidence release-surface task or explicitly defer those surfaces.,No reports/results files changed.
Public top-level docs readiness,ready_with_gaps,ready_with_gaps,"Top-level README and docs/USER_BENCHMARK_GUIDE.md are present.","Final public positioning and benchmark-spec linkage need maintainer review.",Review and finalize public top-level docs before release export.,No docs files changed by this audit.
LICENSE / CITATION / CONTRIBUTING readiness,blocked,blocked,"LICENSE, CITATION.cff, and CONTRIBUTING.md are absent.","Required public release metadata is missing.",Create release metadata in a separate documentation/legal task.,No metadata files created by this audit.
User-facing reproduction path readiness,ready_with_gaps,ready_with_gaps,"Documented user runner and smoke workflows exist within non-official boundaries.","Full paper reproduction and official output path are not finalized.",Define the public reproduction contract before claiming reproducible paper outputs.,No runner files changed.
Metrics implementation authorization status,blocked,blocked,"This task did not compute metrics; project-control history keeps official metrics and paper rendering unauthorized for this step.","Official release metrics/rendering remain unauthorized or incomplete.",Authorize a separate metrics/reproduction closeout only if release will include computed outputs.,No metrics outputs created.
Retained-evidence adapter status,ready_with_gaps,ready_with_gaps,"Several adapter/planning artifacts exist, but project-control history records broader retained-evidence integration as incomplete.","General retained-evidence adapter coverage is not final for public output claims.",Complete or explicitly scope retained-evidence adapters before release-output claims.,No raw retained evidence changed.
Public hygiene / internal trace risk,ready_with_gaps,ready_with_gaps,"Case READMEs passed public hygiene checks; source-path caveats were closed nonblocking.","A clean public export/tag pass has not run; construction audits and project-control files remain in this branch.",Run a final export-surface hygiene audit before tag/export.,No protected files changed by this audit.
CI / tests readiness,ready_with_gaps,ready_with_gaps,"Existing workflows include user-entry and ledger fixture smoke checks; case-package static tests have passed in prior closeouts.","Full release CI gate for public export is not yet defined.",Define final release CI gate and smoke matrix before export/tag.,No CI files changed.
Release export/tag readiness,blocked,blocked,"No release tag or export branch exists; this task is planning-only.","Clean export/tag procedure has not run.",After blockers close, run a dedicated export/tag readiness task; do not tag from this audit.,No tag or branch created.
