case_id,pool,engine,diagnostic_mode,candidate_generated,preflight_status,source_execution_status,candidate_execution_status,checker_status,exact_status,failure_bucket,source_like_status,notes
PERF_0006,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_common_core_v0/schema_profile.yaml; local checker exact match
PERF_0007,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0007_v0/schema_profile.yaml; local checker exact match
PERF_0008,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0008_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['db_validation_run_during_migration']
PERF_0013,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0013_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['db_validation_run_during_migration']
PERF_0017,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0017_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['db_validation_run_during_migration', 'source_basis']"
PERF_0019,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0019_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['db_validation_run_during_migration', 'source_basis']"
PERF_0024,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpch_perf0024_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['db_validation_run_during_migration', 'source_basis']"
PERF_0033,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0033_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0034,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0034_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0035,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0035_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0052,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0052_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0054,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0054_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0056,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0056_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0062,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/tpcds_perf0062_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
PERF_0077,PERF,postgres,same_engine,true,passed,source_execution_success,candidate_execution_success,checker_success,exact,none,source_like,"candidate captured from workspace candidate.sql; candidate preflight passed; parse status not checked; source and candidate SQL executed locally through psql using external schema profile /home/tianci_gao/code/Rewritebench_v0/schemas/job_imdb_perf0077_v0/schema_profile.yaml; local checker exact match; unknown normalization keys recorded: ['evidence_policy', 'ignore_case_for_keywords', 'ignore_whitespace', 'negative', 'normalize_numeric_literals', 'pool', 'positive', 'preserve_semantic_operators', 'regeneration_policy', 'rules', 'source', 'sql_paths', 'static_case_evidence']"
