line_number,case_id,pool,engine,method_id,route_id,has_annotation_payload,artifact_schema_validation_status,artifact_stage_b_status,json_parse_status,notes
1,PERF_0006,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,false,fail,schema_invalid,json_valid,source artifact row; replay mapping is validated separately
2,PERF_0007,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,false,fail,schema_invalid,json_valid,source artifact row; replay mapping is validated separately
3,PERF_0008,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
4,PERF_0013,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
5,PERF_0017,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
6,PERF_0019,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
7,PERF_0024,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
8,PERF_0033,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,false,fail,schema_invalid,json_valid,source artifact row; replay mapping is validated separately
9,PERF_0034,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
10,PERF_0035,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,presence_only,json_valid,source artifact row; replay mapping is validated separately
11,PERF_0052,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
12,PERF_0054,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
13,PERF_0056,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
14,PERF_0062,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
15,PERF_0077,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
16,PERF_0082,PERF,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
17,CONS_0005,CONS,postgres,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,true,pass,transformation_evidence_partial,json_valid,source artifact row; replay mapping is validated separately
