metric_name,numerator,denominator,eligible_cases,excluded_cases,unknown_or_na_policy,denominator_boundary,notes
Generation Rate,planned cases with emitted candidate SQL,approved planned candidate cases,planned cases in approved method/scope,cases outside scope or with no approved denominator,N.A. when no approved denominator exists,Does not alter Track A 120 or other approved denominator,Extraction/readiness is diagnostic
Execution Coverage Rate,planned candidate cases that reach execution,approved planned candidate cases,planned cases in approved method/scope,cases outside scope,N.A. when execution unsupported for method/engine,Execution denominator remains separate from correctness denominator,Unsupported/not-run/preflight states remain visible
Result Consistency Rate,executed candidate cases with result-consistent output,executed candidate cases,executed cases with comparable result/checker evidence,not-run and unsupported cases excluded from executed denominator,N.A. when no cases executed,Correctness gate does not imply formal proof,Renamed from Exact Correctness Rate
Semantic Equivalence Rate,verifier-decidable result-consistent cases with semantic-equivalence support,verifier-decidable result-consistent cases,result-consistent cases where verifier/equivalence basis applies,unknown undecidable unsupported and no-verifier cases,Unknown/undecidable reported separately; N.A. if no decidable cases,Verifier support folded into correctness,Support Layer removed
GM_Speedup,geometric mean over speedup ratios,result-consistent timed candidate cases,result-consistent cases with usable timing,non-consistent untimed unsupported and timing-missing cases,N.A. when no result-consistent timed cases,Performance only on result-consistent timed cases,Missing timing is not zero
Speedup Ratio Percentiles,P25 median/P50 P75 and optional IQR over speedup ratios,result-consistent timed candidate cases,result-consistent cases with usable timing,non-consistent untimed unsupported and timing-missing cases,N.A. when no result-consistent timed cases,Performance only on result-consistent timed cases,Primary replacement for Regression@20
Attribution Coverage,attribution-eligible cases with sufficient operator-level attribution evidence,attribution-eligible cases under approved schema,cases with structured plan/SQL/checker/verifier evidence eligibility,cases outside attribution scope or private/archive-only evidence,N.A. until attribution schema and denominator are defined,Explainability does not create correctness or speedup evidence,Implementation deferred
Cross-Engine Execution,target-engine candidate cases that execute,approved cross-engine candidate cases,approved portability/generalization cases,target engines or methods outside approved scope,N.A. when target engine/scope unsupported or no denominator,Separate from Track A same-engine denominator,No full PORT overclaim
Cross-Engine Consistency,executed cross-engine cases with consistent target-engine result,executed cross-engine candidate cases,executed portability/generalization cases,not executed unsupported and out-of-scope cases,N.A. when no target-engine execution cases exist,Separate from same-engine Result Consistency Rate,Target consistency protocol must be explicit
Speedup Retention,paired source/target speedup retention values or summary,paired source/target result-consistent timed cases,pairs with timing on both source and target sides,pairs missing source or target timing and unsupported target timing,N.A. when paired target timing is unavailable,Separate paired generalization denominator,Missing paired timing is not zero
Failure Bucket Distribution,counts by approved failure buckets,route-specific diagnostic rows,rows with known failure_stage/failure_type,rows outside route-specific diagnostic scope,Unknown manual review bucket allowed,Diagnostic only not a primary denominator,Candidate Failure Rate removed as primary
Regression@20,legacy threshold count if retained,result-consistent timed candidate cases,result-consistent timed cases,cases outside timed performance slice,N.A. unless legacy diagnostic policy is approved,Diagnostic only,Not primary
