case_id,pool,legacy_path,current_wave004_bucket,primary_blocker,secondary_blockers,source_positive_status,checker_status,schema_status,evidence_status,hygiene_status,orphan_or_registry_status,can_policy_unlock,recommended_after_resolution_bucket,required_policy_or_manual_action,notes
PERF_0001,PERF,cases/PERF/PERF_0001,wave_004_manual_review_required,schema_or_load_gap,missing_checker;schema_or_load_gap;validation_asset_gap;legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,checker_or_hard_negative_review_required,missing_or_partial_schema,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,manual review of checker/schema/load package core before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0003,PERF,cases/PERF/PERF_0003,wave_004_manual_review_required,missing_checker,missing_checker;validation_asset_gap;legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0004,PERF,cases/PERF/PERF_0004,wave_004_manual_review_required,schema_or_load_gap,missing_checker;schema_or_load_gap;validation_asset_gap;legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,checker_or_hard_negative_review_required,missing_or_partial_schema,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,manual review of checker/schema/load package core before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0005,PERF,cases/PERF/PERF_0005,wave_004_manual_review_required,hard_negative_needs_manual_approval,legacy_runs_mapping_unclear;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_manual_review,present_or_not_flagged_in_preview,present_but_manual_review_required,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing;raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0046,PERF,cases/PERF/PERF_0046,wave_004_manual_review_required,hard_negative_needs_manual_approval,local_path_or_public_hygiene_risk;must_remain_manual_review,present_or_not_flagged_in_preview,present_but_manual_review_required,present_or_not_flagged_in_preview,archive_map_or_evidence_not_retained_allowed_if_core_complete,local_path_archive_map_or_sanitize_required,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0048,PERF,cases/PERF/PERF_0048,wave_004_manual_review_required,hard_negative_needs_manual_approval,local_path_or_public_hygiene_risk;must_remain_manual_review,present_or_not_flagged_in_preview,present_but_manual_review_required,present_or_not_flagged_in_preview,archive_map_or_evidence_not_retained_allowed_if_core_complete,local_path_archive_map_or_sanitize_required,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0078,PERF,cases/PERF/PERF_0078,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0079,PERF,cases/PERF/PERF_0079,orphan_or_unregistered_review,orphan_unregistered_needs_registry_reconciliation,missing_checker;legacy_runs_mapping_unclear;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;orphan_unregistered_needs_registry_reconciliation,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing;raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,requires_registry_reconciliation_preview,false,orphan_or_unregistered_review,run separate registry reconciliation preview before package standardization,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0080,PERF,cases/PERF/PERF_0080,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0081,PERF,cases/PERF/PERF_0081,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0083,PERF,cases/PERF/PERF_0083,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0084,PERF,cases/PERF/PERF_0084,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0085,PERF,cases/PERF/PERF_0085,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0086,PERF,cases/PERF/PERF_0086,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0087,PERF,cases/PERF/PERF_0087,orphan_or_unregistered_review,orphan_unregistered_needs_registry_reconciliation,missing_checker;legacy_runs_mapping_unclear;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;orphan_unregistered_needs_registry_reconciliation,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing;raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,requires_registry_reconciliation_preview,false,orphan_or_unregistered_review,run separate registry reconciliation preview before package standardization,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0090,PERF,cases/PERF/PERF_0090,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0091,PERF,cases/PERF/PERF_0091,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0092,PERF,cases/PERF/PERF_0092,orphan_or_unregistered_review,orphan_unregistered_needs_registry_reconciliation,missing_checker;legacy_runs_mapping_unclear;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;orphan_unregistered_needs_registry_reconciliation,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing;raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,requires_registry_reconciliation_preview,false,orphan_or_unregistered_review,run separate registry reconciliation preview before package standardization,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0093,PERF,cases/PERF/PERF_0093,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0094,PERF,cases/PERF/PERF_0094,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0095,PERF,cases/PERF/PERF_0095,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0096,PERF,cases/PERF/PERF_0096,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
