audit_question,status,evidence,compatibility_risk,recommended_action
"What are the current user-facing entrypoints?",answered,"Module CLI, thin wrapper, optional SQLGlot adapter, and developer/CI smoke identified.",low,"Keep module CLI and wrapper as public entrypoints; keep CI smoke as developer entrypoint."
"Which commands currently work?",working,"Module help, wrapper help, SQLGlot help, non-DB dry-run smoke, non-DB dummy-adapter smoke, and user-entry tests passed.",low,"Document the non-DB path as the current supported public smoke path."
"Which commands are documented but stale?",partially_stale,"Public docs say no DB/checker execution, while CLI help exposes optional DB/checker flags.",medium,"Align docs and CLI help by labeling DB/checker mode experimental or hiding/repairing it before public release."
"Which commands are implemented but undocumented?",underdocumented,"--enable-db-execution, --enable-checker, --postgres-dsn-env, --execution-timeout-sec, --db-schema-prefix, --run-id, and --adapter-timeout are in CLI help but not fully explained in the public guide.",medium,"Document only supported options; move experimental flags to diagnostic docs after repair."
"Does non-DB adapter-capture mode still work with current Common-core layout?",yes,"Required dry-run and dummy-adapter smokes passed over PERF_0006 and CONS_0005.",low,"Keep non-DB mode unchanged except public smoke polish."
"Does selection resolve through case_sets/common_core_v0 rather than directory scanning?",yes,"case_selection.py reads cases.csv and denominator_same_engine_120.csv; unit tests passed.",low,"Keep metadata-driven selection as the public route."
"Does runner find sql/source.sql for all selected Common-core rows?",yes,"Static check found 0 missing source SQL files across 40 Common-core rows.",low,"No case-package change needed."
"Does optional PostgreSQL DB/checker mode rely on case-local schema/postgres assets?",yes_incompatible,"postgres_execution.py resolves case_dir/schema/postgres/ddl.sql and load.sql; all 40 Common-core cases lack case-local PostgreSQL schema engine dirs.",high,"Repair DB execution to use manifest schema.external_profile or the v2 resolver before use."
"Are generated user outputs safely restricted to runs/user?",yes,"validate_output_root enforces relative runs/user/<run_id>; smokes wrote only runs/user/audit_* and outputs were removed.",low,"Keep output-root guard and add public smoke cleanup guidance."
"Are docs, CLI help, and actual behavior aligned?",partially,"Non-DB docs and behavior align; optional DB/checker flags are exposed but not documented and not compatible with current layout.",medium,"Align docs/help after DB mode reorganization."
"Is there a safe one-command public smoke path that can be documented now?",partially,"A non-DB dry-run without a case-list can run by pool/engine, but the tiny two-case smoke still requires a temporary case list and currently uses a test fixture adapter.",medium,"Add a public smoke adapter/case-list or --smoke/--limit option before presenting a polished one-command release smoke."
"What should be deferred as full paper reproduction / official metrics / paper rendering?",defer,"No DB/checker execution, official metrics, paper rendering, retained-evidence parsing, reports/results updates, or leaderboard were run.",low,"Keep full paper reproduction, official metrics, paper tables, and retained-evidence reporting as separate authorized tasks."
