risk_category,risk_level,description,mitigation,blocks_track_a_120,notes
license/source hygiene,high,"No repository-level license file was found in the official LearnedRewrite clone; upstream includes source, JARs, and dependency JARs.","Do not vendor upstream code or binaries; use external wrapper only and request or document license clarification before broader public packaging.",yes,"Paper citation is not a code license."
Java/runtime availability,medium,"LearnedRewrite requires JDK 11+ and an external Java server or command path.","Start with fake-mode tests; real runtime gated by SQLRB_LEARNEDREWRITE_ALLOW_RUNTIME in a later task.",yes,"No Java runtime is run in this design task."
Calcite version mismatch,medium,"Official source is Calcite-based and includes dependency JARs; release repo already has separate Calcite HEP conventions.","Keep LearnedRewrite as a separate external runtime; do not share or vendor Calcite dependency trees.",maybe,"Runtime behavior may differ by Calcite version."
schema serialization mismatch,high,"LearnedRewrite expects JSON schema/statistics, while SQL-RewriteBench resolves engine DDL/schema profiles.","Create fixture schema JSON policy before external runtime smoke.",yes,"This is the main adapter contract blocker."
PostgreSQL dialect mismatch,medium,"PostgreSQL syntax may need Calcite-compatible normalization.","Begin with small PostgreSQL fixtures and fail closed on unsupported syntax.",maybe,"Legacy evidence was PostgreSQL-only bounded."
MySQL dialect mismatch,high,"MySQL support is not established in official or legacy LearnedRewrite evidence.","Mark MySQL unsupported until canaries prove support; keep denominator-visible in 120-shaped routes.",yes,"Do not silently drop MySQL rows."
Spark dialect mismatch,high,"Spark support is not established in official or legacy LearnedRewrite evidence.","Mark Spark unsupported until canaries prove support; keep denominator-visible in 120-shaped routes.",yes,"Do not silently drop Spark rows."
complete SQL extraction,medium,"HTTP response can include JSON metadata and rewritten_sql; workload entrypoints may emit JSON-like output.","Use strict JSON parsing and single-SQL extraction; fail closed on ambiguity.",yes,"No prose or multiple candidates accepted."
no-op/source-like output,medium,"Legacy bounded evidence had many checker-consistent source-like/no-op outputs.","Record source-like diagnostics separately; do not claim optimization improvement from unchanged SQL.",no,"Generated/exact can still be counted if future execution/checker supports it."
timeout/tool failure,medium,"External Java runtime may hang, fail, or write request logs.","Per-row timeout; no candidate on timeout; temp-only runtime logs; metadata redaction.",yes,"Status stays method/runtime diagnostic, not DB/checker failure."
denominator compatibility,high,"Legacy LearnedRewrite evidence is bounded PostgreSQL-only, not current Track A 120.","Any 120 route must select 120 planned rows and preserve unsupported rows; metrics only from D035 ledger through local_metrics.py.",yes,"Old evidence informs fixtures only."
old evidence reuse risk,medium,"Legacy docs include bounded candidate and speedup notes but not current canonical D035 output.","Use old evidence for fixture expectations and risk notes only.",no,"Never import old outputs as new metrics."
secret safety,medium,"Upstream source contains a hard-coded API-key-looking field in a helper path.","Do not copy source content; scan changed files; record value withheld.",yes,"LearnedRewrite wrapper itself should require no API secret."
runtime side effects,medium,"Official server code can write request files and local artifacts.","Real-runtime wrapper should run in temp workspaces and copy only sanitized status/candidate artifacts.",maybe,"No real runtime in this task."
