caveat_type,affected_metric,affected_method,affected_rows,explanation,recommended_followup,notes
normalized_ready_known_but_generated_unknown,Generation Rate,direct_llm_original,94,"Rows have normalized_ready=true but normalized_generated=unknown; they are support/caveat rows, not Generation Rate numerator rows",Only an explicit generated/emitted status mapping can move these rows into Generation Rate numerator consideration.,audit-only caveat; not an official metric adjustment
normalized_exact_known_but_executed_unknown,Execution Coverage Rate|Result Consistency Rate,none,0,Rows have normalized_exact=true but normalized_executed=unknown; execution status must not be inferred from exactness; no affected rows present,Confirm execution status from an approved non-timing evidence source before using these rows for execution coverage.,zero-row caveat included for validation traceability
authorized_rows_with_unknown_normalized_values,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,94,Authorized rows still include unknown normalized metric fields; unknown is not coerced to false,Review field availability or authorize additional evidence parsing before official metric computation.,audit-only caveat; not an official metric adjustment
authorized_rows_with_unknown_normalized_values,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,7,Authorized rows still include unknown normalized metric fields; unknown is not coerced to false,Review field availability or authorize additional evidence parsing before official metric computation.,audit-only caveat; not an official metric adjustment
authorized_rows_with_unknown_normalized_values,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,29,Authorized rows still include unknown normalized metric fields; unknown is not coerced to false,Review field availability or authorize additional evidence parsing before official metric computation.,audit-only caveat; not an official metric adjustment
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"PERF/postgres has 15/16 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,2,"PERF/spark has 14/16 authorized rows; unauthorized_overlap=2, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"CONS/postgres has 8/9 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"CONS/mysql has 8/9 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"CONS/spark has 8/9 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,5,"PORT/postgres has 4/9 authorized rows; unauthorized_overlap=5, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,5,"PORT/mysql has 4/9 authorized rows; unauthorized_overlap=5, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,8,"PORT/spark has 1/9 authorized rows; unauthorized_overlap=8, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"LONGTAIL/postgres has 5/6 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_original,1,"LONGTAIL/spark has 5/6 authorized rows; unauthorized_overlap=1, unresolved=0",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,15,"PERF/postgres has 1/16 authorized rows; unauthorized_overlap=0, unresolved=15",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,16,"PERF/mysql has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,16,"PERF/spark has 0/16 authorized rows; unauthorized_overlap=2, unresolved=14",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,9,"CONS/postgres has 0/9 authorized rows; unauthorized_overlap=1, unresolved=8",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,9,"CONS/mysql has 0/9 authorized rows; unauthorized_overlap=1, unresolved=8",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,9,"CONS/spark has 0/9 authorized rows; unauthorized_overlap=1, unresolved=8",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,8,"PORT/postgres has 1/9 authorized rows; unauthorized_overlap=4, unresolved=4",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,7,"PORT/mysql has 2/9 authorized rows; unauthorized_overlap=3, unresolved=4",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,7,"PORT/spark has 2/9 authorized rows; unauthorized_overlap=6, unresolved=1",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,5,"LONGTAIL/postgres has 1/6 authorized rows; unauthorized_overlap=0, unresolved=5",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,6,"LONGTAIL/mysql has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,direct_llm_repair_1,6,"LONGTAIL/spark has 0/6 authorized rows; unauthorized_overlap=1, unresolved=5",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,16,"PERF/postgres has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,16,"PERF/mysql has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,16,"PERF/spark has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"CONS/postgres has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"CONS/mysql has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"CONS/spark has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"PORT/postgres has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"PORT/mysql has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,9,"PORT/spark has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,6,"LONGTAIL/postgres has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,6,"LONGTAIL/mysql has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_optimize,6,"LONGTAIL/spark has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,16,"PERF/postgres has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,16,"PERF/mysql has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,16,"PERF/spark has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"CONS/postgres has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"CONS/mysql has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"CONS/spark has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"PORT/postgres has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"PORT/mysql has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,9,"PORT/spark has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,6,"LONGTAIL/postgres has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,6,"LONGTAIL/mysql has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,sqlglot_noop,6,"LONGTAIL/spark has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,16,"PERF/postgres has 0/16 authorized rows; unauthorized_overlap=0, unresolved=16",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,14,"PERF/mysql has 2/16 authorized rows; unauthorized_overlap=0, unresolved=14",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,15,"PERF/spark has 1/16 authorized rows; unauthorized_overlap=0, unresolved=15",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,9,"CONS/postgres has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,9,"CONS/mysql has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,9,"CONS/spark has 0/9 authorized rows; unauthorized_overlap=0, unresolved=9",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,1,"PORT/mysql has 8/9 authorized rows; unauthorized_overlap=0, unresolved=1",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,1,"PORT/spark has 8/9 authorized rows; unauthorized_overlap=0, unresolved=1",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,6,"LONGTAIL/postgres has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,5,"LONGTAIL/mysql has 1/6 authorized rows; unauthorized_overlap=0, unresolved=5",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
partial_denominator_coverage,Generation Rate|Execution Coverage Rate|Result Consistency Rate,calcite_hep_fail_closed,6,"LONGTAIL/spark has 0/6 authorized rows; unauthorized_overlap=0, unresolved=6",Resolve overlap rows and/or authorize additional row-level evidence before official metrics.,planned denominator preserved; no global leaderboard
