route_label,method_id,route_id,engine,planned_rows,candidate_rows,schema_valid_rows,fail_closed_rows,no_candidate_rows,pocr_planned_macro,pocr_candidate_macro,micro_average_diagnostic,no_op_possible_overaccept,review_status,notes
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,postgres,40,40,33,7,0,0.395833333333,0.395833333333,0.383177570093,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,mysql,40,40,31,9,0,0.395833333333,0.395833333333,0.364485981308,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,spark,40,40,33,7,0,0.391666666667,0.391666666667,0.383177570093,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,postgres,40,40,40,0,0,0.395833333333,0.395833333333,0.383177570093,0,diagnostic_complete,promotion-diagnostic by engine; not official POCR
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,mysql,40,40,18,22,0,0.216666666667,0.216666666667,0.214953271028,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,spark,40,40,3,37,0,0.000000000000,0.000000000000,0.000000000000,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
SQLGlot no-op,sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control,postgres,40,40,34,6,0,0.000000000000,0.000000000000,0.000000000000,0,control_pass,promotion-diagnostic by engine; not official POCR
SQLGlot no-op,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,mysql,40,40,4,36,0,0.000000000000,0.000000000000,0.000000000000,0,control_pass,promotion-diagnostic by engine; not official POCR
SQLGlot no-op,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,spark,40,40,5,35,0,0.000000000000,0.000000000000,0.000000000000,0,control_pass,promotion-diagnostic by engine; not official POCR
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,postgres,40,34,29,11,6,0.325000000000,0.382352941176,0.317757009346,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,mysql,40,32,0,40,8,0.000000000000,0.000000000000,0.000000000000,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,spark,40,39,0,40,1,0.000000000000,0.000000000000,0.000000000000,0,quality_review_needed,promotion-diagnostic by engine; not official POCR
Direct LLM original,direct_llm_original,direct_llm_original_pg40_pocr_diagnostic,all,120,120,97,23,0,0.394444444444,0.394444444444,0.376947040498,0,quality_review_needed,overall diagnostic across postgres/mysql/spark; route IDs preserved from reusable evidence; not official POCR
Direct LLM Repair-1,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic;direct_llm_repair_1_tri_engine_pocr_pilot_v0,all,120,120,61,59,0,0.204166666667,0.204166666667,0.199376947040,0,quality_review_needed,overall diagnostic across postgres/mysql/spark; route IDs preserved from reusable evidence; not official POCR
SQLGlot no-op,sqlglot_noop,sqlglot_noop_pg40_pocr_sanity_control;sqlglot_noop_tri_engine_pocr_sanity_control_v0,all,120,120,43,77,0,0.000000000000,0.000000000000,0.000000000000,0,control_pass,overall diagnostic across postgres/mysql/spark; route IDs preserved from reusable evidence; not official POCR
SQLGlot optimize,sqlglot_optimize_schema_aware,sqlglot_optimize_schema_aware_pg40_pocr_diagnostic,all,120,105,29,91,15,0.108333333333,0.123809523810,0.105919003115,0,quality_review_needed,overall diagnostic across postgres/mysql/spark; route IDs preserved from reusable evidence; not official POCR
