record_id,case_id,pool,engine,rewrite_method,denominator_id,overlap_sources,applied_priority_policy,resolved_by_policy,authorize_metric_input_overlay_v1,fields_authorized,fields_still_blocked,failure_enrichment_source,p003_can_override_primary_status,timing_authorized,official_metric_authorized,metrics_computed,paper_result,notes
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:mysql:direct_llm_original,CONS_0024,CONS,mysql,direct_llm_original,track_a_same_engine:CONS_0024:mysql,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:mysql:direct_llm_repair_1,CONS_0024,CONS,mysql,direct_llm_repair_1,track_a_same_engine:CONS_0024:mysql,P002|P003,option_b:p002_primary_status_p003_failure_enrichment_only,true,true,generated|ready|executed|exact|result_status|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available; failure_stage|failure_type may be enriched from P003,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,P003,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:postgres:direct_llm_original,CONS_0024,CONS,postgres,direct_llm_original,track_a_same_engine:CONS_0024:postgres,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:postgres:direct_llm_repair_1,CONS_0024,CONS,postgres,direct_llm_repair_1,track_a_same_engine:CONS_0024:postgres,P002|P003,option_b:p002_primary_status_p003_failure_enrichment_only,true,true,generated|ready|executed|exact|result_status|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available; failure_stage|failure_type may be enriched from P003,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,P003,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:spark:direct_llm_original,CONS_0024,CONS,spark,direct_llm_original,track_a_same_engine:CONS_0024:spark,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:CONS_0024:spark:direct_llm_repair_1,CONS_0024,CONS,spark,direct_llm_repair_1,track_a_same_engine:CONS_0024:spark,P002|P003,option_b:p002_primary_status_p003_failure_enrichment_only,true,true,generated|ready|executed|exact|result_status|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available; failure_stage|failure_type may be enriched from P003,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,P003,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:LONGTAIL_0023:postgres:direct_llm_original,LONGTAIL_0023,LONGTAIL,postgres,direct_llm_original,track_a_same_engine:LONGTAIL_0023:postgres,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:LONGTAIL_0023:spark:direct_llm_original,LONGTAIL_0023,LONGTAIL,spark,direct_llm_original,track_a_same_engine:LONGTAIL_0023:spark,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:LONGTAIL_0023:spark:direct_llm_repair_1,LONGTAIL_0023,LONGTAIL,spark,direct_llm_repair_1,track_a_same_engine:LONGTAIL_0023:spark,P002|P003,option_b:p002_primary_status_p003_failure_enrichment_only,true,true,generated|ready|executed|exact|result_status|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available; failure_stage|failure_type may be enriched from P003,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,P003,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
candidate_status_parser_v1:rewrite_candidate_adapter_v0:track_a_same_engine:PERF_0007:spark:direct_llm_original,PERF_0007,PERF,spark,direct_llm_original,track_a_same_engine:PERF_0007:spark,P001|P002,option_b:p001_generation_readiness_p002_primary_status,true,true,generated|ready from P001; executed|exact|result_status|failure_stage|failure_type|parse_status|checker_status|retained_artifact_path|evidence_source from P002 where available,timed|latency_ms|speedup_ratio|timing_eligible|plan_available|plan_artifact_path|paper_table_fields|reports_results_update|denominator_update|official_metrics,,false,false,false,false,false,audit-only overlap resolution overlay; original parser and v0 authorization overlays are unchanged
