metric_name,rewrite_method,pool,engine,v2_authorized_rows,v3_authorized_rows,v2_numerator_total_dry_run_rows,v3_numerator_total_dry_run_rows,delta_due_to_overlap_resolution,notes
Generation Rate,direct_llm_original,PERF,postgres,15,16,15,16,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,PERF,mysql,16,16,16,16,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,PERF,spark,14,16,14,16,2,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,CONS,postgres,8,9,8,9,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,CONS,mysql,8,9,8,9,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,CONS,spark,8,9,8,9,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,PORT,postgres,4,9,4,9,5,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,PORT,mysql,4,9,4,9,5,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,PORT,spark,1,9,1,9,8,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,LONGTAIL,postgres,5,6,5,6,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,LONGTAIL,mysql,6,6,6,6,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_original,LONGTAIL,spark,5,6,5,6,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PERF,postgres,1,1,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PERF,spark,0,2,0,2,2,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,CONS,postgres,0,1,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,CONS,mysql,0,1,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,CONS,spark,0,1,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PORT,postgres,1,5,0,4,4,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PORT,mysql,2,5,0,3,3,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,PORT,spark,2,8,0,6,6,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,LONGTAIL,postgres,1,1,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,direct_llm_repair_1,LONGTAIL,spark,0,1,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
