case_id,pool,legacy_path,reason_deferred,risk_flags,required_manual_review,suggested_next_action,notes
PERF_0002,PERF,cases/PERF/PERF_0002,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs
CONS_0031,CONS,cases/CONS/CONS_0031,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
CONS_0034,CONS,cases/CONS/CONS_0034,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0009,PERF,cases/PERF/PERF_0009,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0010,PERF,cases/PERF/PERF_0010,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0011,PERF,cases/PERF/PERF_0011,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0012,PERF,cases/PERF/PERF_0012,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0014,PERF,cases/PERF/PERF_0014,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0015,PERF,cases/PERF/PERF_0015,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0016,PERF,cases/PERF/PERF_0016,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0018,PERF,cases/PERF/PERF_0018,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0020,PERF,cases/PERF/PERF_0020,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0021,PERF,cases/PERF/PERF_0021,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0022,PERF,cases/PERF/PERF_0022,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0023,PERF,cases/PERF/PERF_0023,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0025,PERF,cases/PERF/PERF_0025,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0026,PERF,cases/PERF/PERF_0026,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0036,PERF,cases/PERF/PERF_0036,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0038,PERF,cases/PERF/PERF_0038,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0043,PERF,cases/PERF/PERF_0043,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0044,PERF,cases/PERF/PERF_0044,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0047,PERF,cases/PERF/PERF_0047,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0050,PERF,cases/PERF/PERF_0050,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0053,PERF,cases/PERF/PERF_0053,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0063,PERF,cases/PERF/PERF_0063,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0065,PERF,cases/PERF/PERF_0065,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0066,PERF,cases/PERF/PERF_0066,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0076,PERF,cases/PERF/PERF_0076,skipped because static governance flagged local-path/raw-log or retained-runs hygiene risk,public_hygiene_risk;local_path_risk;raw_log_debug_risk;legacy_runs_present,true,perform dedicated evidence hygiene review before any package migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
