case_id,engine,pool,source_sql_path,schema_ref,selected,expected_risk,notes
PERF_0006,postgres,PERF,cases/PERF/PERF_0006/sql/source.sql,schemas/tpch_common_core_v0/schema_profile.yaml,true,previously_deferred_tpch_date_comment_heavy_shape,Special watch row from prior smoke; runtime generated candidate and downstream checks ran in this diagnostic.
PERF_0007,postgres,PERF,cases/PERF/PERF_0007/sql/source.sql,schemas/tpch_perf0007_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0008,postgres,PERF,cases/PERF/PERF_0008/sql/source.sql,schemas/tpch_perf0008_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0013,postgres,PERF,cases/PERF/PERF_0013/sql/source.sql,schemas/tpch_perf0013_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0017,postgres,PERF,cases/PERF/PERF_0017/sql/source.sql,schemas/tpch_perf0017_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0019,postgres,PERF,cases/PERF/PERF_0019/sql/source.sql,schemas/tpch_perf0019_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0024,postgres,PERF,cases/PERF/PERF_0024/sql/source.sql,schemas/tpch_perf0024_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0033,postgres,PERF,cases/PERF/PERF_0033/sql/source.sql,schemas/tpcds_perf0033_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0034,postgres,PERF,cases/PERF/PERF_0034/sql/source.sql,schemas/tpcds_perf0034_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0035,postgres,PERF,cases/PERF/PERF_0035/sql/source.sql,schemas/tpcds_perf0035_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0052,postgres,PERF,cases/PERF/PERF_0052/sql/source.sql,schemas/tpcds_perf0052_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0054,postgres,PERF,cases/PERF/PERF_0054/sql/source.sql,schemas/tpcds_perf0054_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0056,postgres,PERF,cases/PERF/PERF_0056/sql/source.sql,schemas/tpcds_perf0056_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0062,postgres,PERF,cases/PERF/PERF_0062/sql/source.sql,schemas/tpcds_perf0062_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0077,postgres,PERF,cases/PERF/PERF_0077/sql/source.sql,schemas/job_imdb_perf0077_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
PERF_0082,postgres,PERF,cases/PERF/PERF_0082/sql/source.sql,schemas/job_imdb_perf0082_v0/schema_profile.yaml,true,performance_query_rewrite_runtime_risk,PERF row included in PostgreSQL-only bounded diagnostic.
CONS_0005,postgres,CONS,cases/CONS/CONS_0005/sql/source.sql,schemas/calcite_core_sql_tests_cons0005_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0007,postgres,CONS,cases/CONS/CONS_0007/sql/source.sql,schemas/calcite_core_sql_tests_cons0007_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0009,postgres,CONS,cases/CONS/CONS_0009/sql/source.sql,schemas/calcite_core_sql_tests_cons0009_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0010,postgres,CONS,cases/CONS/CONS_0010/sql/source.sql,schemas/calcite_core_sql_tests_cons0010_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0011,postgres,CONS,cases/CONS/CONS_0011/sql/source.sql,schemas/calcite_core_sql_tests_cons0011_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0012,postgres,CONS,cases/CONS/CONS_0012/sql/source.sql,schemas/calcite_core_sql_tests_cons0012_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0024,postgres,CONS,cases/CONS/CONS_0024/sql/source.sql,schemas/calcite_core_sql_tests_cons0024_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0036,postgres,CONS,cases/CONS/CONS_0036/sql/source.sql,schemas/verieql_cons0036_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
CONS_0037,postgres,CONS,cases/CONS/CONS_0037/sql/source.sql,schemas/verieql_cons0037_v0/schema_profile.yaml,true,consistency_query_rewrite_runtime_risk,CONS row included in PostgreSQL-only bounded diagnostic.
