case_id,pool,current_bucket,proposed_bucket,rationale,evidence_completeness,runs_retention_risk,public_hygiene_risk,migration_complexity,human_review_required,future_action,notes
PERF_0001,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=false; human review required,incomplete_core_assets,low_no_runs_detected,false,high,true,perform case-level maintainer review before staged/backlog membership assignment,missing_schema;checker;validation;runs
PERF_0002,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs
PERF_0003,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=false; human review required,incomplete_core_assets,low_no_runs_detected,false,high,true,perform case-level maintainer review before staged/backlog membership assignment,missing_checker;validation;runs
PERF_0004,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=false; human review required,incomplete_core_assets,low_no_runs_detected,false,high,true,perform case-level maintainer review before staged/backlog membership assignment,missing_schema;checker;validation;runs
PERF_0005,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=true; human review required,core_assets_present_runs_gap,low_no_runs_detected,true,high,true,perform case-level maintainer review before staged/backlog membership assignment,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_runs
PERF_0009,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0010,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0011,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0012,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0014,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0015,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0016,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0018,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0020,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0021,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0022,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0023,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0025,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0026,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0027,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
