prefix,count,atom_type,observed_status,stage_b_outcome,notes
candidate_sql_span:,17,operation_atom,implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,10,operation_atom,implemented,presence_only,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,48,operation_atom,implemented,transformation_supported,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,44,operation_atom,not_implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,2,semantic_guard_atom,contradicted,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,140,semantic_guard_atom,implemented,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
candidate_sql_span:,1,semantic_guard_atom,not_implemented,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
positive_sql_span:,11,operation_atom,implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
positive_sql_span:,9,operation_atom,implemented,presence_only,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
positive_sql_span:,36,operation_atom,implemented,transformation_supported,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
positive_sql_span:,44,operation_atom,not_implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
positive_sql_span:,14,semantic_guard_atom,implemented,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_candidate_diff:changed,10,operation_atom,implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_candidate_diff:changed,32,operation_atom,implemented,transformation_supported,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_candidate_diff:changed,35,operation_atom,not_implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_candidate_diff:changed,1,semantic_guard_atom,implemented,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_sql_span:,1,operation_atom,implemented,presence_only,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_sql_span:,2,operation_atom,implemented,transformation_supported,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_sql_span:,11,operation_atom,not_implemented,insufficient_transformation_evidence,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_sql_span:,2,semantic_guard_atom,contradicted,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
source_sql_span:,44,semantic_guard_atom,implemented,validated_static_span,diagnostic_recomputed_for_quality_review_only from existing JSONL and source/candidate/positive SQL
