proposal_id,source_repo,source_path,relative_path,file_type,size_bytes,candidate_method_if_inferable,route_family_if_inferable,header_or_schema_preview,row_grain_assessment,supported_candidate_fields,timing_fields_present,prompt_token_risk,raw_log_risk,local_path_hygiene_risk,recommended_decision,confidence,parser_scope_if_approved,manual_question,notes
P001,legacy_repo,legacy:reports/evaluation/common_core_v0/direct_llm_preflight/direct_llm_generation_matrix.csv,reports/evaluation/common_core_v0/direct_llm_preflight/direct_llm_generation_matrix.csv,csv,45067,direct_llm_original,llm_direct,case_id|pool|engine|route_id|generation_status|exclusion_reason|denominator_id|method_id,row-level candidate generation evidence appears possible but inventory flags prompt risk,generated|ready|failure_stage|failure_type|evidence_source,no,true,false,true,defer_manual_review,medium,non_timing_generation_status_only,Can this file be sanitized or projected to exclude prompt-related columns before parser use,Header reviewed only. No rows parsed.
P002,legacy_repo,legacy:reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_candidate_set_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_candidate_set_v1.csv,csv,34689,direct_llm_repair_1,llm_feedback_repair,repair_row_id|case_id|engine|denominator_id|original_generated|original_ready|original_executed|original_exact|repair_candidate_status,row-level original and repair status fields appear possible but source_artifacts may include stderr references,generated|ready|executed|exact|result_status|failure_stage|failure_type|retained_artifact_path,yes,false,true,true,defer_manual_review,medium,non_timing_repair_status_only,Should parser v1 read only whitelisted status columns and ignore artifact path columns,Header reviewed only. Contains original_timing_success so timing-bearing source needs projection.
P003,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_failures.csv,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_failures.csv,csv,5564,direct_llm_repair_1,llm_feedback_repair,repair_row_id|case_id|engine|failure_stage|failure_type|failure_detail|repaired_sql_artifact|notes,row-level repair failure metadata appears possible but denominator_id and rewrite_method must be derived from route context,failure_stage|failure_type|result_status|retained_artifact_path|evidence_source,no,false,false,false,approve_header_only_then_parser,medium,non_timing_failure_fields_only,Can denominator_id be safely derived from case_id and engine for this repair route,Header reviewed only. No candidate status values parsed.
P004,legacy_repo,legacy:reports/evaluation/common_core_v0/direct_llm_validity_summary_v1.csv,reports/evaluation/common_core_v0/direct_llm_validity_summary_v1.csv,csv,9524,direct_llm_original,llm_direct,row_type|scope|pool|engine|outcome_class|failure_subclass|numerator|denominator|rate_pct,aggregate summary by group rather than candidate row grain,result_status|failure_stage|failure_type,no,false,false,false,reject_route_level_only,high,not_in_parser_scope,Should remain reference-only because numerator and denominator are aggregate counts,Header reviewed only. Do not distribute counts into rows.
P005,legacy_repo,legacy:reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,csv,1880,direct_llm_original,llm_direct,method_id|route_id|planned_rows|generated_or_ready_rows|executed_rows|exact_match_rows|gm_speedup,method card not row-level and includes timing or metric fields,none,yes,false,false,false,reject_timing_or_performance,high,not_in_parser_scope,Should remain paper summary reference only,Header reviewed only. Metric fields present.
P006,legacy_repo,legacy:reports/evaluation/common_core_v0/sqlglot_preflight/sqlglot_same_engine_case_matrix.csv,reports/evaluation/common_core_v0/sqlglot_preflight/sqlglot_same_engine_case_matrix.csv,csv,25050,sqlglot_optimize;sqlglot_noop,sqlglot_optimize;sqlglot_noop,case_id|pool|source_family|engines_eligible|sqlglot_optimize_route_eligibility|sqlglot_same_dialect_transpile_noop_route_eligibility|preflight_status,case-level eligibility matrix lacks per-engine candidate_id row grain,ready|parse_status|failure_stage|failure_type,no,false,false,false,defer_manual_review,medium,non_timing_preflight_only,Can parser v1 expand engines_eligible safely without inventing per-engine rows,Header reviewed only. Requires explicit expansion policy.
P007,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/method_case_summary.csv,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/method_case_summary.csv,csv,10272,sqlglot_optimize,sqlglot_optimize,run_id|method_id|case_id|pool|included_in_denominator|case_eval_status|has_valid_result_check|failure_bucket_primary,case-level method summary lacks explicit engine and candidate_id,row result_status|checker_status|failure_type,no,false,false,false,defer_manual_review,medium,non_timing_sqlglot_case_summary_only,Is engine derivation from run scope safe enough for parser v1,Header reviewed only. Missing explicit engine row grain.
P008,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_resolved_01/method_case_summary.csv,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_resolved_01/method_case_summary.csv,csv,4004,sqlglot_optimize,sqlglot_optimize,run_id|method_id|case_id|pool|included_in_denominator|case_eval_status|has_valid_result_check|failure_bucket_primary,case-level method summary lacks explicit engine and mixes resolved PORT scope,result_status|checker_status|failure_type,no,false,false,false,defer_manual_review,low,not_in_parser_scope_until_scope_split,Is this same-engine-only enough after PORT resolution or should it be excluded,Header reviewed only. Scope ambiguity remains.
P009,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_resolved_01/run_event_long.csv,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_resolved_01/run_event_long.csv,csv,48052,sqlglot_optimize,sqlglot_optimize,run_id|event_id|method_id|case_id|engine_source|engine_target|rewrite_id|execution_phase|status|speedup_ratio|denominator_id,row-level event evidence appears possible but timing and performance fields are present,result_status|generated|executed|exact|checker_status,yes,false,false,true,reject_timing_or_performance,medium,requires_sanitized_non_timing_projection,Can a separate sanitized non-timing projection be created before parser use,Header reviewed only. Timing fields present.
P010,legacy_repo,legacy:reports/evaluation/common_core_v0/sqlglot_same_engine_execution_summary_v1.csv,reports/evaluation/common_core_v0/sqlglot_same_engine_execution_summary_v1.csv,csv,1526,sqlglot_optimize,sqlglot_optimize,summary_group|summary_key|count|note,aggregate summary only and no candidate row grain,none,no,false,false,false,reject_route_level_only,high,not_in_parser_scope,Should remain reference-only,Header reviewed only.
P011,legacy_repo,legacy:reports/evaluation/common_core_v0/calcite_hep_120_post93_frontier_audit_v1.csv,reports/evaluation/common_core_v0/calcite_hep_120_post93_frontier_audit_v1.csv,csv,11966,calcite_hep_fail_closed,calcite_hep,row_key|case_id|pool|engine|current_status|last_retained_evidence_path|generated_sql_path|observed_diff_summary,row-level status evidence appears possible but candidate_id and denominator_id need deterministic derivation,result_status|failure_stage|failure_type|retained_artifact_path|evidence_source,no,false,false,false,approve_header_only_then_parser,medium,non_timing_calcite_status_only,Can row_key map uniquely to candidate_id and Track-A denominator_id,Header reviewed only.
P012,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/run_event_long.csv,reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/run_event_long.csv,csv,1683,calcite_hep_fail_closed,calcite_hep,row_key|case_id|pool|engine|execution_status|exact_match|consistency_status|recovered_exact|failure_category|blocker_reason,row-level non-timing status evidence appears possible for a bounded subset,executed|exact|result_status|failure_stage|failure_type|checker_status|retained_artifact_path,no,false,false,false,approve_header_only_then_parser,medium,non_timing_calcite_canary_status_only,Should parser v1 accept subset rows and leave unmatched scaffold rows unresolved,Header reviewed only.
P013,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/metadata/LONGTAIL_0013/mysql/row_metadata.json,reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/metadata/LONGTAIL_0013/mysql/row_metadata.json,json,882,calcite_hep_fail_closed,calcite_hep,keys:run_id|row_key|case_id|engine|execution_status|exact_match|consistency_status,row-level JSON metadata appears possible for one candidate row,executed|exact|result_status|checker_status|retained_artifact_path,no,false,false,false,approve_header_only_then_parser,medium,non_timing_calcite_row_metadata_only,Should parser v1 approve row_metadata.json pattern rather than one file at a time,Schema keys previewed only.
P014,legacy_repo,legacy:reports/evaluation/common_core_v0/calcite_hep_120_recovery_priority_v1.csv,reports/evaluation/common_core_v0/calcite_hep_120_recovery_priority_v1.csv,csv,35530,calcite_hep_fail_closed,calcite_hep,row_key|pool|engine|current_stage|current_status|root_cause_class|recoverability_bucket|evidence_pointer,lacks explicit case_id but may encode it in row_key,current_status|failure_stage|failure_type|retained_artifact_path,no,false,false,false,defer_manual_review,medium,non_timing_calcite_failure_triage_only,Can row_key be parsed safely into case_id without guessing,Header reviewed only.
P015,legacy_repo,legacy:reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv,reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv,csv,2051,calcite_hep_fail_closed,calcite_hep,scope|denominator_id|planned_rows|generation_or_route_success_rows|execution_ready_or_executed_rows|exact_match_rows,aggregate synthesis not candidate row grain,none,no,false,false,false,reject_route_level_only,high,not_in_parser_scope,Should remain retained summary reference only,Header reviewed only.
P016,legacy_repo,legacy:reports/evaluation/common_core_v0/calcite_hep_validity_summary_v1.csv,reports/evaluation/common_core_v0/calcite_hep_validity_summary_v1.csv,csv,1320,calcite_hep_fail_closed,calcite_hep,section|group_key|planned_rows|generation_success_rows|executed_rows|match_exact_rows|mismatch_rows,aggregate validity summary not candidate row grain,none,yes,false,false,false,reject_timing_or_performance,high,not_in_parser_scope,Should remain aggregate summary reference only,Header reviewed only. Rate fields present.
P017,legacy_repo,legacy:reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_120_recovery_round3c_numeric_scale_canary_02_01/run_results.json,json,927,calcite_hep_fail_closed,calcite_hep,keys:run_id|method_id|route_id|denominator_id|planned_rows|counts_by_execution_status|timing_denominator_id,aggregate run results with timing denominator reference,none,yes,false,false,false,reject_timing_or_performance,high,not_in_parser_scope,Should remain run summary reference only,Schema keys previewed only.
P018,release_repo,audits/retained_evidence_ledger_mapping/common_core_ledger_source_inventory.csv,audits/retained_evidence_ledger_mapping/common_core_ledger_source_inventory.csv,csv,unknown,direct_llm_original;sqlglot_optimize;calcite_hep_fail_closed,mixed,source_group_id|source_path_or_pattern|artifact_category|candidate_count|methods_or_routes_covered|ledger_fields_supported,source inventory identifies families but not row-level status evidence,evidence_source|retained_artifact_path,no,false,false,false,retain_reference_only,high,not_in_parser_scope,Should remain locator metadata not parser input,Release metadata only.
