ledger_field,field_description,available_from_retained_evidence,availability_level,source_artifact_types,requires_adapter,requires_metric_definition,notes
case_id,Canonical case identifier,partial,medium,candidate_map;case_registry,yes,no,Available for case-scoped rows but ambiguous for mixed or PORT-wide retained candidates
pool,Pool label,partial,medium,candidate_map;case_registry,yes,no,Direct for some rows and lookup-required for common_core_or_mixed rows
case_set,Release case set,yes,high,case_sets_manifest,no,no,Constant common_core_v0 for this audit scope
denominator_id,Stable denominator scaffold row,partial,medium,denominator_scaffold;candidate_map,yes,no,Requires join from legacy denominator scope to denominator_same_engine_120 rows
engine,Engine label,partial,low,artifact_paths;denominator_scaffold,yes,no,Often absent from candidate rows and must be parsed or joined
route,Ledger route,partial,medium,candidate_map method strings,yes,no,Requires normalization from strings such as portability or hard_negative_controls
method_role,Method role,partial,high,candidate_map method strings,yes,no,Method names are present but require stable normalization
candidate_id,Stable row candidate identifier,no,low,adapter_generated,yes,no,Must be generated by adapter from row grain
source_sql_path,Canonical source SQL path,yes,medium,case_registry;case_packages,yes,no,Lookup from case package once case_id is known
candidate_sql_path,Retained or canonical candidate SQL path,partial,low,method_output_artifacts;case_packages,yes,no,Not directly present in candidate map
generated,Whether candidate was method-generated,partial,medium,evidence_role;method_role,yes,no,Controls and retained references differ by role
ready,Readiness state,partial,medium,method output reports,yes,no,Requires parser for retained reports
parse_status,Parse or SQL extraction status,partial,low,legacy failure reports,yes,yes,Definitions pending for parseability and extractability
executed,Execution happened in retained evidence,partial,medium,method output reports;paper freeze ledgers,yes,no,Requires artifact parsers
exact,Correctness exactness state,partial,medium,paper evidence;method reports,yes,yes,Requires correctness gate definition and parser
timed,Usable timing evidence present,partial,low,timing artifacts,yes,yes,Requires timing contract and parser
result_status,Normalized result status,partial,medium,method reports;hard-negative reports,yes,no,Requires status normalization
failure_stage,Failure stage,partial,low,failure exports;logs,yes,no,May require raw log exclusion and sanitized summary
failure_type,Failure bucket,partial,low,failure exports;manual review reports,yes,no,Requires stable bucket mapping
checker_status,Checker outcome,partial,medium,hard-negative reports;case checkers,yes,no,Requires hard-negative and result-check adapters
plan_available,Plan artifact availability,partial,medium,plan observability reports;retained plans,yes,no,Available after plan attribution adapter
plan_artifact_path,Path to plan artifact,partial,medium,plan reports;case evidence,yes,no,Must point to public-safe path or archive reference
latency_ms,Latency value,partial,low,timing raw artifacts,yes,yes,Do not compute or reinterpret until metric contract is final
speedup,Speedup value,partial,low,timing result cards,yes,yes,Existing values may be reference-only and must not be recomputed
timing_eligible,Timing eligibility flag,partial,pending_definition,timing artifacts;metrics contract,yes,yes,Requires final exact/timed eligibility definition
evidence_source,Source class for evidence,yes,high,candidate_map;artifact_inventory,no,no,Can be set to retained_legacy_report for this audit
retained_artifact_path,Path/reference to retained artifact,yes,high,candidate_map;artifact_inventory,no,no,Source paths are available as legacy references
notes,Caveats and boundary notes,yes,high,candidate_map;artifact_inventory,no,no,Existing notes plus adapter caveats are available
