case_id,pool,atom_id,atom_type,observed_status,evidence_ref,lint_status,issue_type,severity,recommendation
CONS_0005,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0005,CONS,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0007,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0007,CONS,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0009,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0009,CONS,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0010,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0010,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0011,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0011,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0012,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0012,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0024,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0024,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0036,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0036,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0037,CONS,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
CONS_0037,CONS,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0011,LONGTAIL,A1,operation_atom,implemented,,issue,missing_source_candidate_diff,warning,pair operation evidence with source_candidate_diff:changed
LONGTAIL_0011,LONGTAIL,A3,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0011,LONGTAIL,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0013,LONGTAIL,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0013,LONGTAIL,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0022,LONGTAIL,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0022,LONGTAIL,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0023,LONGTAIL,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0023,LONGTAIL,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0024,LONGTAIL,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
LONGTAIL_0024,LONGTAIL,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0006,PERF,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0006,PERF,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0007,PERF,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0007,PERF,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0008,PERF,A4,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
PERF_0008,PERF,A5,semantic_guard_atom,implemented,,issue,semantic_guard_not_operation_numerator,info,keep semantic guard review separate from operation coverage numerator
