case_id,caveat_text,reason_nonblocking,retained_in_manifest,notes
PERF_0006,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0007,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PORT_0003,draft_origin_not_explicitly_recovered_nonblocking,Source-entry pointer was recovered from branch-history provenance; absence of a distinct draft artifact is explicit and non-blocking.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0008,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0013,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0017,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0019,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0024,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0033,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0034,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0035,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0052,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0054,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0056,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0062,draft_origin_not_explicitly_recovered_nonblocking,Source identity and benchmark family are present; a separate draft artifact is not claimed; the fallback caveat is explicit.,true,status=repaired_v2_manifest_contract_with_nonblocking_provenance_caveat; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0077,draft_origin_not_explicitly_recovered_nonblocking,Draft-origin fallback is explicit and non-blocking; the separate source_path caveat remains unresolved.,true,status=manual_review_required; draft_origin.recovery_status=accepted_non_blocking_release_caveat
PERF_0082,draft_origin_not_explicitly_recovered_nonblocking,Draft-origin fallback is explicit and non-blocking; the separate source_path caveat remains unresolved.,true,status=manual_review_required; draft_origin.recovery_status=accepted_non_blocking_release_caveat
